version,solver,solver_family,eval_set,median_radial_signed_mm,median_tangential_mm,radially_outward_fraction,radial_slope_mm_per_m,radial_r2
v1-old,T1+F0,external_position_filter,all8,125.4123624346932,50.034076750782575,0.875,227.6551436070776,0.37390741384788573
v1-old,T1+F0,external_position_filter,noG,131.4757533312824,72.7230927965157,0.875,241.63263771809315,0.3908251469196513
v1-old,T1+F1,external_position_filter,all8,127.90047453609975,48.9690270607204,0.875,218.39059357680804,0.37398938892123124
v1-old,T1+F1,external_position_filter,noG,134.59834937203863,76.22843983430057,0.875,230.41777201463705,0.39180251453118664
v1-old,T1+F2,external_position_filter,all8,127.90047453609975,48.9690270607204,0.875,218.39094611374205,0.3739888001841569
v1-old,T1+F2,external_position_filter,noG,134.59834937203863,76.18384180040327,0.875,230.43734245925,0.3917084842302857
v1-old,T1+F3,external_position_filter,all8,127.57547070448231,49.11625912659191,0.875,220.0948070774427,0.37457852977321093
v1-old,T1+F3,external_position_filter,noG,134.0307405010093,76.16120002684994,0.875,232.99315231464504,0.39395259959678186
v1-old,T1+F4,external_position_filter,all8,128.0026364891088,49.43121182813738,0.875,217.67296196281356,0.37373289548339816
v1-old,T1+F4,external_position_filter,noG,134.71525501531136,76.36516138106435,0.875,229.80248198347624,0.38898574515928463
v1-old,T1+F5,external_position_filter,all8,128.08079270848125,49.59314200578624,0.875,216.37192365500914,0.37381777393718174
v1-old,T1+F5,external_position_filter,noG,134.38346662494024,76.3348241089617,0.875,228.67241926621418,0.3907496802791691
v1-old,T2+F0,external_position_filter,all8,125.71717082383219,49.68817021527657,0.875,227.46238359538097,0.3743622006839161
v1-old,T2+F0,external_position_filter,noG,131.56807934753238,72.97302068391153,0.875,241.62969651090202,0.39081092613926394
v1-old,T2+F1,external_position_filter,all8,128.33376747302262,48.64628238844524,0.875,217.56515528403207,0.3735250259338815
v1-old,T2+F1,external_position_filter,noG,134.62855280559367,76.49816771850689,0.875,230.35523908558253,0.3910704202521049
v1-old,T2+F2,external_position_filter,all8,128.33376747302262,48.64628238844524,0.875,217.57633481898074,0.3735059406159178
v1-old,T2+F2,external_position_filter,noG,134.62855280559367,76.49816771850689,0.875,230.3559980368517,0.3910444451593801
v1-old,T2+F3,external_position_filter,all8,128.21188259984706,48.79663026851384,0.875,219.18226842154908,0.37396182175349346
v1-old,T2+F3,external_position_filter,noG,133.98900418375308,76.44483280924747,0.875,232.9610667089086,0.3934040508925849
v1-old,T2+F4,external_position_filter,all8,128.4689178152824,49.10727541939177,0.875,216.85421491664033,0.3727726552140316
v1-old,T2+F4,external_position_filter,noG,134.74465535636784,76.44337113509646,0.875,229.83543041813505,0.38831320261168556
v1-old,T2+F5,external_position_filter,all8,128.74835207966106,49.24378646097928,0.875,215.82183074499196,0.37334556273897435
v1-old,T2+F5,external_position_filter,noG,134.3050359123047,76.52958062469045,0.875,228.69951794508899,0.3905019317498768
v1-old,T3+F0,external_position_filter,all8,91.66895010368472,60.19135009748207,0.875,211.74877471379511,0.404044789773387
v1-old,T3+F0,external_position_filter,noG,110.70637509067538,78.18272346280665,0.875,235.27221480902617,0.37200657650416347
v1-old,T3+F1,external_position_filter,all8,93.22065175835687,58.04995287591933,0.875,201.8780618720071,0.4025188094896103
v1-old,T3+F1,external_position_filter,noG,111.20407893039075,78.00326375725328,0.875,224.1939415913285,0.37027456409529524
v1-old,T3+F2,external_position_filter,all8,93.22065175835687,58.04995287591933,0.875,201.8780618720071,0.4025188094896103
v1-old,T3+F2,external_position_filter,noG,111.20407893039075,78.00326375725328,0.875,224.1824423585447,0.37012158739925294
v1-old,T3+F3,external_position_filter,all8,93.06289622809214,58.53057511349936,0.875,202.99050042971686,0.39963769856708486
v1-old,T3+F3,external_position_filter,noG,111.07623408683659,77.8445148921764,0.875,226.49134165300987,0.3721754297700959
v1-old,T3+F4,external_position_filter,all8,92.81293984351375,58.154260202587665,0.875,201.41541342897946,0.4024629558752544
v1-old,T3+F4,external_position_filter,noG,110.8245470723767,77.79516896052627,0.875,223.85453844114713,0.370279498472483
v1-old,T3+F5,external_position_filter,all8,92.79537274590142,57.5933870621095,0.875,199.9405366389425,0.40110058241599267
v1-old,T3+F5,external_position_filter,noG,111.06977631978097,77.21767228827792,0.875,222.65551020622118,0.3698557993887923
v1-old,T4+F0,external_position_filter,all8,108.80622444886109,52.68645796165657,0.875,222.95895401564417,0.595707418924772
v1-old,T4+F0,external_position_filter,noG,110.70637509067538,78.18272346280665,0.875,235.27221480902617,0.37200657650416347
v1-old,T4+F1,external_position_filter,all8,114.88200532035196,49.633600421835375,0.875,214.94706313248835,0.5866665075859977
v1-old,T4+F1,external_position_filter,noG,111.20407893039075,78.00326375725328,0.875,224.1939415913285,0.37027456409529524
v1-old,T4+F2,external_position_filter,all8,114.88200532035196,49.633600421835375,0.875,214.94706313248835,0.5866665075859977
v1-old,T4+F2,external_position_filter,noG,111.20407893039075,78.00326375725328,0.875,224.1824423585447,0.37012158739925294
v1-old,T4+F3,external_position_filter,all8,114.01836402203574,50.27246921544359,0.875,215.7298201031431,0.5849027693138609
v1-old,T4+F3,external_position_filter,noG,111.07623408683659,77.8445148921764,0.875,226.49134165300987,0.3721754297700959
v1-old,T4+F4,external_position_filter,all8,114.68147824413805,48.9799021461304,0.875,214.6766436075459,0.5886013758664005
v1-old,T4+F4,external_position_filter,noG,110.8245470723767,77.79516896052627,0.875,223.85453844114713,0.370279498472483
v1-old,T4+F5,external_position_filter,all8,114.90440889737147,48.81909482229162,0.875,213.13450337315524,0.5878603727363816
v1-old,T4+F5,external_position_filter,noG,111.06977631978097,77.21767228827792,0.875,222.65551020622118,0.3698557993887923
v1-old,T5a,native_range_filter,all8,157.17700705088856,84.0846359550354,0.9166666666666666,196.48397490814824,0.34591583954391947
v1-old,T5a,native_range_filter,noG,167.37154601680197,83.48193359387108,0.9583333333333334,204.35091646602166,0.3714256678156046
v1-old,T5b,native_range_filter,all8,136.60829357367075,53.280512895029496,0.875,191.8982292047808,0.3867881010847589
v1-old,T5b,native_range_filter,noG,119.4303808937393,80.40509406441466,0.9166666666666666,203.89134634861125,0.44709404451191614
v1-old,T5c,native_range_filter,all8,136.60829357367075,53.280512895029496,0.875,191.8982292047808,0.3867881010847589
v1-old,T5c,native_range_filter,noG,119.4303808937393,80.40509406441466,0.9166666666666666,203.89134634861125,0.44709404451191614
v1-old,T5d,native_range_filter,all8,156.8257132869632,83.94272572536929,0.9166666666666666,196.36753248382453,0.3458849702585036
v1-old,T5d,native_range_filter,noG,167.00100501860572,83.06651068156094,0.9583333333333334,204.29298286539284,0.37163772222366476
v1-old,T5e,native_range_filter,all8,83.0990143300162,45.45210314104506,0.8333333333333334,162.1765901310649,0.21058405838455185
v1-old,T5e,native_range_filter,noG,81.62178311375013,58.93351150394809,0.7083333333333334,179.04932111739768,0.26995170133523305
v2,T1+F0,external_position_filter,all8,52.500943651659604,45.01499098806914,0.7916666666666666,217.172867131322,0.44567663593559914
v2,T1+F0,external_position_filter,noG,60.05274138242943,59.69270839830142,0.7916666666666666,210.88693468884168,0.349633475594027
v2,T1+F1,external_position_filter,all8,54.137002593180966,42.20678705383368,0.8333333333333334,208.35855175413906,0.4341304337980738
v2,T1+F1,external_position_filter,noG,65.3066468465138,55.69039710861424,0.7916666666666666,202.07119647682322,0.35017257593093176
v2,T1+F2,external_position_filter,all8,54.137002593180966,42.20678705383368,0.8333333333333334,208.35855175413906,0.4341304337980738
v2,T1+F2,external_position_filter,noG,65.3066468465138,55.69039710861424,0.7916666666666666,202.08561342337828,0.34991865779264053
v2,T1+F3,external_position_filter,all8,53.753943912181796,42.897062266228545,0.8333333333333334,209.99834975493604,0.4365145922102305
v2,T1+F3,external_position_filter,noG,64.74125876321142,56.351213613788914,0.7916666666666666,203.83029558467084,0.35082851459386344
v2,T1+F4,external_position_filter,all8,53.85390991425098,42.5884430372755,0.8333333333333334,207.62896827851318,0.43337466151685533
v2,T1+F4,external_position_filter,noG,65.74232533295456,55.574199262658254,0.7916666666666666,202.19610991922366,0.3482638861969256
v2,T1+F5,external_position_filter,all8,54.17889196132121,42.293498964681646,0.8333333333333334,206.50400540872454,0.43201772457709864
v2,T1+F5,external_position_filter,noG,66.03526410109882,55.61812402609047,0.7916666666666666,201.49645183294248,0.35012652281860024
v2,T2+F0,external_position_filter,all8,52.52650412277545,44.13593981387355,0.7916666666666666,216.3790437924006,0.4448287229681237
v2,T2+F0,external_position_filter,noG,60.944321813746136,59.897534189177556,0.7916666666666666,211.01128763390363,0.3503993180868902
v2,T2+F1,external_position_filter,all8,54.447317005497666,41.10120868567546,0.8333333333333334,207.5011625072956,0.43214753906185044
v2,T2+F1,external_position_filter,noG,65.41151177785244,55.811010148171405,0.7916666666666666,202.12803100232338,0.3504472222888748
v2,T2+F2,external_position_filter,all8,54.447317005497666,41.10120868567546,0.8333333333333334,207.5011625072956,0.43214753906185044
v2,T2+F2,external_position_filter,noG,65.41151177785244,55.81357339116515,0.7916666666666666,202.13252348519853,0.35026049837446305
v2,T2+F3,external_position_filter,all8,54.099605642279414,41.53927136006374,0.8333333333333334,209.24298580764457,0.43530647703926795
v2,T2+F3,external_position_filter,noG,64.88282452125954,56.61362805962039,0.7916666666666666,203.8268539646751,0.35125461921061274
v2,T2+F4,external_position_filter,all8,54.33890865191876,41.61685780493501,0.8333333333333334,206.88024919426934,0.4305469601219293
v2,T2+F4,external_position_filter,noG,65.73625801961485,55.83637657907995,0.7916666666666666,202.14328964645398,0.34834019039948305
v2,T2+F5,external_position_filter,all8,54.55763605482929,41.58383020797881,0.8333333333333334,205.79106192625974,0.42956516000606493
v2,T2+F5,external_position_filter,noG,66.31052055618403,55.669544788782716,0.7916666666666666,201.4146308547503,0.34963564701419225
v2,T3+F0,external_position_filter,all8,28.369570711317962,35.19336636764763,0.7083333333333334,198.7335493570387,0.6770816076374224
v2,T3+F0,external_position_filter,noG,30.438463440847393,55.23220407631226,0.625,193.33954615961943,0.38483436458538467
v2,T3+F1,external_position_filter,all8,31.600942497322507,35.095095840753544,0.7083333333333334,190.018749627396,0.6682975836854128
v2,T3+F1,external_position_filter,noG,29.627267101917592,56.008810239995626,0.625,184.4666185164252,0.3775731165506868
v2,T3+F2,external_position_filter,all8,31.600942497322507,35.095095840753544,0.7083333333333334,190.018749627396,0.6682975836854128
v2,T3+F2,external_position_filter,noG,29.627267101917592,56.03898333370174,0.625,184.4980806622362,0.37740253087837183
v2,T3+F3,external_position_filter,all8,30.679187097082206,34.85881750696182,0.7083333333333334,190.95440412458987,0.6663312005346544
v2,T3+F3,external_position_filter,noG,29.787093654832987,55.947381850561584,0.625,186.50839121743672,0.38132430459503674
v2,T3+F4,external_position_filter,all8,31.631640972393527,34.53835304109114,0.7083333333333334,189.25690781418007,0.666096436776414
v2,T3+F4,external_position_filter,noG,29.75567403303341,55.670728964114225,0.625,185.1162670795584,0.3758617290068891
v2,T3+F5,external_position_filter,all8,31.99952622471207,34.57478831769424,0.6666666666666666,188.74429351549063,0.6632337712862044
v2,T3+F5,external_position_filter,noG,29.925595439850532,55.641783483192235,0.625,184.51356845880815,0.3772319358673628
v2,T4+F0,external_position_filter,all8,50.15132000754439,44.409334604890645,0.7916666666666666,194.1157409131333,0.6678244789092568
v2,T4+F0,external_position_filter,noG,30.438463440847393,55.23220407631226,0.625,193.33954615961943,0.38483436458538467
v2,T4+F1,external_position_filter,all8,51.86074962502807,40.34595512560509,0.7916666666666666,188.14546826960768,0.6597478564566899
v2,T4+F1,external_position_filter,noG,29.627267101917592,56.008810239995626,0.625,184.4666185164252,0.3775731165506868
v2,T4+F2,external_position_filter,all8,51.86074962502807,40.34595512560509,0.7916666666666666,188.14546826960768,0.6597478564566899
