version,solver,solver_family,eval_set,n_positions,metric,value_mm,unit
v1-old,T1+F0,external_position_filter,all8,24,mean_3d_error_mm,170.18010386175396,mm
v1-old,T1+F0,external_position_filter,all8,24,rmse_3d_error_mm,194.1330623740474,mm
v1-old,T1+F0,external_position_filter,all8,24,p50_3d_error_mm,168.05845066119994,mm
v1-old,T1+F0,external_position_filter,all8,24,p90_3d_error_mm,291.49432792922136,mm
v1-old,T1+F0,external_position_filter,all8,24,p95_3d_error_mm,316.4688053772768,mm
v1-old,T1+F0,external_position_filter,all8,24,p99_3d_error_mm,398.31861337580295,mm
v1-old,T1+F0,external_position_filter,all8,24,max_3d_error_mm,422.15827767890613,mm
v1-old,T1+F0,external_position_filter,all8,24,repeatability_d3_std_p50_mm,63.037464879098266,mm
v1-old,T1+F0,external_position_filter,all8,24,repeatability_d3_std_p95_mm,94.92245540802102,mm
v1-old,T1+F0,external_position_filter,noG,24,mean_3d_error_mm,177.0693813033595,mm
v1-old,T1+F0,external_position_filter,noG,24,rmse_3d_error_mm,201.4500938969717,mm
v1-old,T1+F0,external_position_filter,noG,24,p50_3d_error_mm,159.572282272343,mm
v1-old,T1+F0,external_position_filter,noG,24,p90_3d_error_mm,315.4817493576354,mm
v1-old,T1+F0,external_position_filter,noG,24,p95_3d_error_mm,382.5293076989335,mm
v1-old,T1+F0,external_position_filter,noG,24,p99_3d_error_mm,422.7281416682088,mm
v1-old,T1+F0,external_position_filter,noG,24,max_3d_error_mm,431.63049360313664,mm
v1-old,T1+F0,external_position_filter,noG,24,repeatability_d3_std_p50_mm,57.93613241797685,mm
v1-old,T1+F0,external_position_filter,noG,24,repeatability_d3_std_p95_mm,99.01147950259116,mm
v1-old,T1+F1,external_position_filter,all8,24,mean_3d_error_mm,167.77087635454623,mm
v1-old,T1+F1,external_position_filter,all8,24,rmse_3d_error_mm,191.98099456029908,mm
v1-old,T1+F1,external_position_filter,all8,24,p50_3d_error_mm,169.35012337212635,mm
v1-old,T1+F1,external_position_filter,all8,24,p90_3d_error_mm,277.3721683155873,mm
v1-old,T1+F1,external_position_filter,all8,24,p95_3d_error_mm,311.4212883058839,mm
v1-old,T1+F1,external_position_filter,all8,24,p99_3d_error_mm,393.0257303405157,mm
v1-old,T1+F1,external_position_filter,all8,24,max_3d_error_mm,416.0476769994517,mm
v1-old,T1+F1,external_position_filter,all8,24,repeatability_d3_std_p50_mm,32.2950231418025,mm
v1-old,T1+F1,external_position_filter,all8,24,repeatability_d3_std_p95_mm,54.127397543152256,mm
v1-old,T1+F1,external_position_filter,noG,24,mean_3d_error_mm,176.45339346490402,mm
v1-old,T1+F1,external_position_filter,noG,24,rmse_3d_error_mm,199.80823527008022,mm
v1-old,T1+F1,external_position_filter,noG,24,p50_3d_error_mm,163.0505921373092,mm
v1-old,T1+F1,external_position_filter,noG,24,p90_3d_error_mm,307.8080821979048,mm
v1-old,T1+F1,external_position_filter,noG,24,p95_3d_error_mm,377.41614248906484,mm
v1-old,T1+F1,external_position_filter,noG,24,p99_3d_error_mm,414.8288201226801,mm
v1-old,T1+F1,external_position_filter,noG,24,max_3d_error_mm,422.933942848014,mm
v1-old,T1+F1,external_position_filter,noG,24,repeatability_d3_std_p50_mm,32.02206245247935,mm
v1-old,T1+F1,external_position_filter,noG,24,repeatability_d3_std_p95_mm,48.22995087052508,mm
v1-old,T1+F2,external_position_filter,all8,24,mean_3d_error_mm,167.77115750592475,mm
v1-old,T1+F2,external_position_filter,all8,24,rmse_3d_error_mm,191.98131784896938,mm
v1-old,T1+F2,external_position_filter,all8,24,p50_3d_error_mm,169.35012337212635,mm
v1-old,T1+F2,external_position_filter,all8,24,p90_3d_error_mm,277.3721683155873,mm
v1-old,T1+F2,external_position_filter,all8,24,p95_3d_error_mm,311.4212883058839,mm
v1-old,T1+F2,external_position_filter,all8,24,p99_3d_error_mm,393.0257303405157,mm
v1-old,T1+F2,external_position_filter,all8,24,max_3d_error_mm,416.0476769994517,mm
v1-old,T1+F2,external_position_filter,all8,24,repeatability_d3_std_p50_mm,32.2950231418025,mm
v1-old,T1+F2,external_position_filter,all8,24,repeatability_d3_std_p95_mm,53.306783849217965,mm
v1-old,T1+F2,external_position_filter,noG,24,mean_3d_error_mm,176.46552748866347,mm
v1-old,T1+F2,external_position_filter,noG,24,rmse_3d_error_mm,199.82769909688076,mm
v1-old,T1+F2,external_position_filter,noG,24,p50_3d_error_mm,163.0505921373092,mm
