version,ID,status,N,X_std,Y_std,Z_std,D3_std,path
v1,ID01,ok,150,20.007985663722515,15.980767071986278,36.61089089312874,44.6773067509377,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID01_20260513_152958
v1,ID02,ok,150,16.095232903295134,14.131441525515726,30.513783926026242,37.280627291994456,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID02_20260513_153316
v1,ID03,ok,150,21.879180218723658,16.524841105591378,23.968561147938967,36.417864079472324,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID03_20260513_154008
v1,ID04,ok,150,21.221776781091634,13.421784244849956,51.44264630437469,57.243811550758714,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID04_20260513_163638
v1,ID05,ok,150,24.78413016115957,11.605878171974688,35.44338775548703,44.779272566376356,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID05_20260513_163117
v1,ID06,ok,150,20.732213729313546,12.507559523899106,20.534071500713864,31.747627057124216,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID06_20260513_154321
v1,ID07,ok,150,22.887250522428353,13.89345802353744,48.865691878891525,55.719926912469646,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID07_20260513_164048
v1,ID08,ok,150,29.869244534407898,16.768405165787364,39.579194453889464,52.343708451723735,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID08_20260513_162857
v1,ID09,ok,150,20.782539474117343,13.601160504067783,26.694033762278988,36.461993260823654,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID09_20260513_154629
v1,ID11,ok,150,18.84697777448295,14.871586325473597,39.80521762793146,46.484707178542635,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID11_20260513_162534
v1,ID12,ok,150,23.066990570079586,14.793494987491165,26.159059383492867,37.88442867108033,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID12_20260513_154958
v1,ID13,ok,150,21.13087542410682,13.446657424308695,40.18147658313647,47.348469378396835,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529
v1,ID14,ok,150,22.822010567996532,13.593417382018515,33.34338492641414,42.63105066543083,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800
v1,ID15,ok,150,22.282241875262034,13.936322940645676,33.10243167488478,42.26689464443849,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010
v1,ID16,ok,150,23.014024836316537,15.148255314907738,35.08740274346726,44.61211505336301,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320
v1,ID17,ok,150,29.501495894319017,19.073831998993914,63.21476725728081,72.32050972248847,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID17_20260513_161228
v1,ID18,ok,150,25.095235654703345,14.308682966741603,46.960498276713096,55.13436005981197,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID18_20260513_161018
v1,ID19,ok,150,30.7630811579775,16.471090562844974,57.616173533140085,67.3593901342839,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID19_20260513_160549
