dataset,version,label,N_static_captures,inter_anchor_rms_mm,X_median_std_mm,Y_median_std_mm,Z_median_std_mm,D3_median_std_mm,D3_best_std_mm,D3_p75_std_mm,D3_p95_std_mm,D3_worst_std_mm,D3_mean_std_mm,roto_median_circle_rms_mm,Z_over_XY_ratio
20260513_clean,v1,V1 old baseline,23,64.23232331626951,22.887250522428353,14.31626399360932,35.08740274346726,44.61211505336301,31.747627057124216,53.73903425576785,66.64339182846487,72.32050972248847,46.651671772971746,115.44731786386049,1.299728095649079
20260513_clean,v2,V2 weighted fusion,23,40.42893749055175,25.49176713066558,15.816898593651977,38.18824433714815,48.797872672747935,33.71914567731354,57.588116235594285,73.02555220478853,94.0716662496059,52.18515339411525,103.48929166662583,1.2729383149641087
20260513_clean,v3lite,V3-lite robust fusion,23,40.8239541978783,25.191511016665896,15.824284150301057,38.11175405513086,48.82889205033583,33.704722585734764,57.72389959776112,72.60295261845579,93.76919928374663,52.143723297263286,103.42541437563008,1.2810979802421674
20260513_clean,v3full,V3-full delay-aware,23,66.4152127963247,27.391910781668635,18.148545282538244,41.231697376071956,55.865528419160086,40.051467186590514,69.73231835872743,92.82337757059798,137.16126619017362,62.019945998360974,112.87377153473498,1.2548227494891195
20260513_clean,v4,V4 production robust,23,44.336175075788965,25.615815518620263,15.772210212929863,37.95753751554043,48.980912919632296,34.27231003010822,59.73507093940405,92.90864587114032,104.27848715349755,54.62235297651399,106.87749676848259,1.2617982138034947
20260504_bad_DH,v1,V1 old baseline,27,66.09968796167662,28.91582393556512,40.36360819836701,62.066058151091205,78.19807294940554,53.71541596124548,86.66116149423436,125.14109388328157,157.82326276617,84.19781617107832,151.6410199757607,1.2500150654841198
20260504_bad_DH,v2,V2 weighted fusion,27,42.39484412558213,18.61641711819511,27.924448189495955,39.86752839205316,54.905927300129555,36.84105304376138,64.74536889868675,167.10168787833817,291.0348135340586,71.8595178347517,139.63233413111072,1.1879097353758505
20260504_bad_DH,v3lite,V3-lite robust fusion,27,42.416485047980565,18.62258540469203,27.929525351345006,39.78428625741781,54.94275814799274,36.81310020010405,64.86673790209167,168.2169991185646,289.4057081108156,71.90165119504752,139.506265878354,1.1851594072327651
20260504_bad_DH,v3full,V3-full delay-aware,27,74.88718246436189,18.06904916669767,29.42416012634241,41.561097043935575,58.62548408473745,36.509206336568404,72.87876048444124,110.46275657683971,142.25302483885204,64.36657060536204,136.17254249402833,1.2036476662782896
20260504_bad_DH,v4,V4 production robust,27,48.03304564646219,18.414775412340653,28.19945070417401,39.46404828625717,55.34107818400382,36.022704035567024,77.49029124079479,159.1966861064545,182.82642569725925,69.39544393382268,139.14712409141555,1.171750598981453
