version,ID,peer,path,N,status,radius,radial_std,z_plane_std,circle_3d_std,circle_3d_rms,plane_tilt_deg
v1,ID25,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,180,ok,462.58078011063395,65.04729249697759,170.21116941007548,124.41111328331671,181.76749345463202,15.920482824216164
v1,ID25,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,180,ok,598.2630574696801,62.54887368869501,126.77599679284657,97.77738290728612,141.01106570215615,9.105228431900285
v1,ID26,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,180,ok,475.16278516298763,63.551731678564266,147.45817753158565,94.9987505945438,160.1796546915965,24.249133819544063
v1,ID26,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,180,ok,599.8612202906372,68.86326492719725,114.0463655615572,74.12544869116302,132.91227025306932,18.528789620335758
v1,ID27,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,180,ok,459.5025189149953,65.24512815768637,136.03172582785874,90.43328704971717,150.52088938772454,20.323695834136657
v1,ID27,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,180,ok,575.8981249568434,73.52324903353325,267.25138750204746,225.1172006943964,276.44910114410266,8.07656215551892
v1,ID28,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,180,ok,471.71267065962536,79.39282191169984,145.23156823867936,96.56628334806706,165.1908248618013,29.461717033733382
v1,ID28,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,180,ok,603.2836787828334,93.39847594712516,176.3195844601885,126.99083528554068,199.1055266214028,23.164415749819746
v1,ID29,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,180,ok,467.86663926442753,77.6552638011192,171.87157490011296,117.80515490577844,188.1866362259564,13.347590102349056
v1,ID29,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,180,ok,582.1109475415459,60.301642381723724,111.56738819351827,72.15382539935081,126.50658537449591,14.063054806800295
v1,ID30,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,180,ok,496.9745026915909,86.06786675322354,82.37368283848166,65.93310809252972,119.03786749447245,56.46026166458204
v1,ID30,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,180,ok,580.1335511584502,86.39858898961538,72.19012430236671,62.01810333828201,112.45931638836879,49.41317174844993
v1,ID31,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,180,ok,420.89373869632,65.16067372045794,95.44456697694395,60.704040758790896,115.35529796423864,49.7391915812112
v1,ID31,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,180,ok,552.1349208676562,84.4887598076327,77.42751729257319,61.80536178440498,114.46493099867577,45.299318013923596
v1,ID32,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID32_20260513_171939,180,ok,484.8168504492547,75.77939448983808,72.80693601537607,55.671829472534895,104.96250790087078,57.170080606809066
