version,solver_name,inter_rms_mm,delay_min_mm,delay_max_mm,delay_l2_mm,extra
v1,AutoPos V1,64.23232331626951,0.0,0.0,0.0,"{""delay_aware"": false, ""implementation"": ""archive_v1_classical_mds_only""}"
v2,AutoPos V2,40.42893749055175,0.0,0.0,0.0,{}
v3lite,V3-lite,40.8239541978783,0.0,0.0,0.0,{}
v3full,V3-full,66.4152127963247,-220.1238550453386,96.23364023322938,244.181588609134,"{""converged"": false, ""iterations"": 50, ""zero_weights"": 5}"
v4,V4-interonly,44.336175075788965,-2.3878718885320436,32.30272935025367,43.90426700405176,{}
