capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.00041395830889336577,0.0006598364129157132,0.0008298576507892059,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R01,BSDC91,1200,1200,0.0003265298389926648,0.0005581487155170233,0.0007360401668721577,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R02,BS2DCE,1201,1201,0.0003709389001653364,0.000648174418252137,0.000997469471793695,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R02,BSDC91,1200,1200,0.000333956810093769,0.0005823097289744417,0.0008893720693985275,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R03,BS2DCE,1200,1200,0.000430417383040487,0.000696749245544627,0.0010945063151427555,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R03,BSDC91,1200,1200,0.00032761406470877507,0.0005406724254950786,0.0008318732670568121,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R04,BS2DCE,1200,1200,0.00040511951469357515,0.0006394198386356451,0.0010236287817139288,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R04,BSDC91,1200,1200,0.0003488466729168923,0.0005719587080395886,0.0008170718175526811,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R05,BS2DCE,1200,1200,0.00032482784177430057,0.0005111785586571565,0.0007984044685335658,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R05,BSDC91,1201,1201,0.0003241179519307598,0.0005414605196171746,0.0007225068765196184,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
R06,BS2DCE,1200,1200,0.00042712044561401543,0.0007246543594941992,0.001218816031722348,1.0,1.0,R4:L1:I7:T6,S01,R4,L1,I7,T6,64.1148625,1.35,True
