row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,S02,simulate_imu_prior,0.226660067011835,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0
R2:L0:I0:T6,S02,cpu_golden,0.2494908579974435,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0
R2:L0:I0:T6,S02,torch_gpu,0.5129676679789554,0.0,1.0,0.5129676679789554,0.5129676679789554,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0
R2:L2:I3:T6,S02,simulate_imu_prior,0.5790179960022215,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0
R2:L2:I3:T6,S02,cpu_golden,0.1939875029784161,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0
R2:L2:I3:T6,S02,torch_gpu,0.3896907599992119,0.0,1.0,0.3896907599992119,0.3896907599992119,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,S02,simulate_imu_prior,0.9680797290056944,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S02,cpu_golden,0.3156128249829635,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S02,torch_gpu,0.7367665870115161,0.0,1.0,0.7367665870115161,0.7367665870115161,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S02,simulate_imu_prior,0.9669617920008022,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_agreement_0001_cuda0
