chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,message,started_utc,child_run_id,wall_time_s,log_path,finished_utc
partial_raw_0134,partial_raw,"['R2:L18:I1+I3+I7:T6', 'R2:L18:I1+I3+I7:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:49:46.022588+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0134_cuda1,91.87602025299566,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0134_cuda1.log,2026-06-05T13:51:17.903608+00:00
partial_raw_0135,partial_raw,"['R2:L18:I1+I2+I3+I8:T6', 'R2:L18:I1+I2+I3+I8:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:49:53.120359+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0135_cuda0,91.78352285199799,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0135_cuda0.log,2026-06-05T13:51:24.908805+00:00
partial_raw_0136,partial_raw,"['R2:L19:I0:T6', 'R2:L19:I0:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:50:02.621101+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0136_cuda1,87.83903000201099,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0136_cuda1.log,2026-06-05T13:51:30.464024+00:00
partial_raw_0137,partial_raw,"['R2:L19:I1:T6', 'R2:L19:I1:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:50:24.749075+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0137_cuda0,98.92361997297849,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0137_cuda0.log,2026-06-05T13:52:03.677836+00:00
partial_raw_0138,partial_raw,"['R2:L19:I3:T6', 'R2:L19:I3:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:50:50.710538+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0138_cuda0,86.00767335400451,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0138_cuda0.log,2026-06-05T13:52:16.723121+00:00
partial_raw_0139,partial_raw,"['R2:L19:I4:T6', 'R2:L19:I4:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:50:53.776480+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0139_cuda0,87.815104230016,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0139_cuda0.log,2026-06-05T13:52:21.596736+00:00
partial_raw_0140,partial_raw,"['R2:L19:I7:T6', 'R2:L19:I7:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:51:03.854865+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0140_cuda1,91.77166409097845,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0140_cuda1.log,2026-06-05T13:52:35.631477+00:00
partial_raw_0141,partial_raw,"['R2:L19:I8:T6', 'R2:L19:I8:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:51:11.704307+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0141_cuda1,96.10986405299627,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0141_cuda1.log,2026-06-05T13:52:47.819278+00:00
partial_raw_0142,partial_raw,"['R2:L19:I1+I3+I7:T6', 'R2:L19:I1+I3+I7:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:51:17.910850+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0142_cuda1,86.85850651699002,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0142_cuda1.log,2026-06-05T13:52:44.773085+00:00
partial_raw_0143,partial_raw,"['R2:L19:I1+I2+I3+I8:T6', 'R2:L19:I1+I2+I3+I8:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:51:24.917430+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0143_cuda0,93.35262172398507,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0143_cuda0.log,2026-06-05T13:52:58.275113+00:00
partial_raw_0144,partial_raw,"['R4:L0:I0:T6', 'R4:L0:I0:T8']",2,0,0,16,done,1,cuda:1,ok,2026-06-05T13:51:30.475966+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0144_cuda1,95.07162487198366,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0144_cuda1.log,2026-06-05T13:53:05.552795+00:00
partial_raw_0145,partial_raw,"['R4:L0:I1:T6', 'R4:L0:I1:T8']",2,0,0,16,done,1,cuda:0,ok,2026-06-05T13:52:03.686493+00:00,phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z_partial_raw_0145_cuda0,86.4605681860121,runs/phase4_algorithm_factory/phase4_GPUCPU_FULLFACTORY_S02_2x1080ti_20260605T132500Z/logs/partial_raw_0145_cuda0.log,2026-06-05T13:53:30.152184+00:00
