mount,hardware_us,sweep,x_m,y_m,z_m,residual_rms_mm,anchors_used,role
A,2365533927,19707,2.785716840349575,1.1948905347475458,-0.6535875713220033,140.89750982894745,8,CALIBRATION_ONLY_RAW_T4
A,2365653948,19708,2.8013226850841364,1.190205797720716,-0.7756517996051552,125.94399305080793,8,CALIBRATION_ONLY_RAW_T4
A,2365773934,19709,2.804235754936361,1.2348886143406972,-0.741036293599365,123.55790328639284,8,CALIBRATION_ONLY_RAW_T4
A,2365893951,19710,2.827584410390115,1.218087187960782,-0.7375923299861515,148.644078935421,8,CALIBRATION_ONLY_RAW_T4
A,2366014060,19711,2.7811608057090482,1.2134193774432673,-0.7796755561501816,116.22675745682245,8,CALIBRATION_ONLY_RAW_T4
A,2366134270,19712,2.7993659396131454,1.19485917267157,-0.7798823386883996,121.14545101973681,8,CALIBRATION_ONLY_RAW_T4
A,2366254166,19713,2.8043491089447823,1.2233963493931381,-0.7966245050792528,131.65843670953691,8,CALIBRATION_ONLY_RAW_T4
A,2366373960,19714,2.806343383432034,1.1681955023284558,-0.7405502320806312,112.56801064452905,8,CALIBRATION_ONLY_RAW_T4
A,2366493978,19715,2.7961293977712165,1.2025684238802008,-0.8027393911628085,137.17826578347118,8,CALIBRATION_ONLY_RAW_T4
A,2366613962,19716,2.8024080771376974,1.222472795167142,-0.7898333477225283,125.99259916380967,8,CALIBRATION_ONLY_RAW_T4
A,2366733948,19717,2.831421961272466,1.2292946247999281,-0.8008524553890044,108.32861240574671,8,CALIBRATION_ONLY_RAW_T4
A,2366853970,19718,2.8210141395882666,1.2219714374159256,-0.8522536541800638,141.6986442624761,8,CALIBRATION_ONLY_RAW_T4
A,2366973957,19719,2.839626763693259,1.2429957257743915,-0.7562514473937891,110.36294640302732,8,CALIBRATION_ONLY_RAW_T4
A,2367093943,19720,2.8418496436657454,1.2193496195574134,-0.8142645089398067,115.9727660530804,8,CALIBRATION_ONLY_RAW_T4
A,2367214271,19721,2.8021999182863238,1.2077919101755308,-0.7818434556355224,140.36658679691308,8,CALIBRATION_ONLY_RAW_T4
A,2367333950,19722,2.831346903030634,1.2378294136233121,-0.8117274620697426,125.05050725490179,8,CALIBRATION_ONLY_RAW_T4
A,2367453967,19723,2.795256229518538,1.185570123820819,-0.7736367458555753,135.23504745904057,8,CALIBRATION_ONLY_RAW_T4
A,2367573987,19724,2.788545884528409,1.205690773358333,-0.7794954474402017,123.7817567552658,8,CALIBRATION_ONLY_RAW_T4
A,2367694215,19725,2.7709831654294534,1.196842839128635,-0.7311725620067941,133.18556200153125,8,CALIBRATION_ONLY_RAW_T4
A,2367813984,19726,2.765372739503762,1.2541536089896843,-0.730493728870169,145.40363291625027,8,CALIBRATION_ONLY_RAW_T4
A,2367933974,19727,2.814239489291677,1.1941997639350665,-0.7343376433057432,127.11737639978011,8,CALIBRATION_ONLY_RAW_T4
A,2368053989,19728,2.7958297044732534,1.2296825209652704,-0.8032100454375565,131.70610157596073,8,CALIBRATION_ONLY_RAW_T4
A,2368173977,19729,2.7869988250430153,1.2180840506769306,-0.7903358001658247,115.99704176175541,8,CALIBRATION_ONLY_RAW_T4
A,2368294277,19730,2.8139146040350105,1.233283263625987,-0.9123319914106308,132.83493298763756,8,CALIBRATION_ONLY_RAW_T4
A,2368414484,19731,2.7849932415966423,1.2463562448068422,-0.7461190687171437,120.64131245822037,8,CALIBRATION_ONLY_RAW_T4
A,2368533992,19732,2.8077284007795025,1.241814498947073,-0.8260715013071543,100.6363890681508,8,CALIBRATION_ONLY_RAW_T4
A,2368653985,19733,2.821628475089482,1.1979527463026276,-0.8083610473149786,135.54804012042143,8,CALIBRATION_ONLY_RAW_T4
A,2368773973,19734,2.788841381303838,1.1802401986327173,-0.8109938993475034,148.40248078258992,8,CALIBRATION_ONLY_RAW_T4
A,2368893991,19735,2.803640137824431,1.235005099284775,-0.7267822958859057,104.67073933466993,8,CALIBRATION_ONLY_RAW_T4
A,2369013976,19736,2.8609525175887227,1.250879422426123,-0.8451971410143904,83.83336676048903,8,CALIBRATION_ONLY_RAW_T4
A,2369133965,19737,2.7995293719460608,1.2311896515070926,-0.8180974656912329,124.47655413075607,8,CALIBRATION_ONLY_RAW_T4
