mount,fit_excluded,raw_block_opened,binding_status,result
A,true,false,BLOCKED_ROTATION_AWARE_MODEL_UNOBSERVABLE,NOT_OPENED_CALIBRATION_BLOCKED
B,true,false,BLOCKED_ROTATION_AWARE_MODEL_UNOBSERVABLE,NOT_OPENED_CALIBRATION_BLOCKED
