mount,action,transition,start_hardware_s,end_hardware_s,duration_s,dN_x_m,dN_y_m,dN_z_m,dV_x_m,dV_y_m,dV_z_m,signed_error_deg,unsigned_line_error_deg,up_signed_x,up_signed_y,up_signed_z,up_disagreement_deg
A,vertical_original,1,2408.854416,2409.934466,1.080050,0.0695591563952638,0.014807692560728112,-0.9974679222925449,-0.08168496059063729,0.10316640588000625,0.9913043225524177,6.338142578071944,6.338142578071944,0.08168496059063729,-0.10316640588000625,-0.9913043225524177,2.7454566099752054
A,vertical_original,2,2409.934466,2410.894432,0.959966,0.012845132072424012,-0.0019397932708338666,0.9999156163317524,0.05556299720670255,-0.16889282646850584,-0.9840670538682246,2.6287925245488055,2.6287925245488055,0.05556299720670255,-0.16889282646850584,-0.9840670538682246,2.7676987873074155
A,vertical_original,3,2410.894432,2411.974471,1.080039,-0.0015850271186189943,0.022064150660765593,-0.9997553005334118,-0.04535610432481758,0.15249976208484617,0.9872621973744066,2.885941449285751,2.885941449285751,0.04535610432481758,-0.15249976208484617,-0.9872621973744066,1.6805665004958736
A,vertical_original,4,2411.974471,2412.934961,0.960490,-0.010974881802809942,-0.014129372729960805,0.9998399435888088,0.07823114365476058,-0.10456089708212549,-0.9914367891922559,2.8157006661882784,2.8157006661882784,0.07823114365476058,-0.10456089708212549,-0.9914367891922559,2.5325715312775303
A,vertical_original,5,2412.934961,2413.894492,0.959531,-0.05821660470501148,0.00914321055210688,-0.9982621041777657,-0.036694025551315644,0.1265217057257877,0.9912849269857162,3.4991282512076056,3.4991282512076056,0.036694025551315644,-0.1265217057257877,-0.9912849269857162,0.17238284890595595
A,vertical_original,6,2413.894492,2414.974550,1.080058,-0.04793678397241305,-0.002069645978625954,0.99884822736385,0.043997768620642905,-0.1999181313049162,-0.978824262639599,5.694609863516561,5.694609863516561,0.043997768620642905,-0.1999181313049162,-0.978824262639599,4.407056442735197
A,vertical_original,7,2414.974550,2415.934496,0.959946,-0.005188105021700219,0.0142376812431367,-0.9998851794076671,-0.04977076453956122,0.12087145827535205,0.991419669752188,0.636108883424834,0.636108883424834,0.04977076453956122,-0.12087145827535205,-0.991419669752188,0.6652633652460255
A,vertical_original,8,2415.934496,2416.894821,0.960325,-0.020571325763638054,-0.01451730813825407,0.9996829839107721,0.07202121057172216,-0.0442845192843794,-0.9964195033114994,4.707800934117269,4.707800934117269,0.07202121057172216,-0.0442845192843794,-0.9964195033114994,4.974327242751674
A,vertical_original,9,2416.894821,2417.974827,1.080006,0.009007138267680669,-0.030091652660554566,-0.9995065602087779,-0.0961298768289731,0.0567783009571044,0.993748092486859,6.8198661954945194,6.8198661954945194,0.0961298768289731,-0.0567783009571044,-0.993748092486859,5.081590270646193
A,vertical_original,10,2417.974827,2418.934535,0.959708,-0.0359075719808402,-0.0030087415436184308,0.9993505860051138,0.12014518382256237,-0.13720926191151306,-0.9832287390276693,6.816544335868672,6.816544335868672,0.12014518382256237,-0.13720926191151306,-0.9832287390276693,4.752108254777648
A,vertical_original,11,2418.934535,2420.974550,2.040015,-0.027452267361437417,-0.013097132084766273,-0.9995373120338582,-0.021084218428565966,0.20602657100989258,0.9783192259028555,4.557972645501617,4.557972645501617,0.021084218428565966,-0.20602657100989258,-0.9783192259028555,4.852595623209271
A,vertical_retry,1,2487.695258,2489.135257,1.439999,-0.032651009613132366,0.0003476717512383186,0.9994667531717082,-0.011771754405101956,-0.020506824862603277,-0.9997204088805433,5.867990239887305,5.867990239887305,-0.011771754405101956,-0.020506824862603277,-0.9997204088805433,6.630198370167993
A,vertical_retry,2,2489.135257,2490.935586,1.800329,0.055758954636972155,0.026602046513975,-0.9980898106378304,-0.048464591173987076,0.03300384910551991,0.9982794845866354,4.909900359242067,4.909900359242067,0.048464591173987076,-0.03300384910551991,-0.9982794845866354,5.274768663997931
A,vertical_retry,3,2490.935586,2492.255314,1.319728,-0.07437917869359824,0.0022485120904487408,0.9972274976003443,-0.010589588288148667,-0.07777119668259332,-0.9969149921565253,2.7335387011962347,2.7335387011962347,-0.010589588288148667,-0.07777119668259332,-0.9969149921565253,3.8936775272342095
A,vertical_retry,4,2492.255314,2493.815515,1.560201,0.012394513083995449,0.01897604677377901,-0.9997431098508507,0.03742438987768875,0.12498865215898108,0.9914520925762192,3.963880009293194,3.963880009293194,-0.03742438987768875,-0.12498865215898108,-0.9914520925762192,4.360857036700716
