mount,action,transition,start_hardware_s,end_hardware_s,duration_s,dN_x_m,dN_y_m,dN_z_m,dV_x_m,dV_y_m,dV_z_m,signed_error_deg,unsigned_line_error_deg
A,horizontal_1,1,2552.255959,2554.296033,2.040074,0.07254283995401785,0.9961470734213845,0.049280264664633304,-0.07259257224892646,0.8212388089719125,0.565947998576441,140.70714678225298,39.29285321774702
A,horizontal_1,2,2554.296033,2557.176034,2.880001,-0.0411898450207443,-0.9964605649851151,-0.07327850364678742,-0.0057150278828876425,-0.8291770837015457,-0.5589567982594876,143.09679562406853,36.903204375931466
A,horizontal_1,3,2557.176034,2558.736012,1.559978,0.07711081308722455,0.9955219091550418,0.05468135785922099,0.10579156473800827,0.9027442944647986,0.4169662859771,151.05545453139078,28.94454546860922
A,horizontal_1,4,2558.736012,2561.376089,2.640077,-0.10752690490603203,-0.9929554721390664,-0.049773437398000546,-0.18975996972379855,-0.97304174817515,-0.1310759710956631,163.97229601918986,16.027703980810145
A,horizontal_1,5,2561.376089,2564.016139,2.640050,0.020188005233596935,0.997914524014187,0.061311069198204296,0.18212946936842891,0.8719624150489922,-0.45443415708934537,155.53262905727863,24.467370942721374
A,horizontal_1,6,2564.016139,2565.936407,1.920268,-0.06744939335165424,-0.9955397045385463,-0.06596420259350977,-0.03977852781444502,-0.9925021614396212,-0.11557304297540916,170.10503844064482,9.894961559355181
A,horizontal_1,7,2565.936407,2568.936185,2.999778,0.0850770122537979,0.9947581416019905,0.0567286673783305,-0.07055926899346694,0.8475301418289034,0.5260361662952334,143.94347751151238,36.056522488487616
A,horizontal_1,8,2568.936185,2570.136199,1.200014,-0.08160167633563245,-0.9945358331247697,-0.06511254141895494,0.01615751476817087,-0.8519688291644173,-0.5233431463664431,145.00632252891015,34.99367747108985
A,horizontal_1,9,2570.136199,2572.416489,2.280290,0.06726133100135084,0.9958730315985835,0.06093289987004745,0.07270027584318736,0.8751700611869311,0.4783221026613634,147.80423316587053,32.19576683412947
A,horizontal_1,10,2572.416489,2574.456254,2.039765,-0.06288843955304743,-0.9961232998262302,-0.06150947661852727,-0.04330726250232712,-0.9628238925704843,-0.26663576824945134,161.03427694660905,18.965723053390946
A,horizontal_2,1,2609.736572,2611.776620,2.040048,-0.9976380770924559,0.06867933737856875,0.0011898539859403056,-0.9720262584636701,-0.022160776199341793,-0.23382440603016882,11.487996317285843,11.487996317285843
A,horizontal_2,2,2611.776620,2613.936633,2.160013,0.9965034201812142,-0.08347404948570056,-0.003607856649208614,0.9753362172039911,0.028558342757539143,0.21886910350515917,10.47380692927738,10.47380692927738
A,horizontal_2,3,2613.936633,2615.976655,2.040022,-0.9969857021321017,0.07756608177515491,0.0017357137466320414,-0.9995859140004707,0.008892921118654095,0.027366338553431218,4.28968582292757,4.28968582292757
A,horizontal_2,4,2615.976655,2618.256671,2.280016,0.9960293798569894,-0.08901830156402714,0.001102927176662831,0.9958282716898116,0.020171091077849826,-0.0889897768735944,7.742626511852866,7.742626511852866
A,horizontal_2,5,2618.256671,2619.937018,1.680347,-0.9962798600362405,0.08614843761626198,0.0022106972759998534,-0.9997229602991395,-0.023342462278665124,0.0030219373743056123,3.7130488366832433,3.7130488366832433
A,horizontal_2,6,2619.937018,2621.976732,2.039714,0.9978384928285361,-0.06565827393381803,0.002708005485057924,0.9996242389168579,0.01914380700036497,-0.019618756928648624,4.970629573402956,4.970629573402956
B,horizontal_1,1,2985.820711,2986.780695,0.959984,0.9935700054149763,-0.07595968022150437,-0.08395696111896073,0.06282258801079785,0.6204018121571331,0.781763975831434,40.729838417017596,40.729838417017596
B,horizontal_1,2,2986.780695,2988.460728,1.680033,-0.9994302395737868,0.006906332940039791,0.03303783877320351,-0.14665577795833662,-0.5200058541533149,-0.8414784575006757,49.334353112829795,49.334353112829795
B,horizontal_1,4,2989.420956,2991.340743,1.919787,-0.999146183775364,0.01263355238339967,0.03933569373104295,-0.06974743434367577,-0.48531772299907855,-0.8715514919644533,52.13237209638391,52.13237209638391
B,horizontal_1,6,2992.180775,2994.340786,2.160011,-0.9992216308714046,0.0007218632207764915,0.03944123872523483,-0.13941609958023898,-0.6476578618174003,-0.7490677173686945,39.96308647299923,39.96308647299923
B,horizontal_2,1,3039.821351,3040.541278,0.719927,-0.019871509389226244,0.9993763274367217,0.029190396942904043,-0.8147767999863309,-0.0892810657662275,0.572859195177734,137.79997264153758,42.20002735846242
B,horizontal_2,4,3042.221621,3043.181354,0.959733,-0.04474419412588654,0.9986199405473466,-0.027498571476332532,-0.4493740856315792,0.061027205351107984,-0.8912567595086255,123.5407229148819,56.4592770851181
