variant,config,held_out_position,n_train_positions,d_tag_p30_train_median_mm
V5 apparent best,V5_CV5,ID01,23,32.88449194689849
V5 apparent best,V5_CV5,ID02,23,33.18452426205986
V5 apparent best,V5_CV5,ID03,23,33.140232922561026
V5 apparent best,V5_CV5,ID04,23,32.51449217653108
V5 apparent best,V5_CV5,ID05,23,32.61177600071731
V5 apparent best,V5_CV5,ID06,23,32.415723263206274
V5 apparent best,V5_CV5,ID07,23,33.09183514785525
V5 apparent best,V5_CV5,ID08,23,33.09183514785525
V5 apparent best,V5_CV5,ID09,23,33.09183514785525
V5 apparent best,V5_CV5,ID10,23,32.88449194689849
V5 apparent best,V5_CV5,ID11,23,32.415723263206274
V5 apparent best,V5_CV5,ID12,23,32.88449194689849
V5 apparent best,V5_CV5,ID13,23,33.140232922561026
V5 apparent best,V5_CV5,ID14,23,33.140232922561026
V5 apparent best,V5_CV5,ID15,23,33.140232922561026
V5 apparent best,V5_CV5,ID16,23,33.09183514785525
V5 apparent best,V5_CV5,ID17,23,33.18452426205986
V5 apparent best,V5_CV5,ID18,23,33.18452426205986
V5 apparent best,V5_CV5,ID19,23,33.140232922561026
V5 apparent best,V5_CV5,ID20,23,33.18452426205986
V5 apparent best,V5_CV5,ID21,23,33.09183514785525
V5 apparent best,V5_CV5,ID22,23,33.169522655454465
V5 apparent best,V5_CV5,ID23,23,33.09183514785525
V5 apparent best,V5_CV5,ID24,23,32.88449194689849
V4 apparent best,V4_CV4,ID01,23,17.954175101516334
V4 apparent best,V4_CV4,ID02,23,19.113879221600996
V4 apparent best,V4_CV4,ID03,23,18.46293300008692
V4 apparent best,V4_CV4,ID04,23,17.694614202235556
V4 apparent best,V4_CV4,ID05,23,17.954175101516334
V4 apparent best,V4_CV4,ID06,23,17.694614202235556
V4 apparent best,V4_CV4,ID07,23,18.46293300008692
V4 apparent best,V4_CV4,ID08,23,18.056539036251415
V4 apparent best,V4_CV4,ID09,23,18.056539036251415
V4 apparent best,V4_CV4,ID10,23,17.371682987200273
V4 apparent best,V4_CV4,ID11,23,17.371682987200273
V4 apparent best,V4_CV4,ID12,23,18.056539036251415
V4 apparent best,V4_CV4,ID13,23,18.46293300008692
V4 apparent best,V4_CV4,ID14,23,18.46293300008692
V4 apparent best,V4_CV4,ID15,23,18.46293300008692
V4 apparent best,V4_CV4,ID16,23,18.46293300008692
V4 apparent best,V4_CV4,ID17,23,19.113879221600996
V4 apparent best,V4_CV4,ID18,23,19.113879221600996
V4 apparent best,V4_CV4,ID19,23,18.710388468009953
V4 apparent best,V4_CV4,ID20,23,18.46293300008692
V4 apparent best,V4_CV4,ID21,23,18.056539036251415
V4 apparent best,V4_CV4,ID22,23,18.46002978984246
V4 apparent best,V4_CV4,ID23,23,17.954175101516334
V4 apparent best,V4_CV4,ID24,23,17.694614202235556
