config,held_out_position,n_train_positions,d_tag_p30_train_median_mm
V5_CV5,ID01,23,49.169522655454465
V5_CV5,ID02,23,50.37703728252997
V5_CV5,ID03,23,49.621032516254864
V5_CV5,ID04,23,48.10606494503249
V5_CV5,ID05,23,48.57674117675603
V5_CV5,ID06,23,47.93694671853872
V5_CV5,ID07,23,48.57674117675603
V5_CV5,ID08,23,49.621032516254864
V5_CV5,ID09,23,49.621032516254864
V5_CV5,ID10,23,48.57674117675603
V5_CV5,ID11,23,47.93694671853872
V5_CV5,ID12,23,49.621032516254864
V5_CV5,ID13,23,49.621032516254864
V5_CV5,ID14,23,50.37703728252997
V5_CV5,ID15,23,50.37703728252997
V5_CV5,ID16,23,49.621032516254864
V5_CV5,ID17,23,50.77618461959965
V5_CV5,ID18,23,50.77618461959965
V5_CV5,ID19,23,49.784255803831535
V5_CV5,ID20,23,50.77618461959965
V5_CV5,ID21,23,49.621032516254864
V5_CV5,ID22,23,50.77618461959965
V5_CV5,ID23,23,49.621032516254864
V5_CV5,ID24,23,48.57674117675603
