Row,Variant,Convention,Median_3D_mm,P95_mm,RMSE_mm,Evaluation,Source_CSV
A,V4 production,scalar_p50_t4_fixed_d0,81.56395887843,189.3607847427092,114.3070907233002,"in-sample, all 24",/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/scalar_regenerated_row_A_v4_production.csv
B,V4 + D_LOO,scalar_p50_t4_dtag_loo_per_fold,61.47063633190277,157.00589763540071,87.50553382143137,LOO-CV,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/v4_p50_scalar_baseline.csv
C,V5 baseline,scalar_p50_t4_dtag_loo_per_fold,63.46213807316664,175.13684856435577,91.75016671231195,LOO-CV,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/v5_p50_scalar_baseline.csv
D,V5 apparent best,scalar_p30_inverse_rms_t4_dtag_loo_per_fold,65.52197286306232,131.99541996801622,84.88720575992448,in-sample post-selected,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/scalar_regenerated_row_D_v5_apparent_best.csv
E,V4 apparent best,scalar_p30_inverse_rms_t4_dtag_loo_per_fold,57.11995222333657,221.61355241755578,94.38658925775546,in-sample post-selected,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/scalar_regenerated_row_E_v4_apparent_best.csv
F,V5 corrected,scalar_optimism_corrected_median,75.09012250326458,,,OOB-bootstrap correction,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/corrected_scalar_rows.csv
G,V4 corrected,scalar_optimism_corrected_median,66.68810186353883,,,OOB-bootstrap correction,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/corrected_scalar_rows.csv
H,V5 bootstrap CI,scalar_bootstrap_ci_existing,"[54.3, 63.7]",,,bootstrap 95% CI,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_overnight_batch2/tables/n6_bootstrap_ci.csv
I,Nested CV (height),scalar_nested_cv_existing,82.9248283137559,,,held-out test,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv
J,Nested CV (quadrant),scalar_nested_cv_existing,88.04166953831984,,,held-out test,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv
K,Nested CV (spatial6),scalar_nested_cv_existing,94.24971154923936,,,held-out test,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv
L,ROTO V5 per-frame,per_frame_dynamic,101.48477739653228,214.3693133943896,126.22614768446928,BEST-FIT-ALIGNED,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv
M,ROTO SE(3) aligned,per_frame_dynamic,82.51641444727665,185.20662628073396,103.74573775790896,diagnostic,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv
