Row,old_median,new_median,old_p95,new_p95,old_rmse,new_rmse,changed,reason
A,71.9,81.56395887843,176.0,189.3607847427092,110.4,114.3070907233002,yes,regenerated from current scalar T4 pipeline; old f6 table is stale/generated
B,57.9,61.47063633190277,110.6,157.00589763540071,74.4,87.50553382143137,yes,old transfer-matrix row was raw-frame mean-position; regenerated scalar p50 LOO
C,67.8,63.46213807316664,160.5,175.13684856435577,86.4,91.75016671231195,yes,regenerated scalar p50 LOO with per-fold D_tag
D,56.0,65.52197286306232,143.1,131.99541996801622,79.5,84.88720575992448,yes,regenerated from current scalar T4 pipeline; old f6 table is stale/generated
E,54.9,57.11995222333657,154.8,221.61355241755578,79.6,94.38658925775546,yes,regenerated from current scalar T4 pipeline; old f6 table is stale/generated
F,65.6,75.09012250326458,nan,,nan,,yes,recomputed optimism correction from regenerated apparent scalar median plus existing OOB gap
G,64.5,66.68810186353883,nan,,nan,,yes,recomputed optimism correction from regenerated apparent scalar median plus existing OOB gap
H,"[54.3, 63.7]","[54.3, 63.7]",nan,,nan,,no,verified scalar convention; copied from existing source
I,82.9,82.9248283137559,nan,,nan,,no,verified scalar convention; copied from existing source
J,88.0,88.04166953831984,nan,,nan,,no,verified scalar convention; copied from existing source
K,94.2,94.24971154923936,nan,,nan,,no,verified scalar convention; copied from existing source
L,101.5,101.48477739653228,214.4,214.3693133943896,126.2,126.22614768446928,no,ROTO dynamic row intentionally kept per-frame
M,82.5,82.51641444727665,185.2,185.20662628073396,103.7,103.74573775790896,no,ROTO dynamic row intentionally kept per-frame
N,74.3,74.26356175882631,160.8,160.79304407937283,94.8,94.81105197947248,no,ROTO dynamic row intentionally kept per-frame
O,44.5,44.48515490554082,164.1,164.135314687521,81.5,81.53684273071072,no,verified scalar convention; copied from existing source
P,43.2,43.17167990138442,163.1,163.09288978057967,81.8,81.79044802049832,no,verified scalar convention; copied from existing source
Q,44.6,44.59582912114855,nan,,nan,,no,verified scalar convention; copied from existing source
R,"[33.4, 82.8]","[33.4, 82.8]",nan,,nan,,no,verified scalar convention; copied from existing source
