label,config,range_aggregation,weighting,dtag_mode,median_3d_mm,p95_3d_mm,rmse_3d_mm,d_tag_mean_mm,d_tag_median_mm,n_positions,fail_rate,source_csv,notes
A V4 production,V4_CV4,p50,uniform,fixed_0,81.56395887843,189.3607847427092,114.3070907233002,nan,nan,24,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/scalar_regenerated_row_A_v4_production.csv,
B V4 + D_LOO,V4_CV4,p50,uniform,D_tag_LOO_per_fold,61.47063633190277,157.00589763540071,87.50553382143137,33.14139429103798,33.08137482630481,24,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/v4_p50_scalar_baseline.csv,
C V5 baseline,V5_CV5,p50,uniform,D_tag_LOO_per_fold,63.46213807316664,175.13684856435577,91.75016671231195,49.51853383351864,49.621032516254864,24,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/v5_p50_scalar_baseline.csv,
D V5 apparent best,V5_CV5,p30,inverse_rms,D_tag_LOO_per_fold,65.52197286306232,131.99541996801622,84.88720575992448,32.98564490395356,33.09183514785525,24,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/scalar_regenerated_row_D_v5_apparent_best.csv,
E V4 apparent best,V4_CV4,p30,inverse_rms,D_tag_LOO_per_fold,57.11995222333657,221.61355241755578,94.38658925775546,18.236186539746907,18.258284413046937,24,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_convention_unification/tables/scalar_regenerated_row_E_v4_apparent_best.csv,
