config,held_out_position,n_train_positions,d_tag_p30_train_median_mm
V4_CV4,ID01,23,33.08137482630481
V4_CV4,ID02,23,34.13232247905801
V4_CV4,ID03,23,33.795153519303135
V4_CV4,ID04,23,32.11004976580654
V4_CV4,ID05,23,32.546810389875745
V4_CV4,ID06,23,32.11004976580654
V4_CV4,ID07,23,32.546810389875745
V4_CV4,ID08,23,33.08137482630481
V4_CV4,ID09,23,33.08137482630481
V4_CV4,ID10,23,32.546810389875745
V4_CV4,ID11,23,31.464221871352677
V4_CV4,ID12,23,33.08137482630481
V4_CV4,ID13,23,33.08137482630481
V4_CV4,ID14,23,33.795153519303135
V4_CV4,ID15,23,33.795153519303135
V4_CV4,ID16,23,33.418543786059686
V4_CV4,ID17,23,34.13232247905801
V4_CV4,ID18,23,34.13232247905801
V4_CV4,ID19,23,34.13232247905801
V4_CV4,ID20,23,33.795153519303135
V4_CV4,ID21,23,33.08137482630481
V4_CV4,ID22,23,33.795153519303135
V4_CV4,ID23,23,32.546810389875745
V4_CV4,ID24,23,32.11004976580654
