feature,importance_rf,importance_permutation
range_mean,nan,0.5905335653167461
range_std,nan,0.013054996559099205
range_median,nan,0.590380252249766
range_iqr,nan,0.07577645527483738
range_skewness,nan,0.010265776697244853
range_kurtosis,nan,0.17476278617684307
range_p10,nan,0.5867532474691632
range_p25,nan,0.588200259796814
range_p75,nan,0.5925007218077248
range_p90,nan,0.5934070945646914
range_min,nan,0.588557470765088
range_max,nan,0.5097803667107195
n_samples,nan,0.084949788155251
geometric_distance,nan,0.3757341732735688
elevation_angle,nan,0.030975334680256573
azimuth_angle,nan,0.10039955033216034
