elevation_deg,azimuth_deg,predicted_correction_mm
-45.0,-180.0,26.303094940660106
-45.0,-165.0,26.303094940660106
-45.0,-150.0,26.303094940660102
-45.0,-135.0,26.143741303954904
-45.0,-120.0,25.504402409667577
-45.0,-105.0,22.6205278954267
-45.0,-90.0,21.072300480963236
-45.0,-75.0,19.419179851138637
-45.0,-60.0,21.027206659977146
-45.0,-45.0,20.6693477582144
-45.0,-30.0,15.344668759623783
-45.0,-15.0,2.64204580474195
-45.0,0.0,0.7353431440501492
-45.0,15.0,-1.0494426164636619
-45.0,30.0,-2.2646126051078133
-45.0,45.0,-7.261121131786572
-45.0,60.0,-0.5823194713230744
-45.0,75.0,3.426946004548235
-45.0,90.0,3.426946004548235
-45.0,105.0,13.721943966849404
-45.0,120.0,16.535827813912512
-45.0,135.0,29.311843018174017
-45.0,150.0,29.311843018174017
-45.0,165.0,32.1241123387028
-45.0,180.0,32.1241123387028
-40.0,-180.0,26.57713436860028
-40.0,-165.0,26.303094940660106
-40.0,-150.0,26.303094940660106
-40.0,-135.0,26.303094940660106
-40.0,-120.0,26.255014339760805
-40.0,-105.0,25.91674516956921
-40.0,-90.0,24.09727214130036
-40.0,-75.0,22.50225129403898
-40.0,-60.0,20.6693477582144
-40.0,-45.0,20.55660763114824
-40.0,-30.0,17.71013872389757
-40.0,-15.0,12.750444961705941
-40.0,0.0,2.6420458047419495
-40.0,15.0,-1.0494426164636614
-40.0,30.0,-8.654226670299998
-40.0,45.0,-9.645442482013154
-40.0,60.0,-7.151283442050085
-40.0,75.0,-0.5823194713230742
-40.0,90.0,4.095877393680986
-40.0,105.0,12.221614057942412
-40.0,120.0,29.311843018174017
-40.0,135.0,29.311843018174017
-40.0,150.0,32.1241123387028
-40.0,165.0,32.1241123387028
-40.0,180.0,34.02288391900227
-35.0,-180.0,26.57713436860028
-35.0,-165.0,26.57713436860028
-35.0,-150.0,26.57713436860028
-35.0,-135.0,26.577134368600284
-35.0,-120.0,26.605793704289404
-35.0,-105.0,27.620485549828558
-35.0,-90.0,26.851058148130413
-35.0,-75.0,23.389329171894055
-35.0,-60.0,21.84433706764102
-35.0,-45.0,20.1522306846209
-35.0,-30.0,17.71013872389757
-35.0,-15.0,17.71013872389757
-35.0,0.0,6.389529622306943
-35.0,15.0,-4.877605073135459
-35.0,30.0,-9.645442482013152
-35.0,45.0,-9.645442482013152
-35.0,60.0,-10.836034313510499
-35.0,75.0,-4.8087866218657265
-35.0,90.0,4.437917482284913
-35.0,105.0,24.594682201036584
-35.0,120.0,27.740389755087293
-35.0,135.0,32.054603511057394
-35.0,150.0,34.02288391900227
-35.0,165.0,34.02288391900227
-35.0,180.0,34.02288391900227
-30.0,-180.0,26.57713436860028
-30.0,-165.0,26.57713436860028
-30.0,-150.0,26.57713436860028
-30.0,-135.0,28.053878614473938
-30.0,-120.0,28.053878614473938
-30.0,-105.0,28.16756829366
-30.0,-90.0,28.393163200477915
-30.0,-75.0,24.357362975663264
-30.0,-60.0,21.627275318682734
-30.0,-45.0,21.627275318682734
-30.0,-30.0,18.740310421970303
-30.0,-15.0,16.2238226726898
-30.0,0.0,9.925660427150554
-30.0,15.0,-6.532632797939275
-30.0,30.0,-8.323637783902354
-30.0,45.0,-9.066004130832578
-30.0,60.0,-6.325692810121577
-30.0,75.0,-6.325692810121577
-30.0,90.0,6.199315913418646
-30.0,105.0,25.587100643566636
-30.0,120.0,28.497716498065145
-30.0,135.0,30.11196497710069
-30.0,150.0,30.11196497710069
-30.0,165.0,34.02288391900227
-30.0,180.0,34.022883919002275
-25.0,-180.0,26.577134368600284
-25.0,-165.0,26.57713436860028
-25.0,-150.0,28.053878614473938
-25.0,-135.0,28.053878614473938
-25.0,-120.0,28.193062143472467
-25.0,-105.0,28.116063864954825
-25.0,-90.0,28.579578727824586
-25.0,-75.0,26.669464934768936
-25.0,-60.0,23.146251526240732
-25.0,-45.0,21.90131474662291
-25.0,-30.0,19.16101487290775
-25.0,-15.0,16.93584248982028
-25.0,0.0,7.727041911718292
-25.0,15.0,3.129068747155679
-25.0,30.0,-7.561269496522117
-25.0,45.0,-6.325692810121577
-25.0,60.0,-6.325692810121578
-25.0,75.0,-0.19985926004114885
-25.0,90.0,12.40296073395394
-25.0,105.0,15.378625421408813
-25.0,120.0,26.342852078487137
-25.0,135.0,28.28095497405794
-25.0,150.0,29.895203453093483
-25.0,165.0,29.895203453093483
-25.0,180.0,34.02288391900227
-20.0,-180.0,27.191142435647528
-20.0,-165.0,27.289513870665026
-20.0,-150.0,27.427580923482473
-20.0,-135.0,29.345138193488754
-20.0,-120.0,28.63206079458054
-20.0,-105.0,28.177610701443246
-20.0,-90.0,27.993154885235715
-20.0,-75.0,27.99315488523571
