phase,wall_s,left_task,left_exitcode,right_task,right_exitcode
A,512.3250281019999,1,0,5.0,0.0
B,32.21370932200011,3,0,4.0,0.0
C,41.29748531699988,2,0,6.0,0.0
D,115.08344758900012,7,0,8.0,0.0
E,100.29537650300016,9,0,10.0,0.0
F,30.22393537700009,11,0,12.0,0.0
G,95.04756987400016,13,0,14.0,0.0
H,31.003984260999918,15,0,16.0,0.0
I,31.154577091999958,17,0,nan,nan
