parameter_name,crb_mm,actual_variance_mm
aA_x,494.1190435135472,nan
aA_y,557.5136496231884,nan
aA_z,428.47456274747515,nan
aB_x,462.00954553404944,nan
aB_y,557.5875517966422,nan
aB_z,447.4061990826888,nan
aC_x,489.9173132942554,nan
aC_y,543.5643618839816,nan
aC_z,424.62674701098217,nan
aD_x,460.01347924262666,nan
aD_y,551.7963853932797,nan
aD_z,448.3332223667707,nan
aE_x,472.05691413286365,nan
aE_y,544.0501538713219,nan
aE_z,426.062907808034,nan
aF_x,471.56574756456166,nan
aF_y,540.8988126333677,nan
aF_z,436.4989155038366,nan
aG_x,481.8879105245574,nan
aG_y,563.5428800578807,nan
aG_z,436.8040619580085,nan
aH_x,477.70175624264505,nan
aH_y,549.6567605733655,nan
aH_z,438.5374109132712,nan
d_A,94.37988037706677,nan
d_B,87.4249227070904,nan
d_C,82.39179721816672,nan
d_D,82.98534999623058,nan
d_E,78.48280024572814,nan
d_F,84.6518546505607,nan
d_G,94.46062920303079,nan
d_H,90.03848395422763,nan
Dtag,12.01598792016937,nan
tag_x,333.91969204913426,nan
tag_y,334.72135052907055,nan
tag_z,333.83817663535837,nan
