fixed_var,fixed_value,var1,var2,median_3d
delta_c_mm,0.0,0.93,0.0,370.5196533203125
delta_c_mm,0.0,0.93,5.0,362.05560302734375
delta_c_mm,0.0,0.93,10.0,353.5930480957031
delta_c_mm,0.0,0.93,15.0,345.13372802734375
delta_c_mm,0.0,0.93,20.0,336.66790771484375
delta_c_mm,0.0,0.93,25.0,327.6351623535156
delta_c_mm,0.0,0.93,30.0,318.7574462890625
delta_c_mm,0.0,0.93,35.0,310.028564453125
delta_c_mm,0.0,0.93,40.0,301.44293212890625
delta_c_mm,0.0,0.93,45.0,292.9951171875
delta_c_mm,0.0,0.93,50.0,284.6799011230469
delta_c_mm,0.0,0.93,55.0,276.42138671875
delta_c_mm,0.0,0.93,60.0,267.63983154296875
delta_c_mm,0.0,0.93,65.0,259.4311828613281
delta_c_mm,0.0,0.93,70.0,251.34417724609375
delta_c_mm,0.0,0.93,75.0,243.32989501953125
delta_c_mm,0.0,0.93,80.0,235.38775634765625
delta_c_mm,0.0,0.93,85.0,227.51727294921875
delta_c_mm,0.0,0.93,90.0,219.71783447265625
delta_c_mm,0.0,0.93,95.0,211.9888916015625
delta_c_mm,0.0,0.93,100.0,204.33004760742188
delta_c_mm,0.0,0.93,105.0,196.7410888671875
delta_c_mm,0.0,0.93,110.0,189.2215576171875
delta_c_mm,0.0,0.93,115.0,180.95767211914062
delta_c_mm,0.0,0.93,120.0,172.25082397460938
delta_c_mm,0.0,0.93,125.0,163.58522033691406
delta_c_mm,0.0,0.93,130.0,154.96432495117188
delta_c_mm,0.0,0.93,135.0,146.39283752441406
delta_c_mm,0.0,0.93,140.0,137.8748779296875
delta_c_mm,0.0,0.935,0.0,357.17730712890625
delta_c_mm,0.0,0.935,5.0,348.62469482421875
delta_c_mm,0.0,0.935,10.0,339.3843994140625
delta_c_mm,0.0,0.935,15.0,330.30731201171875
delta_c_mm,0.0,0.935,20.0,321.3870849609375
delta_c_mm,0.0,0.935,25.0,312.6175537109375
delta_c_mm,0.0,0.935,30.0,303.9927978515625
delta_c_mm,0.0,0.935,35.0,295.50750732421875
delta_c_mm,0.0,0.935,40.0,287.15618896484375
delta_c_mm,0.0,0.935,45.0,278.9345703125
delta_c_mm,0.0,0.935,50.0,270.8380126953125
delta_c_mm,0.0,0.935,55.0,262.4045104980469
delta_c_mm,0.0,0.935,60.0,253.7728271484375
delta_c_mm,0.0,0.935,65.0,245.74072265625
delta_c_mm,0.0,0.935,70.0,237.78097534179688
delta_c_mm,0.0,0.935,75.0,229.8929901123047
delta_c_mm,0.0,0.935,80.0,222.07656860351562
delta_c_mm,0.0,0.935,85.0,214.33079528808594
delta_c_mm,0.0,0.935,90.0,206.6552734375
delta_c_mm,0.0,0.935,95.0,199.04986572265625
delta_c_mm,0.0,0.935,100.0,191.51419067382812
delta_c_mm,0.0,0.935,105.0,183.7847900390625
delta_c_mm,0.0,0.935,110.0,175.05519104003906
delta_c_mm,0.0,0.935,115.0,166.36634826660156
delta_c_mm,0.0,0.935,120.0,157.72210693359375
delta_c_mm,0.0,0.935,125.0,149.1266326904297
delta_c_mm,0.0,0.935,130.0,140.5842742919922
delta_c_mm,0.0,0.935,135.0,132.0999755859375
delta_c_mm,0.0,0.935,140.0,123.67936706542969
delta_c_mm,0.0,0.94,0.0,342.09124755859375
delta_c_mm,0.0,0.94,5.0,332.97003173828125
delta_c_mm,0.0,0.94,10.0,324.0077819824219
delta_c_mm,0.0,0.94,15.0,315.1976318359375
delta_c_mm,0.0,0.94,20.0,306.5343017578125
delta_c_mm,0.0,0.94,25.0,298.01153564453125
delta_c_mm,0.0,0.94,30.0,289.62445068359375
delta_c_mm,0.0,0.94,35.0,281.36846923828125
delta_c_mm,0.0,0.94,40.0,273.23883056640625
delta_c_mm,0.0,0.94,45.0,265.23175048828125
delta_c_mm,0.0,0.94,50.0,257.11346435546875
delta_c_mm,0.0,0.94,55.0,248.319580078125
delta_c_mm,0.0,0.94,60.0,240.162353515625
delta_c_mm,0.0,0.94,65.0,232.25732421875
delta_c_mm,0.0,0.94,70.0,224.42379760742188
delta_c_mm,0.0,0.94,75.0,216.66134643554688
delta_c_mm,0.0,0.94,80.0,208.96937561035156
delta_c_mm,0.0,0.94,85.0,201.34771728515625
delta_c_mm,0.0,0.94,90.0,193.79600524902344
delta_c_mm,0.0,0.94,95.0,186.31382751464844
delta_c_mm,0.0,0.94,100.0,177.84837341308594
delta_c_mm,0.0,0.94,105.0,169.13677978515625
delta_c_mm,0.0,0.94,110.0,160.46951293945312
delta_c_mm,0.0,0.94,115.0,151.8505859375
delta_c_mm,0.0,0.94,120.0,143.28445434570312
delta_c_mm,0.0,0.94,125.0,134.77557373046875
