anchor_label,d_from_AA,d_from_AT,asymmetry_mm,layer
A,101.99317932128906,79.32686927404265,-22.666310047246412,lower
B,99.80382537841797,77.1037156184353,-22.700109759982666,lower
C,131.90338134765625,49.280122421441185,-82.62325892621507,lower
D,129.08734130859375,142.94232677878207,13.854985470188325,lower
E,102.62306213378906,128.47313344736912,25.85007131358006,upper
F,112.73217010498047,164.2937453192811,51.56157521430063,upper
G,81.0589370727539,90.97156545973664,9.912628386982732,upper
H,117.52800750732422,107.02550673956611,-10.502500767758107,upper
