loss,weighting,dtag_model,delay_source,median_3d,rmse_3d,p95_3d,vertical_slope,fail_rate
L2,uniform,scalar,V5_common_mode,92.156494140625,118.81300959911755,207.2322235107422,144.5056697509654,0.0
L2,uniform,scalar,V5_no_regularization,94.76152038574219,121.5297875329851,210.4085235595703,149.453077717473,0.0
L2,uniform,scalar,per_anchor_independent,112.50205993652344,131.98398192347054,231.68682861328125,166.40178999952977,0.0
L2,uniform,per_anchor_8params,V5_common_mode,112.50216674804688,131.98417429989476,231.68716430664062,166.4021140125152,0.0
L2,uniform,per_anchor_8params,V5_no_regularization,117.31495666503906,134.4470664309006,234.97804260253906,171.65223745045833,0.0
L2,uniform,per_anchor_8params,per_anchor_independent,133.28880310058594,159.17721182890784,272.47454833984375,185.17375780638756,0.0
L2,uniform,elevation_2params,V5_common_mode,93.7399673461914,119.58538398357886,208.39938354492188,146.60000869755171,0.0
L2,uniform,elevation_2params,V5_no_regularization,96.36579895019531,122.30465930413281,211.58131408691406,151.54487153822345,0.0
L2,uniform,elevation_2params,per_anchor_independent,113.85684967041016,132.83998980211118,232.65013122558594,168.48435351270402,0.0
L2,inverse_rho_rms,scalar,V5_common_mode,89.54993438720703,112.67100284817074,194.4418487548828,135.50469097394458,0.0
L2,inverse_rho_rms,scalar,V5_no_regularization,90.932861328125,115.57747756510565,201.88731384277344,140.29077397877177,0.0
L2,inverse_rho_rms,scalar,per_anchor_independent,110.47195434570312,127.14396905550613,215.45632934570312,160.04487633158192,0.0
L2,inverse_rho_rms,per_anchor_8params,V5_common_mode,110.47216796875,127.14413803214642,215.45655822753906,160.04520820103576,0.0
L2,inverse_rho_rms,per_anchor_8params,V5_no_regularization,115.02029418945312,129.8946989391792,219.81021118164062,165.08330921490995,0.0
L2,inverse_rho_rms,per_anchor_8params,per_anchor_independent,126.83470153808594,154.2893676971132,258.41064453125,182.1395917243817,0.0
L2,inverse_rho_rms,elevation_2params,V5_common_mode,90.89402770996094,113.46351285765834,195.86184692382812,137.6524465822708,0.0
L2,inverse_rho_rms,elevation_2params,V5_no_regularization,92.25921630859375,116.37399720969673,203.3175048828125,142.43721927445094,0.0
L2,inverse_rho_rms,elevation_2params,per_anchor_independent,112.00220489501953,128.01258025336807,216.4429931640625,162.1559499076865,0.0
L2,inverse_range_std,scalar,V5_common_mode,95.75103759765625,120.34581924993282,206.7786102294922,135.44148017152455,0.0
L2,inverse_range_std,scalar,V5_no_regularization,95.15000915527344,122.28172517796762,210.71798706054688,139.84372403648808,0.0
L2,inverse_range_std,scalar,per_anchor_independent,126.77794647216797,140.56198588167427,245.51585388183594,172.67750107703353,0.0
L2,inverse_range_std,per_anchor_8params,V5_common_mode,126.77801513671875,140.56214567540934,245.51614379882812,172.67780623393108,0.0
L2,inverse_range_std,per_anchor_8params,V5_no_regularization,128.3642120361328,142.79279814866365,247.04678344726562,177.39147417642263,0.0
L2,inverse_range_std,per_anchor_8params,per_anchor_independent,153.0518798828125,173.35623659281774,296.55267333984375,208.75336417336237,0.0
L2,inverse_range_std,elevation_2params,V5_common_mode,97.05641174316406,121.00533869291677,207.39041137695312,137.3425218971229,0.0
L2,inverse_range_std,elevation_2params,V5_no_regularization,96.28746032714844,122.94492304102069,211.32839965820312,141.73719231899835,0.0
L2,inverse_range_std,elevation_2params,per_anchor_independent,128.21617126464844,141.34331126949377,245.85061645507812,174.59550203815587,0.0
L2,NLOS_probability_based,scalar,V5_common_mode,91.05670166015625,116.73725589571866,206.31739807128906,139.64858831203415,0.0
L2,NLOS_probability_based,scalar,V5_no_regularization,93.62052917480469,119.63475094140708,208.90171813964844,145.1642004100418,0.0
L2,NLOS_probability_based,scalar,per_anchor_independent,112.31460571289062,131.3248670401954,235.37937927246094,165.03164907890476,0.0
L2,NLOS_probability_based,per_anchor_8params,V5_common_mode,112.31472778320312,131.3250083285739,235.37954711914062,165.03193455822924,0.0
L2,NLOS_probability_based,per_anchor_8params,V5_no_regularization,117.23774719238281,134.0392243780715,239.25390625,170.9038158452069,0.0
L2,NLOS_probability_based,per_anchor_8params,per_anchor_independent,137.15982055664062,159.93766485923507,273.4019470214844,187.62135548718697,0.0
L2,NLOS_probability_based,elevation_2params,V5_common_mode,92.67268371582031,117.50219412845021,207.437744140625,141.74677336882675,0.0
L2,NLOS_probability_based,elevation_2params,V5_no_regularization,95.21924591064453,120.40253530475385,210.02760314941406,147.2598722363103,0.0
L2,NLOS_probability_based,elevation_2params,per_anchor_independent,113.75379943847656,132.1741645164629,236.31080627441406,167.1132787141402,0.0
L1,uniform,scalar,V5_common_mode,92.15650939941406,118.81299727013244,207.23219299316406,144.50563634544005,0.0
L1,uniform,scalar,V5_no_regularization,94.76148223876953,121.52977146182124,210.40841674804688,149.45306050139845,0.0
L1,uniform,scalar,per_anchor_independent,112.50205993652344,131.98398192347054,231.6868133544922,166.40175936078035,0.0
L1,uniform,per_anchor_8params,V5_common_mode,112.50212860107422,131.98415210262934,231.68704223632812,166.40210895232107,0.0
L1,uniform,per_anchor_8params,V5_no_regularization,117.31491088867188,134.4470519038071,234.97801208496094,171.65219053111926,0.0
L1,uniform,per_anchor_8params,per_anchor_independent,133.288818359375,159.17722409903686,272.4745788574219,185.17377975530238,0.0
