config,position_id,mean_x,mean_y,mean_z,err_3d_mm,credible_volume_95_mm3,mahalanobis2
V4_CV4,ID01,-451.2292175292969,113.18087768554688,-372.4908447265625,114.92131042480469,974710.7286885442,21.6622860158643
V4_CV4,ID02,-526.3198852539062,1065.5552978515625,-218.1555938720703,60.274593353271484,1074552.9909330343,8.238710152335287
V4_CV4,ID03,-567.91259765625,1802.591796875,-239.86721801757812,178.33428955078125,982130.359612661,47.96682387228
V4_CV4,ID04,-244.07308959960938,24.160966873168945,482.444580078125,175.8308563232422,942117.5041122322,51.6502391573597
V4_CV4,ID05,-135.354736328125,1197.876953125,573.1220092773438,145.73072814941406,1005018.4129998321,46.10310573720071
V4_CV4,ID06,-184.90115356445312,1744.0950927734375,489.0547180175781,61.02687454223633,956292.6672259455,5.935937188310391
V4_CV4,ID07,341.4052734375,104.4010238647461,83.39585876464844,111.69490051269531,984174.6406235482,19.42310652420701
V4_CV4,ID08,476.529541015625,1192.890380859375,-102.9297103881836,108.72653198242188,1066125.5359414497,23.317997228194567
V4_CV4,ID09,422.72625732421875,1576.8038330078125,-42.44935989379883,25.826356887817383,1018185.3667057265,1.8628332773168337
V4_CV4,ID10,91.29046630859375,196.2989959716797,-970.9916381835938,59.451622009277344,967168.3799310981,8.148605069833033
V4_CV4,ID11,-71.16561889648438,1123.2147216796875,-968.9146728515625,17.340133666992188,1018715.0183215182,0.6397291039952857
V4_CV4,ID12,14.27659797668457,1624.3909912109375,-968.494384765625,68.41851043701172,980092.9482456823,10.686730874229921
V4_CV4,ID13,-171.1505584716797,1075.3956298828125,-185.6192169189453,67.46715545654297,1072353.544167179,5.378380365537511
V4_CV4,ID14,-168.24124145507812,1062.120849609375,-176.6171417236328,78.90076446533203,1072847.6787819213,8.204163499904022
V4_CV4,ID15,-180.6940155029297,1070.8787841796875,-203.46176147460938,67.1779556274414,1072847.4194534458,5.847090350848782
V4_CV4,ID16,-162.82830810546875,1088.7681884765625,-185.9895782470703,39.91698455810547,1071608.7624302777,2.2195233323464696
V4_CV4,ID17,-144.92991638183594,225.1231231689453,-325.0610656738281,38.90068054199219,987210.8761504006,2.9607410807714336
V4_CV4,ID18,-316.28936767578125,263.7605285644531,-260.1004943847656,70.50496673583984,996701.179334316,8.924348790797318
V4_CV4,ID19,-197.03070068359375,11.056501388549805,-99.06644439697266,195.67042541503906,951740.051209564,60.66296734754432
V4_CV4,ID20,-33.18544387817383,125.44683074951172,-241.3791046142578,92.65194702148438,971320.2409634573,14.80073743660676
V4_CV4,ID21,-217.81768798828125,1640.303466796875,-199.23594665527344,50.35808181762695,993990.9660394242,4.74609890573084
V4_CV4,ID22,-158.8188934326172,1638.276123046875,-200.9856414794922,90.36104583740234,993408.7753564756,16.63817139160556
V4_CV4,ID23,-169.64163208007812,1649.82373046875,-263.15081787109375,88.64836883544922,991591.813938138,16.173346846424824
V4_CV4,ID24,-257.0008239746094,1730.6748046875,-296.71246337890625,153.88613891601562,978342.0659593,43.574226052290186
V5_CV5,ID01,-460.2941589355469,79.43727111816406,-360.15875244140625,133.71035766601562,969330.627979998,27.171176695339238
