csv,rows
output_row_counts.csv,46
phase_runtime.csv,9
task10_antenna_pattern.csv,475
task10_nested_models.csv,5
task10_variance_attribution.csv,6
task11_model_evidence.csv,6
task11_posterior_predictive.csv,6
task12_calibration.csv,6
task12_posterior_summary.csv,48
task13_ablation.csv,8
task13_attention_weights.csv,8
task13_gnn_cv_results.csv,1
task14_observability_atlas.csv,990
task14_sensitivity_summary.csv,2
task15_confusion_matrix.csv,2
task15_synthetic_cir.csv,192
task16_hmm_states.csv,272
task16_phase_dependent_rho.csv,3264
task16_temporal_acf.csv,272
task17_candidate_info_gain.csv,495
task17_greedy_sequence.csv,5
task1_adversarial_rooms.csv,15
task1_mc_summary.csv,1
task1_random_mc_500rooms.csv,500
task2_fisher_joint.csv,36
task2_fisher_per_position.csv,24
task2_weakest_directions.csv,10
task3_shapley_values.csv,8
task3_subset_results.csv,256
task4_aa_at_per_anchor.csv,8
task4_asymmetry_summary.csv,1
task4_model_comparison.csv,4
task5_feature_importance.csv,4
task5_solver_search_216.csv,216
task5_top10.csv,10
task6_cv_results.csv,2
task6_feature_importance.csv,16
task6_negative_control.csv,1
task6_roto_transfer.csv,2
task6_static_features.csv,192
task7_feature_importance.csv,18
task7_model_comparison.csv,4
task7_negative_control.csv,1
task8_2d_slices.csv,1595
task8_3d_landscape.csv,10933
task8_valley_ridge.csv,377
task9_optimized_layouts.csv,10
task9_v5_vs_optimized.csv,8
task_status_summary.csv,17
