model,p50_rho,p90_rho,p99_rho,pct_gt100
M0_global_gaussian,1.0326104870291486,133.5433673002167,247.21727076829703,0.171
M1_per_anchor_gaussian,0.252321251231471,134.19824388941902,240.44997568326863,0.17095
M2_student_t,-0.9506978980332429,164.27954497336117,388.4022461270827,0.20285
M3_gaussian_exponential_tail,-1.4914045250705268,134.5699341464592,247.572888076401,0.17155
M4_per_anchor_mixture,9.680100788389684,156.43716498243447,313.45838200605584,0.21475
M5_elevation_tail_mixture,10.065640458081305,159.17682019479815,321.8768667739037,0.2156
