model,n_params,log_likelihood,aic,bic,loo_score
M0_global_gaussian,1,-1170.5537724438675,2343.107544887735,2346.3650402597627,-1171.5537724438675
M1_per_anchor_gaussian,8,-1165.0589082027523,2346.1178164055045,2372.177779381727,-1173.0589082027523
M2_student_t,2,-1158.636446408228,2321.272892816456,2327.7878835605115,-1160.636446408228
M3_gaussian_exponential_tail,3,-1159.1399099306109,2324.2798198612218,2334.052305977305,-1162.1399099306109
M4_per_anchor_mixture,24,-1147.107504472046,2342.215008944092,2420.394897872759,-1171.107504472046
M5_elevation_tail_mixture,5,-1159.1399099306109,2328.2798198612218,2344.567296721361,-1164.1399099306109
