gpu,key_finding,max_cpu_percent,max_gpu_percent,mean_cpu_percent,mean_gpu_percent,name,peak_vram_mb,rows,runtime_s,status,task
cuda:0,P(V5<V4)=1.00,59.9,28.0,21.297394789579158,23.695390781563127,Task 1 (Multi-room MC),336.0,500,510.09343391799996,OK,1
cuda:0,weakest eig 1.000e-06,39.2,0.0,27.575,0.0,Task 2 (Fisher),288.0,24,30.077977242000088,OK,2
cuda:0,"D=1242.9, F=1229.4",50.2,27.0,26.325,0.9642857142857143,Task 3 (Shapley),372.0,256,29.95026624100001,OK,3
cuda:1,mean asymmetry -4.7 mm,49.9,0.0,25.900000000000002,0.0,Task 4 (AA vs AT),148.0,8,28.254661347000138,OK,4
cuda:1,best 82.7 mm,38.2,21.0,25.43225806451613,1.2258064516129032,Task 5 (Solver search),196.0,216,32.464578136,OK,5
cuda:1,torch_mlp PR-AUC=0.949,43.1,16.0,25.56388888888889,3.1944444444444446,Task 6 (NLOS detector),204.0,192,38.831265554999845,OK,6
cuda:0,MLP median 118.0 mm vs scalar 98.5 mm,59.7,17.0,22.92733333333333,10.8,Task 7 (Learned correction),344.0,4,154.7663753119998,OK,7
cuda:1,"min 70.0 mm at s=0.930, dc=50, D=140",80.4,25.0,23.997247706422012,16.192660550458715,Task 8 (Landscape),196.0,10933,112.69577923600013,OK,8
cuda:0,"best optimized median 78.3 mm, mean move 88.0 mm",61.1,25.0,24.80319148936171,14.5,Task 9 (Layout opt),344.0,10,97.75447061900013,OK,9
cuda:1,M0_global median 75.1 mm,62.2,14.0,33.349999999999994,1.3888888888888888,Task 10 (Residual decomp),204.0,5,38.870755143,OK,10
cuda:0,BIC winner M2_student_t,30.6,0.0,22.59615384615385,0.0,Task 11 (Model tournament),288.0,6,27.22034443000007,OK,11
cuda:1,V5 95pct coverage 0.33,29.9,0.0,22.62307692307692,0.0,Task 12 (Bayesian solver),148.0,48,27.983790783999893,OK,12
cuda:0,attention residual median 121.1 mm,37.6,26.0,20.274444444444445,15.488888888888889,Task 13 (GNN attention),344.0,8,92.57112593199986,OK,13
cuda:1,V5 mean GDOP 1.17,28.8,0.0,22.311538461538458,0.0,Task 14 (Observability),148.0,990,27.83848381299981,OK,14
cuda:0,synthetic NLOS agreement 0.14,56.8,0.0,19.90740740740741,0.0,Task 15 (Synthetic CIR),288.0,192,28.58095663800009,OK,15
cuda:1,median NLOS dwell 1.8 frames,35.0,1.0,17.5,0.5,Task 16 (ROTO state),148.0,272,1.7443835110000236,OK,16
cuda:0,top info gain 0.178,50.6,3.0,20.50740740740741,0.1111111111111111,Task 17 (Active design),288.0,495,28.75840762400003,OK,17
