restart_id,median_3d,rmse,d_tag,scale,per_anchor_displacement,max_anchor_displacement
0,79.21507263183594,78.67316440105228,68.603759765625,1.0137579441070557,71.66549682617188,152.886474609375
1,79.55104064941406,77.46598295784415,84.57487487792969,1.003980278968811,83.2825927734375,138.80886840820312
2,80.97122192382812,77.61957760851962,70.80918884277344,1.0137056112289429,82.34591674804688,138.91061401367188
3,78.28338623046875,78.11841222224758,89.24546813964844,1.0038539171218872,87.97903442382812,130.6944122314453
4,80.24459838867188,77.74036566112228,80.25475311279297,1.0111942291259766,79.02200317382812,125.61573791503906
5,79.68739318847656,77.28110152128883,88.43553161621094,1.0115031003952026,114.49624633789062,184.3564453125
6,80.42974853515625,77.53426661805733,82.95245361328125,1.0102814435958862,74.13623046875,120.73005676269531
7,78.93336486816406,76.93324457667016,95.3383560180664,1.0031070709228516,103.60475158691406,156.77345275878906
8,79.40013885498047,77.52040746938027,87.80924987792969,1.0082721710205078,91.60884857177734,176.05776977539062
9,78.29423522949219,76.81266527646987,88.50940704345703,1.0065864324569702,119.18196105957031,228.70175170898438
