feature,gradient_magnitude,permutation_importance
cos_az,0.7468444108963013,207.4474135980068
anchor_6,0.6352002024650574,120.55714519220305
range_skewness,1.298961877822876,112.68645589494506
range_kurtosis,1.5096529722213745,110.09039871613473
anchor_3,0.4707930088043213,105.72753790843817
elevation_angle_cfg,1.202101469039917,103.7607704384848
sin_az,0.9157311320304871,101.16635933585454
range_iqr,1.35280442237854,101.0477644670398
anchor_2,0.4921753406524658,97.80768571025601
range_std,0.7580775022506714,97.08628406197053
azimuth_angle_cfg,0.5071762800216675,93.22713611739036
n_samples,1.2060918807983398,86.37639313236917
anchor_5,0.7344905734062195,75.7995831048789
anchor_1,0.41607651114463806,73.95027367196292
anchor_7,0.6031093597412109,72.56693665274034
geometric_distance_cfg,0.6261917352676392,68.67502091875488
anchor_4,0.4847531318664551,65.56971343997509
anchor_0,0.5972842574119568,55.82707854476052
