s,delta_c_mm,best_d_tag_mm,min_median_3d_mm
0.93,-60.0,140.0,235.38766479492188
0.93,-50.0,140.0,219.71783447265625
0.93,-40.0,140.0,204.3300323486328
0.93,-30.0,140.0,189.2215576171875
0.93,-20.0,140.0,172.25082397460938
0.93,-10.0,140.0,154.96432495117188
0.93,0.0,140.0,137.8748779296875
0.93,10.0,140.0,121.02096557617188
0.93,20.0,140.0,104.45057678222656
0.93,30.0,140.0,88.22975158691406
0.93,40.0,140.0,75.09803009033203
0.93,50.0,140.0,69.95999908447266
0.93,60.0,130.0,69.95999908447266
0.935,-60.0,140.0,222.07656860351562
0.935,-50.0,140.0,206.6552734375
0.935,-40.0,140.0,191.51419067382812
0.935,-30.0,140.0,175.05517578125
0.935,-20.0,140.0,157.72210693359375
0.935,-10.0,140.0,140.5842742919922
0.935,0.0,140.0,123.67936706542969
0.935,10.0,140.0,107.05314636230469
0.935,20.0,140.0,90.7681655883789
0.935,30.0,140.0,76.61792755126953
0.935,40.0,140.0,70.73165893554688
0.935,50.0,130.0,70.73165893554688
0.935,60.0,120.0,70.73165893554688
0.94,-60.0,140.0,208.96945190429688
0.94,-50.0,140.0,193.79586791992188
0.94,-40.0,140.0,177.84848022460938
0.94,-30.0,140.0,160.46951293945312
0.94,-20.0,140.0,143.28445434570312
0.94,-10.0,140.0,126.32933807373047
0.94,0.0,140.0,109.64910888671875
0.94,10.0,140.0,93.30287170410156
0.94,20.0,140.0,78.74871826171875
0.94,30.0,140.0,71.510009765625
0.94,40.0,135.0,71.20793151855469
0.94,50.0,125.0,71.20793151855469
0.94,60.0,135.0,71.02278137207031
0.945,-60.0,140.0,196.06698608398438
0.945,-50.0,140.0,180.63043212890625
0.945,-40.0,140.0,163.20626831054688
0.945,-30.0,140.0,145.97462463378906
0.945,-20.0,140.0,128.97085571289062
0.945,-10.0,140.0,112.23797607421875
0.945,0.0,140.0,95.8323745727539
0.945,10.0,140.0,80.89462280273438
0.945,20.0,140.0,72.29405975341797
0.945,30.0,135.0,70.92134094238281
0.945,40.0,125.0,70.92134094238281
0.945,50.0,115.0,70.92134094238281
0.945,60.0,105.0,70.92134094238281
0.95,-60.0,140.0,183.37020874023438
0.95,-50.0,140.0,165.93231201171875
0.95,-40.0,140.0,148.65487670898438
0.95,-30.0,140.0,131.60324096679688
0.95,-20.0,140.0,114.81919860839844
0.95,-10.0,140.0,98.35659790039062
0.95,0.0,140.0,83.05323791503906
0.95,10.0,140.0,73.08301544189453
