capture_id,tag,anchor,nlos_fraction,mean_dwell_frames,transition_rate
R01,BS2DCE,A,0.15789473684210525,2.0106382978723403,0.15635451505016723
R01,BS2DCE,B,0.19027661357921208,1.8916666666666666,0.20134228187919462
R01,BS2DCE,C,0.11622073578595318,2.3559322033898304,0.09790794979079498
R01,BS2DCE,D,0.19330543933054392,2.026315789473684,0.19095477386934673
R01,BS2DCE,E,0.200836820083682,2.0168067226890756,0.19932998324958123
R01,BS2DCE,F,0.22895622895622897,2.4070796460176993,0.18955349620893008
R01,BS2DCE,G,0.12814070351758794,1.4854368932038835,0.17267393126571667
R01,BS2DCE,H,0.152428810720268,1.956989247311828,0.15590947191953058
R01,BSDC91,A,0.08542713567839195,1.457142857142857,0.1173512154233026
R01,BSDC91,B,0.13556485355648534,2.4545454545454546,0.11055276381909548
R01,BSDC91,C,0.109151973131822,2.0634920634920637,0.10504201680672269
R01,BSDC91,D,0.14464882943143811,2.0595238095238093,0.14058577405857742
R01,BSDC91,E,0.08549874266554904,2.125,0.08053691275167785
R01,BSDC91,F,0.1265930331350892,2.759259259259259,0.09183673469387756
R01,BSDC91,G,0.09235936188077246,1.3580246913580247,0.1361344537815126
R01,BSDC91,H,0.13540790580319595,1.5631067961165048,0.1734006734006734
R02,BS2DCE,A,0.10758965804837364,1.6329113924050633,0.1318864774624374
R02,BS2DCE,B,0.21512605042016808,1.855072463768116,0.2321278385197645
R02,BS2DCE,C,0.11428571428571428,2.0,0.11438183347350715
R02,BS2DCE,D,0.18021793797150043,2.0093457943925235,0.17869127516778524
R02,BS2DCE,E,0.17391304347826086,1.7627118644067796,0.19665271966527198
R02,BS2DCE,F,0.05258693808312129,1.8235294117647058,0.057724957555178265
R02,BS2DCE,G,0.21075085324232082,2.4455445544554455,0.17164816396242527
R02,BS2DCE,H,0.09780775716694773,1.1958762886597938,0.16371308016877636
R02,BSDC91,A,0.10341951626355296,2.0,0.10350584307178631
R02,BSDC91,B,0.12197159565580618,1.2695652173913043,0.19230769230769232
R02,BSDC91,C,0.10535117056856187,2.0,0.10543933054393305
R02,BSDC91,D,0.19416666666666665,2.0086206896551726,0.19349457881567975
R02,BSDC91,E,0.060884070058381985,1.5869565217391304,0.07679465776293823
R02,BSDC91,F,0.07731520815632965,1.3582089552238805,0.11394557823129252
R02,BSDC91,G,0.23825503355704697,2.84,0.16792611251049538
R02,BSDC91,H,0.10847457627118644,1.5238095238095237,0.14164546225614927
R03,BS2DCE,A,0.1001669449081803,1.3333333333333333,0.15037593984962405
R03,BS2DCE,B,0.12217573221757322,1.7380952380952381,0.13986599664991625
R03,BS2DCE,C,0.11986588432523052,1.5543478260869565,0.15436241610738255
R03,BS2DCE,D,0.1899581589958159,2.316326530612245,0.16331658291457288
R03,BS2DCE,E,0.07692307692307693,1.4153846153846155,0.1087866108786611
R03,BS2DCE,F,0.13260135135135134,1.6881720430107527,0.15722738799661876
R03,BS2DCE,G,0.11382799325463744,2.5961538461538463,0.08691983122362869
R03,BS2DCE,H,0.11862990810359231,1.595505617977528,0.1479933110367893
R03,BSDC91,A,0.05087572977481234,1.1090909090909091,0.09181969949916527
R03,BSDC91,B,0.0773109243697479,1.1794871794871795,0.13036164844407064
R03,BSDC91,C,0.09655751469353484,1.796875,0.10756302521008404
R03,BSDC91,D,0.1514644351464435,2.104651162790698,0.14321608040201006
R03,BSDC91,E,0.12771285475792987,1.8433734939759037,0.13868003341687551
R03,BSDC91,F,0.11063829787234042,1.6455696202531647,0.13373083475298125
R03,BSDC91,G,0.04040404040404041,1.4545454545454546,0.05560235888795282
R03,BSDC91,H,0.2105704697986577,1.9307692307692308,0.218303946263644
R04,BS2DCE,A,0.12166666666666667,1.7804878048780488,0.13678065054211844
R04,BS2DCE,B,0.15088013411567477,1.6822429906542056,0.17953020134228187
R04,BS2DCE,C,0.04355108877721943,1.4857142857142858,0.0586756077116513
R04,BS2DCE,D,0.19147157190635453,1.8617886178861789,0.20585774058577405
R04,BS2DCE,E,0.055322715842414084,1.2692307692307692,0.087248322147651
R04,BS2DCE,F,0.16013628620102216,1.504,0.21227621483375958
R04,BS2DCE,G,0.13624678663239073,1.325,0.2058319039451115
R04,BS2DCE,H,0.1445477599323753,2.28,0.12690355329949238
R04,BSDC91,A,0.05337781484570475,1.1851851851851851,0.09015025041736227
R04,BSDC91,B,0.07634228187919463,1.1518987341772151,0.13266162888329136
R04,BSDC91,C,0.042821158690176324,1.3076923076923077,0.06554621848739496
R04,BSDC91,D,0.17627401837928153,1.9537037037037037,0.1806020066889632
R04,BSDC91,E,0.1087866108786611,1.6666666666666667,0.1306532663316583
R04,BSDC91,F,0.07476635514018691,1.2941176470588236,0.11564625850340136
R04,BSDC91,G,0.05847457627118644,1.4081632653061225,0.08312128922815945
R04,BSDC91,H,0.09322033898305085,1.3414634146341464,0.13910093299406276
R05,BS2DCE,A,0.11509591326105087,1.6829268292682926,0.13689482470784642
R05,BS2DCE,B,0.15929941618015012,1.9895833333333333,0.16026711185308848
R05,BS2DCE,C,0.06197654941373534,1.15625,0.10729253981559095
R05,BS2DCE,D,0.14681208053691275,2.0348837209302326,0.14357682619647355
R05,BS2DCE,E,0.15692821368948248,2.1123595505617976,0.14870509607351712
R05,BS2DCE,F,0.06850459482038429,1.1884057971014492,0.11538461538461539
R05,BS2DCE,G,0.07388748950461797,1.2753623188405796,0.11596638655462185
R05,BS2DCE,H,0.15255658005029338,1.625,0.18791946308724833
R05,BSDC91,A,0.11715481171548117,1.971830985915493,0.11892797319932999
R05,BSDC91,B,0.08514190317195326,1.8214285714285714,0.0935672514619883
R05,BSDC91,C,0.048414023372287146,1.3488372093023255,0.07184628237259816
