config,credible_level,empirical_coverage,median_credible_volume
V4_CV4,0.5,0.125,992500.2946473068
V4_CV4,0.8,0.16666666666666666,992500.2946473068
V4_CV4,0.95,0.3333333333333333,992500.2946473068
V5_CV5,0.5,0.08333333333333333,988173.2411048689
V5_CV5,0.8,0.25,988173.2411048689
V5_CV5,0.95,0.3333333333333333,988173.2411048689
