model,cv_median_3d_mm,cv_rmse_3d_mm,cv_range_rmse_mm
scalar,98.51515197753906,118.18569455918724,107.66951786103358
per_anchor_scalar,114.57308959960938,133.0197280363894,106.84867319917782
linear,80.61305236816406,104.59915582086454,105.35056547339354
mlp,117.96830749511719,165.8946095699767,157.37927377035513
