s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.93,30.0,115.0,129.4156951904297,141.56021659306333,193.16861295374366
0.93,30.0,120.0,121.02085876464844,135.79899553199942,181.61196394867446
0.93,30.0,125.0,112.69659423828125,130.1961335951456,170.1314017797929
0.93,30.0,130.0,104.450439453125,124.76519743978086,158.72870803876768
0.93,30.0,135.0,96.291259765625,119.5214742734543,147.4058471177742
0.93,30.0,140.0,88.22975158691406,114.48207505025623,136.1646333559548
0.93,40.0,0.0,301.44293212890625,286.6748076000052,450.58519513204874
0.93,40.0,5.0,292.9951171875,278.92333456077137,437.76621665068035
0.93,40.0,10.0,284.6799011230469,271.25655234021536,425.0007143861668
0.93,40.0,15.0,276.42138671875,263.67186342592566,412.28836406606104
0.93,40.0,20.0,267.6397705078125,256.16724273411694,399.6290434835869
0.93,40.0,25.0,259.4311828613281,248.74118231858995,387.0226732836
0.93,40.0,30.0,251.34408569335938,241.3928576382284,374.46960775807156
0.93,40.0,35.0,243.329833984375,234.1218049034519,361.9701523763656
0.93,40.0,40.0,235.38772583007812,226.92823927675903,349.52489677735235
0.93,40.0,45.0,227.517333984375,219.81284653086135,337.13453912310825
0.93,40.0,50.0,219.71783447265625,212.77681418859999,324.79992429257913
0.93,40.0,55.0,211.98886108398438,205.82195165057104,312.5221073342047
0.93,40.0,60.0,204.33004760742188,198.95049831867726,300.30212631117695
0.93,40.0,65.0,196.74099731445312,192.16539507023631,288.1413571264007
0.93,40.0,70.0,189.2215576171875,185.47009529840653,276.04108422255075
0.93,40.0,75.0,180.95767211914062,178.86880339546357,264.0029440430517
0.93,40.0,80.0,172.25088500976562,172.36622983490705,252.0282781078957
0.93,40.0,85.0,163.58514404296875,165.96801743860172,240.1189173128562
0.93,40.0,90.0,154.96434020996094,159.68050987636218,228.27646415622792
0.93,40.0,95.0,146.39276123046875,153.5109867301849,216.5026977751119
0.93,40.0,100.0,137.87493896484375,147.46777322732245,204.79951357543067
0.93,40.0,105.0,129.4156951904297,141.56021659306333,193.16861444696755
0.93,40.0,110.0,121.02095031738281,135.79899553199942,181.61197390063327
0.93,40.0,115.0,112.69659423828125,130.1961335951456,170.1314017797929
0.93,40.0,120.0,104.45045471191406,124.76519743978086,158.72870803876768
0.93,40.0,125.0,96.291259765625,119.5214742734543,147.4058471177742
0.93,40.0,130.0,88.22975158691406,114.48206651999037,136.16462962289498
0.93,40.0,135.0,81.22715759277344,109.66614820672785,125.00698482972678
0.93,40.0,140.0,75.09803009033203,105.0947256868179,113.9344583923138
0.93,50.0,0.0,284.6799011230469,271.25655234021536,425.0007143861668
0.93,50.0,5.0,276.42138671875,263.67186342592566,412.28836406606104
0.93,50.0,10.0,267.6397705078125,256.16724273411694,399.6290434835869
0.93,50.0,15.0,259.4311828613281,248.74118231858995,387.0226732836
0.93,50.0,20.0,251.34408569335938,241.3928576382284,374.46960775807156
0.93,50.0,25.0,243.329833984375,234.1218049034519,361.9701523763656
0.93,50.0,30.0,235.38772583007812,226.92823927675903,349.52489677735235
0.93,50.0,35.0,227.517333984375,219.81284653086135,337.13453912310825
0.93,50.0,40.0,219.71783447265625,212.77680500938067,324.7999063132045
0.93,50.0,45.0,211.98886108398438,205.8219421611797,312.52208968378466
0.93,50.0,50.0,204.33004760742188,198.95049831867726,300.30212631117695
0.93,50.0,55.0,196.74099731445312,192.16539507023631,288.1413571264007
0.93,50.0,60.0,189.2215576171875,185.47009529840653,276.04108422255075
0.93,50.0,65.0,180.95767211914062,178.86880339546357,264.0029440430517
0.93,50.0,70.0,172.2509307861328,172.3662355005324,252.02828868346472
0.93,50.0,75.0,163.58514404296875,165.96801743860172,240.1189173128562
0.93,50.0,80.0,154.96434020996094,159.68050987636218,228.27646415622792
0.93,50.0,85.0,146.39276123046875,153.5109867301849,216.5026977751119
0.93,50.0,90.0,137.87493896484375,147.46777322732245,204.79951357543067
0.93,50.0,95.0,129.4156951904297,141.56021659306333,193.16861444696755
0.93,50.0,100.0,121.02095031738281,135.79899553199942,181.61197390063327
0.93,50.0,105.0,112.69659423828125,130.1961335951456,170.1314017797929
0.93,50.0,110.0,104.45050811767578,124.76520135338218,158.72871861433677
0.93,50.0,115.0,96.291259765625,119.5214742734543,147.4058471177742
0.93,50.0,120.0,88.22975158691406,114.48206651999037,136.16462962289498
0.93,50.0,125.0,81.22715759277344,109.66614820672785,125.00698482972678
0.93,50.0,130.0,75.09803009033203,105.0947256868179,113.9344583923138
0.93,50.0,135.0,72.46804809570312,100.79112839183814,102.94899408160798
0.93,50.0,140.0,69.95999908447266,96.78034690408482,92.05216852651999
0.93,60.0,0.0,267.6397705078125,256.16724273411694,399.6290337983
0.93,60.0,5.0,259.4311828613281,248.74118231858995,387.0226732836
0.93,60.0,10.0,251.34408569335938,241.39284145610034,374.46959807278466
0.93,60.0,15.0,243.329833984375,234.1218049034519,361.9701523763656
0.93,60.0,20.0,235.38772583007812,226.92823927675903,349.52488795214236
0.93,60.0,25.0,227.517333984375,219.81284653086135,337.13453912310825
0.93,60.0,30.0,219.71783447265625,212.77680500938067,324.7999063132045
0.93,60.0,35.0,211.98886108398438,205.82195165057104,312.52209936907144
0.93,60.0,40.0,204.33004760742188,198.95049831867726,300.30212631117695
0.93,60.0,45.0,196.74099731445312,192.16539507023631,288.1413571264007
0.93,60.0,50.0,189.2215576171875,185.47009529840653,276.04108422255075
0.93,60.0,55.0,180.95767211914062,178.86880339546357,264.0029440430517
0.93,60.0,60.0,172.2509307861328,172.3662355005324,252.0282789981779
0.93,60.0,65.0,163.58514404296875,165.96801743860172,240.1189173128562
0.93,60.0,70.0,154.96441650390625,159.6805221078169,228.27647473179698
0.93,60.0,75.0,146.39276123046875,153.5109867301849,216.5026977751119
0.93,60.0,80.0,137.87493896484375,147.46777322732245,204.79951357543067
0.93,60.0,85.0,129.4156951904297,141.56021659306333,193.16861444696755
0.93,60.0,90.0,121.02095031738281,135.79899553199942,181.61197390063327
0.93,60.0,95.0,112.69659423828125,130.1961335951456,170.1314017797929
0.93,60.0,100.0,104.45050811767578,124.76520135338218,158.72871861433677
0.93,60.0,105.0,96.29124450683594,119.5214742734543,147.4058471177742
0.93,60.0,110.0,88.22975158691406,114.48206651999037,136.16462962289498
0.93,60.0,115.0,81.22715759277344,109.66614820672785,125.00698482972678
0.93,60.0,120.0,75.09803009033203,105.0947256868179,113.9344583923138
0.93,60.0,125.0,72.46804809570312,100.79112839183814,102.94899408160798
0.93,60.0,130.0,69.95999908447266,96.78034690408482,92.05216852651999
0.93,60.0,135.0,73.27932739257812,93.08915522397064,81.24565698287651
0.93,60.0,140.0,74.63163757324219,89.74524763270894,70.53096707897768
0.935,-60.0,0.0,464.15704345703125,448.72585241436667,696.1349274773855
0.935,-60.0,5.0,455.1346435546875,438.6706659043889,682.3079328303072
