model,pr_auc,nlos_recall_at_fpr10,accuracy,n_train,n_test
torch_logistic,0.9456662668066177,0.8888888888888888,0.9473684210526315,95,95
torch_mlp,0.9485277033169753,0.8888888888888888,0.9578947368421052,95,95
