ablation,median_3d,rmse_3d
downweight_A,85.7821044921875,130.85850839265285
downweight_B,85.0973129272461,134.7889336727055
downweight_C,102.56150817871094,131.94764734782126
downweight_D,111.39500427246094,132.39580218987308
downweight_E,99.56195068359375,123.63991315509729
downweight_F,96.556640625,119.51999947053841
downweight_G,93.57121276855469,124.59468271534504
downweight_H,94.75093078613281,135.5061907603302
