objective,room_id,room_params,V4_error,V5_error,characteristics
Error_V5_minus_V4,215,"L=8622,W=4939,H=3160,nlos=0.10,bias=63.0",70.39198303222656,33.76523208618164,"v5_minus_v4=-36.6, v5_dtag_spread=8.0"
Error_V5_minus_V4,172,"L=6475,W=4437,H=2777,nlos=0.17,bias=50.2",98.80509948730469,42.764060974121094,"v5_minus_v4=-56.0, v5_dtag_spread=16.0"
Error_V5_minus_V4,247,"L=4991,W=4197,H=3667,nlos=0.13,bias=84.9",96.18913269042969,38.22058868408203,"v5_minus_v4=-58.0, v5_dtag_spread=8.0"
Error_V5_minus_V4,2,"L=5706,W=4642,H=3360,nlos=0.10,bias=142.6",97.9161148071289,38.89164733886719,"v5_minus_v4=-59.0, v5_dtag_spread=24.0"
Error_V5_minus_V4,52,"L=8480,W=4306,H=3571,nlos=0.07,bias=130.2",112.40400695800781,50.79212188720703,"v5_minus_v4=-61.6, v5_dtag_spread=24.0"
Error_V5,418,"L=9711,W=10000,H=2911,nlos=0.26,bias=142.9",1269.8739013671875,182.08338928222656,"v5_minus_v4=-1087.8, v5_dtag_spread=40.0"
Error_V5,112,"L=9816,W=9348,H=2908,nlos=0.21,bias=58.1",1110.5557861328125,150.35528564453125,"v5_minus_v4=-960.2, v5_dtag_spread=0.0"
Error_V5,199,"L=7295,W=8362,H=2774,nlos=0.25,bias=131.6",637.08447265625,135.40414428710938,"v5_minus_v4=-501.7, v5_dtag_spread=48.0"
Error_V5,367,"L=9226,W=7806,H=2903,nlos=0.27,bias=134.2",282.5670166015625,132.27545166015625,"v5_minus_v4=-150.3, v5_dtag_spread=40.0"
Error_V5,293,"L=8413,W=7303,H=3068,nlos=0.25,bias=129.5",1096.978759765625,123.97882080078125,"v5_minus_v4=-973.0, v5_dtag_spread=56.0"
Dtag_height_spread_V5,218,"L=9345,W=7909,H=3342,nlos=0.27,bias=109.8",291.8319091796875,109.13333129882812,"v5_minus_v4=-182.7, v5_dtag_spread=120.0"
Dtag_height_spread_V5,160,"L=4711,W=5767,H=3998,nlos=0.22,bias=121.1",325.89984130859375,68.44596862792969,"v5_minus_v4=-257.5, v5_dtag_spread=120.0"
Dtag_height_spread_V5,158,"L=7145,W=5443,H=3945,nlos=0.26,bias=146.7",330.3699645996094,87.71754455566406,"v5_minus_v4=-242.7, v5_dtag_spread=120.0"
Dtag_height_spread_V5,119,"L=4551,W=5348,H=2680,nlos=0.13,bias=71.4",256.42242431640625,65.1363754272461,"v5_minus_v4=-191.3, v5_dtag_spread=120.0"
Dtag_height_spread_V5,137,"L=9239,W=6214,H=2806,nlos=0.28,bias=99.9",512.26708984375,95.49232482910156,"v5_minus_v4=-416.8, v5_dtag_spread=104.0"
