model,n_params,cv_range_rmse,cv_position_median_3d
M0_global,1,105.36975015606205,75.11940002441406
M1_anchor,9,104.42826417740396,79.03092956542969
M2_antenna,15,106.1620858025309,79.7099609375
M3_spatial,19,103.01523416745492,82.08810424804688
M4_full_mlp,35,148.15266346563268,123.31999206542969
