ID,status,location,height,facing,all_available_frames,strict8_frames,strict8_ratio_percent,N_frames,mean_x,mean_y,mean_z,X_std,Y_std,Z_std,D3_std,radial_p50,radial_p75,radial_p95,radial_max,median_anchors,pct_ge7,pct_ge8,allavail_N_frames,allavail_X_std,allavail_Y_std,allavail_Z_std,allavail_D3_std,delta_D3_strict8_minus_allavail,delta_Z_strict8_minus_allavail
ID01,ok,edge,low,ABEF,601,150,24.958402662229616,150,1484.5000487945958,1091.5722673217747,68.27428898720044,26.105162186795027,20.409919001952574,35.31808005786547,48.4294441991536,40.777978287839034,53.89648774020212,77.06078885035332,128.2678846497265,8.0,100.0,100.0,601,27.613066319225847,22.000081013315178,34.335292486486885,49.248322877789434,-0.8188786786358335,0.9827875713785872
ID02,ok,edge,mid,ABEF,601,162,26.955074875207988,162,1673.4146126528926,1058.8247729803531,-827.1017607940538,15.783212342009204,14.569708096913342,35.90359785228367,41.8384335820633,34.498313180473545,48.87684280576734,69.41582579884003,123.15384634937652,8.0,100.0,100.0,601,18.942420430933318,16.258500416885887,37.86954842595105,45.3569931275605,-3.5185595454971974,-1.965950573667385
ID03,ok,edge,high,ABEF,600,183,30.5,183,1627.5086020944705,1075.00865219963,-1452.9189036979717,23.836144004881884,17.401042654051285,24.133781091968576,38.123449952288404,31.642834665607136,45.465404381790236,63.214681053132075,131.47935547150115,8.0,100.0,100.0,600,23.786399615649245,18.871921093098074,24.242941246605653,38.85437443462257,-0.7309244823341672,-0.10916015463707751
ID04,ok,edge,low,BCGF,601,349,58.069883527454245,349,2307.4158385720384,2465.6677719276868,-14.916162423109421,25.147167094730737,14.565692761064284,37.46824232346101,47.41738712022863,37.03460230804747,52.8373203403634,80.32803456626239,221.87415673767384,8.0,100.0,100.0,601,25.62491689808432,14.088022350741129,44.68008161305756,53.39867444738861,-5.981287327159976,-7.211839289596547
ID05,ok,edge,mid,BCGF,601,160,26.622296173044926,160,2246.1873622091234,2423.968939209196,-1016.0359352861406,23.96180301429289,14.786749685894746,42.5743778912409,51.04305655811832,42.34266442370921,57.281016688039124,91.28927543311922,115.02918559726335,8.0,100.0,100.0,601,29.840318985869676,17.036805974784365,41.75476883881653,54.07548534949923,-3.0324287913809087,0.8196090524243687
ID06,ok,edge,high,BCGF,600,214,35.666666666666664,214,2055.7477796373746,2454.892494326267,-1463.788156698754,19.721222543594664,13.164564089419022,21.13593690890238,31.764133787898405,27.48716073085265,39.123576713995384,51.725519784328206,68.10099305274838,8.0,100.0,100.0,600,21.478136888332557,14.267750957973396,20.073607391525517,32.67764978240954,-0.9135159945111333,1.0623295173768632
ID07,ok,edge,low,CDHG,600,89,14.833333333333334,89,674.3341558714221,2577.1384830678967,88.84921637287921,29.61206382827169,18.89440175945608,51.156240107396705,62.05508556067743,49.99882500728891,78.88733182651099,101.50938996376442,126.06330122867807,8.0,100.0,100.0,600,27.474490931963892,18.82247760889198,68.15393261558775,75.85573047751818,-13.800644916840746,-16.997692508191044
ID08,ok,edge,mid,CDHG,601,117,19.467554076539102,117,1702.3397314843455,3646.3130776712833,-972.0297582102752,36.732961914238714,32.16890804538816,76.96926450688377,91.15051735758931,67.89724786881163,97.93545256390993,167.48687208233795,246.6563290695837,8.0,100.0,100.0,601,42.49276674739816,30.347928375851996,71.07421186870806,88.19396564001775,2.956551717571557,5.895052638175713
ID09,ok,edge,high,CDHG,601,213,35.44093178036606,213,1582.741939177188,3408.479965150551,-1522.9577263549422,32.61888204610942,19.75352269411644,55.7503793866821,67.54478459899003,53.87439144279663,75.00014504618719,124.74457054658802,167.84242806190275,8.0,100.0,100.0,601,46.00663615674844,21.14385304448852,64.86962198723435,82.2905884581769,-14.745803859186864,-9.119242600552255
ID10,missing,edge,low,ADHE,,,,,,,,,,,,,,,,,,,,,,,,,
ID11,ok,edge,mid,ADHE,601,156,25.9567387687188,156,877.1532885901332,2534.6640544435186,-892.6811808772737,20.869493145278135,16.46476542968933,38.03579595637925,46.40415949923908,37.77928331513002,52.27725435243387,80.03003630455981,132.37478300460057,8.0,100.0,100.0,601,21.296990191050362,17.6781297694714,42.15127042249715,50.42625964291273,-4.022100143673654,-4.115474466117895
ID12,ok,edge,high,ADHE,601,157,26.123128119800334,157,849.4624273753486,2453.872252889529,-1398.8654656912533,23.427407360293394,16.78284000094618,30.128731664656506,41.69229672065769,33.36070532035369,46.09104327666601,69.89225286551518,121.86819880380912,8.0,100.0,100.0,601,26.346519430161592,18.08924765184743,34.39567711434392,46.95127869236313,-5.258981971705445,-4.266945449687412
ID13,ok,center,mid,ABEF,601,240,39.93344425956739,240,1708.5196362775744,2524.8731891027883,-870.6393882986791,19.474661188719114,13.916548050330693,37.49224843253333,44.48147289129895,35.83981559870989,50.1248815390603,76.42386657173881,112.00786003210214,8.0,100.0,100.0,601,23.080388212898285,13.27080778797906,42.14192088588713,49.847368590086575,-5.365895698787625,-4.649672453353801
