layout_solver,baseline_pair,scale_factor,delay_mode,tag_method,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_xz_median_mm,err_horizontal_xz_p95_mm,err_vertical_y_median_mm,err_vertical_y_p95_mm,d3_std_median_mm,residual_rms_median_mm
v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T1,24,28818,28818,77.91678125465464,111.08589484290721,150.7172410293185,97.39562516127528,50.384566932433444,104.17123774311395,46.40485274073997,135.61323158503356,61.94924395684477,107.19848772903285
v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T2,24,28818,28818,78.16504604420554,109.55542504448857,151.25775177958417,96.7174319197765,50.381115689850276,102.51576642710607,46.11208485127959,136.09266322666997,61.912950179086025,107.23013056111282
v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T3,24,28818,28818,115.2128961217978,143.26524094995656,186.56894469077477,123.39655335148518,42.10177846803791,139.9747107431503,79.82957780266509,168.41568090659047,61.28113477022696,111.85657267443716
v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T4,24,28818,28818,77.7649305533269,116.80025622334585,150.85588910532917,99.54528297040272,48.94796033839889,109.4094168524567,50.56874201860467,134.15812611189597,61.78261090189474,107.31000576024536
v1-old,A-B,0.9286065251127016,solver_delay,T1,24,28818,28818,418.52905712087954,512.1034529600917,588.180899052445,450.55733842610476,98.03723665358353,259.89276671902337,401.3495531555252,579.3230030397233,71.41942639956335,159.16058570247873
v1-old,A-B,0.9286065251127016,solver_delay,T2,24,28818,28818,418.3768599601518,510.79976330248434,587.5436906123949,450.36786825739057,98.65716795998469,258.13418940427556,401.71830698474935,578.9468598854556,71.83048082133944,159.20761539091777
v1-old,A-B,0.9286065251127016,solver_delay,T3,24,28818,28818,423.4404983508591,536.5577849059439,696.0884302418527,544.9529728685802,139.39234303573318,321.2040076473967,401.5082944336523,690.7896137930458,93.15446032037788,178.2006623045392
v1-old,A-B,0.9286065251127016,solver_delay,T4,24,28818,28818,400.7116394819034,432.7942130160283,539.7676617424859,407.35568966394953,92.4436515274997,167.54048995085626,375.69413584638687,532.1074503094617,107.30725272745502,185.44247698233022
v1-old,A-C,0.9288221884073664,one_baseline_layout_inter_anchor_delaycal,T1,24,28818,28818,77.71247340483183,110.87671978432121,150.4765857456098,97.19355991524237,50.275946460513836,103.91842774091697,46.47203479961351,135.63868776093142,61.94152472795474,107.0584123718908
v1-old,A-C,0.9288221884073664,one_baseline_layout_inter_anchor_delaycal,T2,24,28818,28818,77.95014991921197,109.44649450943253,151.06569108326983,96.54244952534917,50.52150802827123,102.3689882437536,46.1483413260497,135.92647446227903,61.90392761408404,107.11810498847368
v1-old,A-C,0.9288221884073664,one_baseline_layout_inter_anchor_delaycal,T3,24,28818,28818,114.79439882847234,142.96099971657333,186.38826762504283,123.1282743245299,41.92851330064809,139.74418310085628,79.39399582978766,168.29937553859895,61.19581278006913,111.72983611187873
v1-old,A-C,0.9288221884073664,one_baseline_layout_inter_anchor_delaycal,T4,24,28818,28818,77.43486226334511,116.73663504372743,150.59392671266582,99.33867414565916,48.870154931965274,109.25487194694188,50.53075795522061,133.89975491708174,61.771170199102215,107.19239483401643
v1-old,A-C,0.9288221884073664,solver_delay,T1,24,28818,28818,417.80569436598444,511.57795470942085,587.3541774800378,449.85315817241207,97.94675159254774,259.38797416204187,400.6556525273786,578.5483600449448,71.36451098321677,159.04183003021876
v1-old,A-C,0.9288221884073664,solver_delay,T2,24,28818,28818,417.82645746532774,510.2541775697894,586.7104221119305,449.6646204105084,98.54075034730103,257.62028555311093,400.9992182245992,578.1289083253876,71.78916192554297,159.07578867286082
v1-old,A-C,0.9288221884073664,solver_delay,T3,24,28818,28818,422.6615567353379,535.9481211843403,695.5058069332608,503.26944620087585,139.07090545879697,320.70141451945864,400.8578139360251,690.2177386744601,93.03290484325845,178.124112937004
v1-old,A-C,0.9288221884073664,solver_delay,T4,24,28818,28818,399.9897686428254,432.49464310461724,539.2828783264607,406.9421654799823,92.56586498746483,167.2597208651328,374.6575198645655,531.617654029787,107.34127398212402,185.21266413837745
v1-old,A-D,0.9334097539566316,one_baseline_layout_inter_anchor_delaycal,T1,24,28818,28818,73.73057380379942,108.54502499602219,149.73383673960026,93.23932309631203,49.79532702720092,100.4796212109992,40.92497693267437,135.57619610831665,61.850245970193356,104.4925277778064
v1-old,A-D,0.9334097539566316,one_baseline_layout_inter_anchor_delaycal,T2,24,28818,28818,74.12175715255432,106.79072043970058,148.81813085082547,92.6274755757345,50.85578305091251,98.57381745673082,41.73757354554846,133.83285833522226,61.73373022136042,104.69073915702869
v1-old,A-D,0.9334097539566316,one_baseline_layout_inter_anchor_delaycal,T3,24,28818,28818,106.22059087383732,136.76635390064428,185.00241717223167,117.71542902018652,39.433739184678544,133.6328617067371,70.8105981252838,167.24590641773008,59.76771831853851,109.042990214285
v1-old,A-D,0.9334097539566316,one_baseline_layout_inter_anchor_delaycal,T4,24,28818,28818,72.03847281162837,113.84614191766595,148.27321810332094,95.29949105939244,48.30740260710161,105.38099914847943,50.28888348196678,130.6315441747472,61.82510702600508,104.80475870281046
v1-old,A-D,0.9334097539566316,solver_delay,T1,24,28818,28818,405.9623187965339,499.57067431326516,570.3974610724335,434.80635308691564,95.86965007020987,248.02732387751675,385.6986214220582,561.7920875861935,70.15963295759266,156.75867495505923
v1-old,A-D,0.9334097539566316,solver_delay,T2,24,28818,28818,405.93119543626005,498.2117413118508,570.2899364709849,434.6221158277808,96.0978376752876,245.80488070929502,384.8763213814982,561.7241557045253,71.6350414417085,156.76022895346483
v1-old,A-D,0.9334097539566316,solver_delay,T3,24,28818,28818,405.8587411460328,522.6429949367613,683.0053645251631,488.70266746869663,131.51558806889085,309.0555322092804,386.3018761419569,678.0148357920406,92.11366133399008,176.37516922491704
