global_time_ns,source,node_id,sequence,reason,status
3766943960433,UWB_TAG_T4,BSFC2CC,27640,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3769104292487,UWB_TAG_T4,BSFC2CC,27658,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3769224159880,UWB_TAG_T4,BSFC2CC,27659,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3769344140273,UWB_TAG_T4,BSFC2CC,27660,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3359203995183,UWB_TAG_T4,BSF6C53,24112,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3367484075917,UWB_TAG_T4,BSF6C53,24181,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3725444067944,UWB_TAG_T4,BSF6C53,27164,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3293573891963,UWB_TAG_T4,BSF8BC4,25601,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3849894082792,UWB_TAG_T4,BSF8BC4,30237,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3617583990982,UWB_TAG_T4,BSF1120,27397,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3772024046703,UWB_TAG_T4,BSF1120,28684,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3819543833082,UWB_TAG_T4,BSF1120,29080,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3057213985352,UWB_TAG_T4,BSFB165,22058,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3069094010460,UWB_TAG_T4,BSFB165,22157,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3070654161593,UWB_TAG_T4,BSFB165,22170,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3080973982568,UWB_TAG_T4,BSFB165,22256,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3081454102147,UWB_TAG_T4,BSFB165,22260,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3088173991270,UWB_TAG_T4,BSFB165,22316,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3431734017243,UWB_TAG_T4,BSFB165,25179,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3437373994810,UWB_TAG_T4,BSFB165,25226,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3790173971201,UWB_TAG_T4,BSFB165,28166,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
2853104307704,UWB_TAG_T4,BSFEC35,19070,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3549944044207,UWB_TAG_T4,BSFEC35,24877,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
3553064045801,UWB_TAG_T4,BSFEC35,24903,TOO_FEW_ANCHORS_OR_T4_FAILURE,rejected
