pair,forward_samples,reverse_samples,fused_v3_mm,geometry_distance_mm,anchor_delay_sum_mm,predicted_mm,residual_mm
A-B,100,100,4313.42936802974,4301.492662611885,10.107130204291677,4311.599792816177,-1.829575213562748
A-C,100,100,5180.001957295373,5150.3516192026245,29.062342133021644,5179.4139613356465,-0.587995959726868
A-D,100,100,2857.463902439025,2692.3908005236967,59.99999999990911,2752.390800523606,-105.0731019154191
A-E,100,100,1672.4594594594596,1638.9159838956298,14.631108294357908,1653.5470921899878,-18.912367269471815
A-F,100,100,4600.588421887391,4581.998726006146,16.560286335744888,4598.5590123418915,-2.0294095454992203
A-G,100,100,5471.641379310346,5467.282081128616,12.937658754631892,5480.219739883248,8.578360572902056
A-H,100,100,3206.8742873432157,3248.5812850918933,16.997329458730118,3265.5786145506236,58.704327207407914
B-C,100,100,3039.8,2991.2078599470196,39.16947233731332,3030.3773322843326,-9.422667715667558
B-D,100,100,5030.213434022257,4944.002149054086,70.10713020420079,5014.109279258287,-16.104154763970655
B-E,100,100,4428.2169811320755,4414.68310302331,24.738238498649586,4439.421341521959,11.204360389883732
B-F,100,100,1644.926923076923,1606.0026567856235,26.667416540036562,1632.67007332566,-12.256849751262962
B-G,100,100,3567.1003076923075,3560.8788577881946,23.04478895892357,3583.923646747118,16.823339054810276
B-H,100,100,5265.301591801133,5244.09740815005,27.104459663021792,5271.201867813072,5.900276011938331
C-D,100,100,4274.646747352496,4055.4706883332697,89.06234213293075,4144.5330304662,-130.11371688629606
C-E,100,100,5324.83806552262,5285.757619391297,43.69345042737955,5329.451069818677,4.613004296056715
C-F,100,99,3512.1538461538457,3473.353208508944,45.622628468766536,3518.9758369777105,6.82199082386478
C-G,100,100,1812.6241672021374,1752.8522727401669,42.000000887653535,1794.8522736278205,-17.77189357431689
C-H,100,100,4397.75,4430.120666261844,46.059671591751766,4476.180337853596,78.43033785359603
D-E,100,100,3179.2859922178986,3130.370148322945,74.63110829426702,3205.001256617212,25.715264399313583
D-F,100,100,5145.409836065574,5196.9261157542605,76.560286335654,5273.486402089915,128.07656602434054
D-G,100,100,4387.955954323002,4334.4781280033085,72.937658754541,4407.41578675785,19.459832434848067
D-H,100,100,1967.403579676674,1718.91242730711,76.99732945863923,1795.909756765749,-171.49382291092502
E-F,100,100,4122.298147108366,4093.937333105581,31.191394630102796,4125.128727735684,2.8305806273183407
E-G,100,100,5115.969026548672,5064.447670319711,27.5687670489898,5092.0164373687,-23.952589179972165
E-H,100,100,2780.329671749806,2738.972971570689,31.628437753088026,2770.6014093237773,-9.728262426028778
F-G,100,100,3229.0,3194.8205919829693,29.49794509037678,3224.318537073346,-4.681462926654149
F-H,100,100,5037.721131447587,4954.930652781028,33.557615794475005,4988.488268575503,-49.2328628720843
G-H,100,100,4030.9319587628875,3995.2639279082487,29.93498821336201,4025.1989161216106,-5.733042641276825
