initialization,success,cost,max_pair_distance_delta_from_selected_mm,max_delay_delta_from_selected_mm,layer_gap_median_mm
production_init,1,130.62138401454368,6.605427908265028,2.9812054490506164,-1681.5856149847045
reflected_init,1,97.0471214350421,0.0,0.0,1687.3225119101705
perturbed_0,1,130.6213840140415,6.605456326910144,2.981443151640871,-1681.5855526868447
perturbed_1,1,130.6213840388143,6.605515987411991,2.9809665461401984,-1681.5855652386213
perturbed_2,1,130.62138404801107,6.6055076549855585,2.980753190576781,-1681.5856783067682
perturbed_3,1,130.62138403102333,6.6055401316191364,2.9809833177758165,-1681.5855900737247
