id,label,x_mm,y_mm,z_mm,d_anchor_mm
0,A,0.0,0.0,0.0,0.0
1,B,4301.492662611885,0.0,0.0,10.107130204291677
2,C,4194.083228379754,2989.2787884114728,0.0,29.062342133021644
3,D,152.11581211932992,2684.974521229856,129.3863315594667,59.99999999990911
4,E,197.54280222589395,-64.24427794356215,1625.6983472676695,14.631108294357908
5,F,4291.336730492805,-90.28853447639447,1603.4305008909423,16.560286335744888
6,G,4151.367564998376,3098.1456094710684,1748.9466765526715,12.937658754631892
7,H,180.81651977555143,2665.645313077629,1847.9504368063617,16.997329458730118
