omitted_anchor,success,cost,max_common_pair_distance_delta_mm
A,1,65.1512112280472,175.18530773814086
B,1,78.78287932729238,159.7075361610107
C,1,60.53446819578833,180.1079750641111
D,1,6.3483905424851015,80.14768455931062
E,1,68.50542597955936,184.51538854099954
F,1,68.56728041706174,133.85560865040725
G,1,70.24909136330973,161.25162866885785
H,1,37.53415237710602,81.46308762538001
