omitted_pair,success,cost,max_pair_distance_delta_mm,max_delay_delta_mm
A-B,1,97.00480441025519,9.385264611902585,1.2394330292187075
A-C,1,97.04337014259123,2.022307027368697,0.40115688077013445
A-D,1,68.95217790797882,217.4313178442062,30.894115752201976
A-E,1,82.27228384239878,280.51623134445276,29.72160752482892
A-F,1,97.00640546273141,7.9798835127512575,1.3121421619072198
A-G,1,96.2419941915911,50.16790514250215,4.95388824076575
A-H,1,75.7365129853456,168.72471341339224,19.739271402793698
B-C,1,95.86175224070948,33.63990332256708,6.898980198256416
B-D,1,82.67529878175625,212.12580502648416,19.232516873790733
B-E,1,95.94373815179064,40.508717318783965,4.479878343136749
B-F,1,92.6276514151146,112.99574001117048,18.512434560615944
B-G,1,94.41154711588959,60.4054396900724,9.543644432423097
B-H,1,95.99750142400563,148.9388813131011,6.848356028096889
C-D,1,68.89132655060386,212.10203322354891,25.45187076706342
C-E,1,96.85023466898554,19.49457723795058,2.774148372407989
C-F,1,96.53069644856852,35.53580718142848,4.70046903297638
C-G,1,85.90662129379629,212.26803435348052,27.183017022645814
C-H,1,78.80700934772719,138.0531002889336,18.25182399403316
D-E,1,72.59325895821934,276.66258134910095,26.50652488590098
D-F,1,74.78922423386953,202.18443356394255,24.714631166989733
D-G,1,77.60811828131526,240.88853108121202,19.001680054844808
D-H,1,44.34659800792133,358.88747787848365,39.66412064654499
E-F,1,96.95716925249164,8.304477077128922,1.9604168285865384
E-G,1,92.83566708901583,49.47128723759124,8.666477863326506
E-H,1,92.01706898482726,160.40405889431668,15.238128188403541
F-G,1,96.71543112212434,21.388379112944676,4.019481498388987
F-H,1,85.03397135951958,131.10794538912774,19.876324519928318
G-H,1,95.59624121199644,150.1281005411031,7.717161027172034
