ok,position_id,x_mm,y_mm,z_mm,error_3d_mm,error_horiz_mm,error_vert_mm,signed_vertical_mm,n_ranges,notes,loss,split_family,split,evidence_label,dtag_fit_mm
True,ID01,-457.7442125080691,72.34398737162412,-366.90196142694094,139.81715166631628,86.05264357733638,110.19881321245522,-110.19881321245522,9506,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID02,-544.4123043827921,1070.8439962965097,-215.63241672964543,56.30385128307284,44.30472194869109,34.74500370349028,-34.74500370349028,9555,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID03,-591.9996773130132,1836.2598575156505,-246.13401344638737,214.33810668092443,39.33198502405209,210.6984075156504,210.6984075156504,9515,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID04,-254.9992001112555,-15.012152154790531,493.6664108365343,208.43866638062983,67.58938879666094,197.17594215479053,-197.17594215479053,9534,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID05,-146.62416665366436,1175.237499657082,578.8558246595038,132.89869870580648,111.92950937551882,71.65088309750536,71.65088309750536,9495,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID06,-182.23441219365336,1749.280727997037,498.9543241757123,69.00876928083305,24.98190851870134,64.32817799703707,64.32817799703707,9520,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID07,323.51770959352064,85.44012200006766,82.857516545777,132.55874808337836,40.79518714438433,126.12523299993235,-126.12523299993235,9498,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID08,484.2956697210841,1201.8347558899316,-97.53006718532785,118.53510707188232,95.98314010949717,69.55435588993146,69.55435588993146,9491,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID09,425.69530385241484,1609.8540337610157,-44.40679914754414,48.43633652628851,24.694118524708585,41.66868376101547,41.66868376101547,9528,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID10,83.61126451868596,150.73663326600845,-968.8958437561469,94.86514983336838,35.646655881685106,87.91309673399155,-87.91309673399155,9496,`ftol` termination condition is satisfied.,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
