method,evidence_label,median_3d_mm,p95_3d_mm,rmse_3d_mm
B0_oracle_link_selector,ORACLE,44.59582912114855,106.10561575540451,57.515684944460766
B1_gaussian_exponential_mix,HELD-OUT,51.471264986205654,159.17822636384537,77.27189452097305
B2_asymmetric,HELD-OUT,53.88483764657673,95.53003532378057,60.446454390109906
