ok,x_mm,y_mm,z_mm,error_3d_mm,error_horiz_mm,error_vert_mm,signed_vertical_mm,n_anchors,notes,position_id,estimator,layout,split_family,split,evidence_label,dtag_fit_mm
True,-466.83287046946106,43.29214825508108,-323.89021655875484,169.1320294890919,95.9942666259163,139.25065232899826,-139.25065232899826,8,`ftol` termination condition is satisfied.,ID01,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-517.6125091181461,1051.689298558647,-224.5522873927094,69.37149217761875,43.67179995697936,53.899701441353045,-53.899701441353045,8,`ftol` termination condition is satisfied.,ID02,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-562.2333946773059,1693.56321581735,-255.04435025663565,68.50945968011983,8.32501720023851,68.0017658173499,68.0017658173499,8,`ftol` termination condition is satisfied.,ID03,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-275.21046097086503,64.48053443860984,520.3451874369536,132.64809395464314,61.20594897779431,117.68325556139017,-117.68325556139017,8,`ftol` termination condition is satisfied.,ID04,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-180.79298080966208,1095.1368855852684,504.1990603260297,31.920085395339918,30.78138882681559,8.449730974308295,-8.449730974308295,8,`ftol` termination condition is satisfied.,ID05,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-166.8069079897122,1834.893480961656,478.33723835691217,152.26234080019205,26.48655599178067,149.94093096165602,149.94093096165602,8,`ftol` termination condition is satisfied.,ID06,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,285.9767444869237,72.31041373476859,53.92904005551434,154.17694997749012,66.17093952467683,139.25494126523142,-139.25494126523142,8,`ftol` termination condition is satisfied.,ID07,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,433.30278579968297,1190.886639687913,-107.30173986573818,80.17678377800611,54.71403226438397,58.606239687912876,58.606239687912876,8,`ftol` termination condition is satisfied.,ID08,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,429.6964405485138,1515.0050193458626,-46.69623359129471,59.26054649826013,26.146984583103322,53.180330654137606,-53.180330654137606,8,`ftol` termination condition is satisfied.,ID09,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,69.7807372614735,181.68358642029153,-944.4899340851706,57.47276554989999,7.614280373732632,56.96614357970847,-56.96614357970847,8,`ftol` termination condition is satisfied.,ID10,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-89.10490025278294,1158.6274719904713,-968.1538961795895,37.29635785077253,27.561221345159396,25.127621990471198,25.127621990471198,8,`ftol` termination condition is satisfied.,ID11,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,18.866549080099745,1666.8409946584045,-959.7128595918886,99.04031728649356,62.64515478330747,76.71094465840429,76.71094465840429,8,`ftol` termination condition is satisfied.,ID12,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-169.16958208744427,1074.603428053912,-188.05338058959538,68.3835844064149,22.733596311575972,64.49417194608804,-64.49417194608804,8,`ftol` termination condition is satisfied.,ID13,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-169.76044370680717,1063.4510354924673,-160.82261680741036,82.27813247350274,44.54510450764076,69.17676450753265,-69.17676450753265,8,`ftol` termination condition is satisfied.,ID14,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-177.04412734455826,1066.4343824039556,-208.52892518032786,73.84705979274771,33.48165729433683,65.82071759604446,-65.82071759604446,8,`ftol` termination condition is satisfied.,ID15,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-183.16139291937145,1118.8706478686543,-166.38212544443965,19.730808437513915,19.471792087840463,3.1865521313457066,-3.1865521313457066,8,`ftol` termination condition is satisfied.,ID16,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-142.35437624221345,192.23398878983664,-304.20941873501084,48.1636801821936,44.978338815935444,17.224666210163377,-17.224666210163377,8,`ftol` termination condition is satisfied.,ID17,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-312.7407633427048,225.84017905353616,-235.0818109957618,27.948953569565006,20.558093027470143,18.934329053536175,18.934329053536175,8,`ftol` termination condition is satisfied.,ID18,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-192.54699292583928,120.29057920720837,-81.7674662482209,91.66865596845044,32.615872893809204,85.66999079279165,-85.66999079279165,8,`ftol` termination condition is satisfied.,ID19,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-64.77859803705209,212.1879748210955,-209.00973917710334,21.607456418416064,19.343908006777077,9.627844821095493,9.627844821095493,8,`ftol` termination condition is satisfied.,ID20,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-173.29784622922548,1584.2045304531377,-225.66759863612737,41.37765811134764,38.77632842615563,14.43976954686218,-14.43976954686218,8,`ftol` termination condition is satisfied.,ID21,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
True,-214.07563422457807,1573.7338266074082,-240.4833916903259,32.1701174103414,19.498789117872008,25.587373392591644,-25.587373392591644,8,`ftol` termination condition is satisfied.,ID22,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
