median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vertical_mm,n_positions,fail_rate,estimator,layout,split_family,split,evidence_label,dtag_fit_mm
68.94047592886929,153.88975860089542,85.66255429301374,61.55020581700046,24,0.0,p50,V5_CV5,all_data,ALL,TRANSDUCTIVE,49.61495305721834
169.2913698772496,169.2913698772496,169.2913698772496,139.73460966539525,1,0.0,p50,V5_CV5,loo_position,ID01,HELD-OUT,49.15058155612294
68.9692937153804,68.9692937153804,68.9692937153804,53.49583520444003,1,0.0,p50,V5_CV5,loo_position,ID02,HELD-OUT,50.33935992117519
68.50945968011983,68.50945968011983,68.50945968011983,68.0017658173499,1,0.0,p50,V5_CV5,loo_position,ID03,HELD-OUT,49.61495305721834
135.35614670067827,135.35614670067827,135.35614670067827,120.58997611073211,1,0.0,p50,V5_CV5,loo_position,ID04,HELD-OUT,48.11644940610554
32.636523245032706,32.636523245032706,32.636523245032706,9.004769719958176,1,0.0,p50,V5_CV5,loo_position,ID05,HELD-OUT,48.60844070875655
155.2954658095719,155.2954658095719,155.2954658095719,153.04007822436415,1,0.0,p50,V5_CV5,loo_position,ID06,HELD-OUT,47.93989214256091
155.83278229010986,155.83278229010986,155.83278229010986,141.1331831600928,1,0.0,p50,V5_CV5,loo_position,ID07,HELD-OUT,48.60844070875655
80.17678377800611,80.17678377800611,80.17678377800611,58.606239687912876,1,0.0,p50,V5_CV5,loo_position,ID08,HELD-OUT,49.61495305721834
59.26054649826013,59.26054649826013,59.26054649826013,53.180330654137606,1,0.0,p50,V5_CV5,loo_position,ID09,HELD-OUT,49.61495305721834
59.14024858731625,59.14024858731625,59.14024858731625,58.5938508238697,1,0.0,p50,V5_CV5,loo_position,ID10,HELD-OUT,48.60844070875655
39.90861988636529,39.90861988636529,39.90861988636529,27.405340717020408,1,0.0,p50,V5_CV5,loo_position,ID11,HELD-OUT,47.93989214256091
99.04031728649356,99.04031728649356,99.04031728649356,76.71094465840429,1,0.0,p50,V5_CV5,loo_position,ID12,HELD-OUT,49.61495305721834
68.3835844064149,68.3835844064149,68.3835844064149,64.49417194608804,1,0.0,p50,V5_CV5,loo_position,ID13,HELD-OUT,49.61495305721834
83.38409044976618,83.38409044976618,83.38409044976618,70.23032360064622,1,0.0,p50,V5_CV5,loo_position,ID14,HELD-OUT,50.33935992117519
73.11113411430733,73.11113411430733,73.11113411430733,65.1533486933572,1,0.0,p50,V5_CV5,loo_position,ID15,HELD-OUT,50.33935992117519
19.730808437513915,19.730808437513915,19.730808437513915,3.1865521313457066,1,0.0,p50,V5_CV5,loo_position,ID16,HELD-OUT,49.61495305721834
48.83565483633363,48.83565483633363,48.83565483633363,15.13519617403989,1,0.0,p50,V5_CV5,loo_position,ID17,HELD-OUT,50.821244254406636
28.728274155072313,28.728274155072313,28.728274155072313,20.748888528486702,1,0.0,p50,V5_CV5,loo_position,ID18,HELD-OUT,50.821244254406636
91.2959942088963,91.2959942088963,91.2959942088963,85.33756386454344,1,0.0,p50,V5_CV5,loo_position,ID19,HELD-OUT,49.7972190738088
22.197970646931154,22.197970646931154,22.197970646931154,12.04856873514072,1,0.0,p50,V5_CV5,loo_position,ID20,HELD-OUT,50.821244254406636
41.37765811134764,41.37765811134764,41.37765811134764,14.43976954686218,1,0.0,p50,V5_CV5,loo_position,ID21,HELD-OUT,49.61495305721834
33.69704997581375,33.69704997581375,33.69704997581375,27.409076706720953,1,0.0,p50,V5_CV5,loo_position,ID22,HELD-OUT,50.821244254406636
76.7623612490225,76.7623612490225,76.7623612490225,68.0356001738885,1,0.0,p50,V5_CV5,loo_position,ID23,HELD-OUT,49.61495305721834
102.7534893167491,102.7534893167491,102.7534893167491,99.59092043026158,1,0.0,p50,V5_CV5,loo_position,ID24,HELD-OUT,48.60844070875655
70.10736902547953,162.0046287307175,101.16869326119395,67.1661917798965,8,0.0,p50,V5_CV5,leave_height,LOW,HELD-OUT,52.03298461336237
69.7512702513383,80.11874032555824,62.30499047449081,55.472636506750064,8,0.0,p50,V5_CV5,leave_height,MID,HELD-OUT,48.60844070875655
74.49879329839344,136.17264010292843,87.63579512308796,69.9717620997983,8,0.0,p50,V5_CV5,leave_height,HIGH,HELD-OUT,48.58082090720094
78.96019841768891,148.14552390286775,106.18594211719068,56.4781911034936,3,0.0,p50,V5_CV5,leave_quadrant,NE,HELD-OUT,48.60844070875655
77.31405529524514,151.0851413785837,95.15103911985216,68.1541472439194,8,0.0,p50,V5_CV5,leave_quadrant,NW,HELD-OUT,46.529014670667564
49.782615794128745,94.82535241892334,62.82739539215683,43.26442844008511,4,0.0,p50,V5_CV5,leave_quadrant,SE,HELD-OUT,48.11644940610554
49.86553065696657,124.51685633669746,73.3347285354015,42.08746719520332,9,0.0,p50,V5_CV5,leave_quadrant,SW,HELD-OUT,60.785685321844646
58.66069710919409,153.153349338493,80.71881628001384,50.83533704345602,24,0.0,p30,V5_CV5,all_data,ALL,TRANSDUCTIVE,33.093691730688064
165.05970021494218,165.05970021494218,165.05970021494218,137.51143352698875,1,0.0,p30,V5_CV5,loo_position,ID01,HELD-OUT,32.86590187118314
58.8894388685406,58.8894388685406,58.8894388685406,36.99936998650401,1,0.0,p30,V5_CV5,loo_position,ID02,HELD-OUT,33.15860650280114
67.87383968046883,67.87383968046883,67.87383968046883,66.7497241760309,1,0.0,p30,V5_CV5,loo_position,ID03,HELD-OUT,33.093691730688064
142.3859253323083,142.3859253323083,142.3859253323083,127.90591490134724,1,0.0,p30,V5_CV5,loo_position,ID04,HELD-OUT,32.47901467066761
35.542115022580454,35.542115022580454,35.542115022580454,1.0977455950949206,1,0.0,p30,V5_CV5,loo_position,ID05,HELD-OUT,32.57027534525933
156.60583020627624,156.60583020627624,156.60583020627624,154.35288516709647,1,0.0,p30,V5_CV5,loo_position,ID06,HELD-OUT,32.36080052727564
127.80704474814151,127.80704474814151,127.80704474814151,106.30202758729911,1,0.0,p30,V5_CV5,loo_position,ID07,HELD-OUT,33.093691730688064
73.74624787199664,73.74624787199664,73.74624787199664,57.64036716354735,1,0.0,p30,V5_CV5,loo_position,ID08,HELD-OUT,33.093691730688064
48.22690520521238,48.22690520521238,48.22690520521238,41.040251404431274,1,0.0,p30,V5_CV5,loo_position,ID09,HELD-OUT,33.093691730688064
58.78302353790626,58.78302353790626,58.78302353790626,58.08723563314416,1,0.0,p30,V5_CV5,loo_position,ID10,HELD-OUT,32.86590187118314
48.64643808398355,48.64643808398355,48.64643808398355,36.33256500390712,1,0.0,p30,V5_CV5,loo_position,ID11,HELD-OUT,32.36080052727564
108.29231853941458,108.29231853941458,108.29231853941458,85.8926153846578,1,0.0,p30,V5_CV5,loo_position,ID12,HELD-OUT,32.86590187118314
40.09404829181288,40.09404829181288,40.09404829181288,34.00792522270626,1,0.0,p30,V5_CV5,loo_position,ID13,HELD-OUT,33.15058155612294
75.04326480908804,75.04326480908804,75.04326480908804,61.3720636597277,1,0.0,p30,V5_CV5,loo_position,ID14,HELD-OUT,33.15058155612294
61.75319677747081,61.75319677747081,61.75319677747081,55.70422400719599,1,0.0,p30,V5_CV5,loo_position,ID15,HELD-OUT,33.15058155612294
19.564113946320074,19.564113946320074,19.564113946320074,3.8871406098558055,1,0.0,p30,V5_CV5,loo_position,ID16,HELD-OUT,33.093691730688064
41.78791291797071,41.78791291797071,41.78791291797071,5.245972217015179,1,0.0,p30,V5_CV5,loo_position,ID17,HELD-OUT,33.15860650280114
30.295761146660624,30.295761146660624,30.295761146660624,19.920370610911277,1,0.0,p30,V5_CV5,loo_position,ID18,HELD-OUT,33.15860650280114
64.85999199142132,64.85999199142132,64.85999199142132,50.214408786371365,1,0.0,p30,V5_CV5,loo_position,ID19,HELD-OUT,33.15209415433935
20.699533959385647,20.699533959385647,20.699533959385647,12.249458851581238,1,0.0,p30,V5_CV5,loo_position,ID20,HELD-OUT,33.15860650280114
27.60444132361103,27.60444132361103,27.60444132361103,5.106296827976848,1,0.0,p30,V5_CV5,loo_position,ID21,HELD-OUT,33.093691730688064
26.322993734671197,26.322993734671197,26.322993734671197,21.66596951115821,1,0.0,p30,V5_CV5,loo_position,ID22,HELD-OUT,33.15860650280114
54.665699396881394,54.665699396881394,54.665699396881394,51.348673616505266,1,0.0,p30,V5_CV5,loo_position,ID23,HELD-OUT,33.093691730688064
106.4261945762095,106.4261945762095,106.4261945762095,104.82080201458393,1,0.0,p30,V5_CV5,loo_position,ID24,HELD-OUT,32.86590187118314
56.41693160032346,154.00630125016966,94.34919837616623,49.080715796753864,8,0.0,p30,V5_CV5,leave_height,LOW,HELD-OUT,35.93989214256091
53.139447746277526,74.5327743398185,54.57493603703262,36.12054123131668,8,0.0,p30,V5_CV5,leave_height,MID,HELD-OUT,33.093691730688064
70.18756361854489,147.9879521487895,91.25075798922202,68.10929059831903,8,0.0,p30,V5_CV5,leave_height,HIGH,HELD-OUT,28.13241650543685
73.74624787199664,122.40096506052701,89.62697538152963,57.64036716354735,3,0.0,p30,V5_CV5,leave_quadrant,NE,HELD-OUT,33.093691730688064
67.58261746207111,157.1800593651216,91.08806858000197,56.349461807625715,8,0.0,p30,V5_CV5,leave_quadrant,NW,HELD-OUT,30.02612703559248
57.39027329977631,104.2009714011517,69.68656691569143,50.63209482494139,4,0.0,p30,V5_CV5,leave_quadrant,SE,HELD-OUT,30.467089997120013
47.965357796531954,119.9028248454508,69.27417683846232,32.12688217847062,9,0.0,p30,V5_CV5,leave_quadrant,SW,HELD-OUT,40.152373310264316
51.44877124634523,157.56698401315984,76.65810406214551,37.94854002942226,24,0.0,p10,V5_CV5,all_data,ALL,TRANSDUCTIVE,10.685254541130988
158.81877075392646,158.81877075392646,158.81877075392646,134.52657467772383,1,0.0,p10,V5_CV5,loo_position,ID01,HELD-OUT,10.38241650543685
51.02349847617581,51.02349847617581,51.02349847617581,18.830303865327323,1,0.0,p10,V5_CV5,loo_position,ID02,HELD-OUT,12.031472015145958
59.07734346656191,59.07734346656191,59.07734346656191,58.04011213610511,1,0.0,p10,V5_CV5,loo_position,ID03,HELD-OUT,11.472444384172853
155.5055171759431,155.5055171759431,155.5055171759431,142.47265460317334,1,0.0,p10,V5_CV5,loo_position,ID04,HELD-OUT,8.773748524551578
41.83247383893096,41.83247383893096,41.83247383893096,9.190046940057982,1,0.0,p10,V5_CV5,loo_position,ID05,HELD-OUT,9.663094000016926
165.54705752628763,165.54705752628763,165.54705752628763,163.46782811918365,1,0.0,p10,V5_CV5,loo_position,ID06,HELD-OUT,9.292773316907358
104.50351468340016,104.50351468340016,104.50351468340016,74.51754149487013,1,0.0,p10,V5_CV5,loo_position,ID07,HELD-OUT,11.244282172104093
67.02242811560569,67.02242811560569,67.02242811560569,54.26011065013313,1,0.0,p10,V5_CV5,loo_position,ID08,HELD-OUT,10.685254541130988
39.28689049260184,39.28689049260184,39.28689049260184,28.938657526068482,1,0.0,p10,V5_CV5,loo_position,ID09,HELD-OUT,10.685254541130988
59.47106067146847,59.47106067146847,59.47106067146847,58.29766981667956,1,0.0,p10,V5_CV5,loo_position,ID10,HELD-OUT,9.663094000016926
65.12647429135956,65.12647429135956,65.12647429135956,51.23587207631567,1,0.0,p10,V5_CV5,loo_position,ID11,HELD-OUT,8.773748524551578
117.00815945803468,117.00815945803468,117.00815945803468,94.95982243920434,1,0.0,p10,V5_CV5,loo_position,ID12,HELD-OUT,10.38241650543685
35.40487948051619,35.40487948051619,35.40487948051619,13.41516702194076,1,0.0,p10,V5_CV5,loo_position,ID13,HELD-OUT,11.346822494734084
68.18780140515034,68.18780140515034,68.18780140515034,53.6198799402589,1,0.0,p10,V5_CV5,loo_position,ID14,HELD-OUT,11.346822494734084
43.883323119823416,43.883323119823416,43.883323119823416,39.101997186761764,1,0.0,p10,V5_CV5,loo_position,ID15,HELD-OUT,11.346822494734084
26.504884677777216,26.504884677777216,26.504884677777216,16.52740731878589,1,0.0,p10,V5_CV5,loo_position,ID16,HELD-OUT,10.685254541130988
53.91679697864181,53.91679697864181,53.91679697864181,38.56668149836909,1,0.0,p10,V5_CV5,loo_position,ID17,HELD-OUT,12.031472015145958
37.404912051860315,37.404912051860315,37.404912051860315,27.20368441324331,1,0.0,p10,V5_CV5,loo_position,ID18,HELD-OUT,12.031472015145958
52.9094821377345,52.9094821377345,52.9094821377345,21.09658229513778,1,0.0,p10,V5_CV5,loo_position,ID19,HELD-OUT,11.346822494734084
21.773548295379257,21.773548295379257,21.773548295379257,14.787479151050832,1,0.0,p10,V5_CV5,loo_position,ID20,HELD-OUT,12.031472015145958
26.698331866924327,26.698331866924327,26.698331866924327,17.074643891113055,1,0.0,p10,V5_CV5,loo_position,ID21,HELD-OUT,11.346822494734084
19.65501099086257,19.65501099086257,19.65501099086257,16.146670185772336,1,0.0,p10,V5_CV5,loo_position,ID22,HELD-OUT,10.685254541130988
50.41109318264994,50.41109318264994,50.41109318264994,49.42815713552841,1,0.0,p10,V5_CV5,loo_position,ID23,HELD-OUT,11.346822494734084
35.44773363970639,35.44773363970639,35.44773363970639,31.382912260693956,1,0.0,p10,V5_CV5,loo_position,ID24,HELD-OUT,10.38241650543685
54.774202532584724,154.3379805256409,92.26093998099478,46.49257766524781,8,0.0,p10,V5_CV5,leave_height,LOW,HELD-OUT,12.347169807179199
47.942870398993854,67.12694057185274,51.33596213276687,29.529608585781602,8,0.0,p10,V5_CV5,leave_height,MID,HELD-OUT,10.685254541130988
45.40197475192194,147.26652786174765,79.66021492304876,41.22555048661593,8,0.0,p10,V5_CV5,leave_height,HIGH,HELD-OUT,10.38241650543685
67.87202604262085,100.84036581932222,75.5927013674444,55.435744719655986,3,0.0,p10,V5_CV5,leave_quadrant,NE,HELD-OUT,11.244282172104093
