sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
23132,,BSF66F,,cal_static,4,A,ok,ok,3629,3629,0,0,100,100
23132,,BSF66F,,cal_static,4,B,ok,ok,2539,2539,0,0,100,100
23132,,BSF66F,,cal_static,4,C,ok,ok,2131,2131,0,0,100,100
23132,,BSF66F,,cal_static,4,D,ok,ok,2207,2207,0,0,100,100
23133,,BSF66F,,cal_static,4,E,ok,ok,3806,3806,0,0,100,100
23133,,BSF66F,,cal_static,4,F,ok,ok,2348,2348,0,0,100,100
23133,,BSF66F,,cal_static,4,G,ok,ok,2027,2027,0,0,75,75
23133,,BSF66F,,cal_static,4,H,ok,ok,3483,3483,0,0,100,100
23134,,BSF66F,,cal_static,4,A,ok,ok,3669,3669,0,0,100,100
23134,,BSF66F,,cal_static,4,B,ok,ok,2533,2533,0,0,100,100
23134,,BSF66F,,cal_static,4,C,ok,ok,2137,2137,0,0,100,100
23134,,BSF66F,,cal_static,4,D,ok,ok,2235,2235,0,0,100,100
23135,,BSF66F,,cal_static,4,E,ok,ok,3730,3730,0,0,100,100
23135,,BSF66F,,cal_static,4,F,ok,ok,2332,2332,0,0,100,100
23135,,BSF66F,,cal_static,4,G,ok,ok,1978,1978,0,0,80,80
23135,,BSF66F,,cal_static,4,H,ok,ok,3446,3446,0,0,100,100
23136,,BSF66F,,cal_static,4,A,ok,ok,3614,3614,0,0,100,100
23136,,BSF66F,,cal_static,4,B,ok,ok,2518,2518,0,0,100,100
23136,,BSF66F,,cal_static,4,C,ok,ok,2149,2149,0,0,100,100
23136,,BSF66F,,cal_static,4,D,ok,ok,2267,2267,0,0,100,100
23137,,BSF66F,,cal_static,4,E,ok,ok,3761,3761,0,0,100,100
23137,,BSF66F,,cal_static,4,F,ok,ok,2325,2325,0,0,100,100
23137,,BSF66F,,cal_static,4,G,reject,raw_outlier,0,1978,0,0,66,66
23137,,BSF66F,,cal_static,4,H,reject,raw_outlier,0,3446,0,0,83,83
23138,,BSF66F,,cal_static,4,A,ok,ok,3633,3633,0,0,100,100
23138,,BSF66F,,cal_static,4,B,ok,ok,2495,2495,0,0,100,100
23138,,BSF66F,,cal_static,4,C,ok,ok,2167,2167,0,0,100,100
23138,,BSF66F,,cal_static,4,D,ok,ok,2213,2213,0,0,100,100
23139,,BSF66F,,cal_static,4,E,ok,ok,3752,3752,0,0,100,100
23139,,BSF66F,,cal_static,4,F,ok,ok,2368,2368,0,0,100,100
23139,,BSF66F,,cal_static,4,G,ok,ok,1963,1963,0,0,71,71
23139,,BSF66F,,cal_static,4,H,ok,ok,3467,3467,0,0,85,85
23140,,BSF66F,,cal_static,4,A,ok,ok,3688,3688,0,0,100,100
23140,,BSF66F,,cal_static,4,B,ok,ok,2596,2596,0,0,100,100
23140,,BSF66F,,cal_static,4,C,ok,ok,2171,2171,0,0,100,100
23140,,BSF66F,,cal_static,4,D,ok,ok,2235,2235,0,0,100,100
23141,,BSF66F,,cal_static,4,E,ok,ok,3751,3751,0,0,100,100
23141,,BSF66F,,cal_static,4,F,ok,ok,2334,2334,0,0,100,100
23141,,BSF66F,,cal_static,4,G,ok,ok,1987,1987,0,0,75,75
23141,,BSF66F,,cal_static,4,H,ok,ok,3491,3491,0,0,87,87
23142,,BSF66F,,cal_static,4,A,ok,ok,3644,3644,0,0,100,100
23142,,BSF66F,,cal_static,4,B,ok,ok,2564,2564,0,0,100,100
23142,,BSF66F,,cal_static,4,C,ok,ok,2137,2137,0,0,100,100
23142,,BSF66F,,cal_static,4,D,ok,ok,2208,2208,0,0,100,100
