L,P,I,T,stress_count,p50_mean,p95_mean,p95_worst,p95_std_across_stress,rmse_mean,horiz_xz_p95_mean,vertical_y_p95_mean,sameP_delta_p95_mean,sameP_improved_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,robust_score,robust_rank
L0,P4,I5,T2,5,64.99606944598852,99.05344053559087,99.05344053559087,0.0,70.20578424168157,66.61914415476056,84.01454425245839,39.83279540743662,1.0,132.74869745988684,13.913848359195924,96.92015888466054,469.42191441059583,L0,X_A0_U4_P4_L0_I5_T2,138.3019697038876,1
L0,P3,I5,T2,5,71.08871402029209,109.15171687541954,109.15171687541954,0.0,73.85819277665308,83.206057094689,86.12975041308852,91.12491212873377,1.0,122.65042112005817,30.461349889865204,102.83545219705556,369.0610561239793,L0,X_A0_U4_P3_L0_I5_T2,139.99890757919127,2
L0,P1,I5,T2,5,70.33795913728977,106.68621690419555,106.68621690419555,0.0,72.80796127941392,79.57600902303341,85.16056133347422,72.89505846670775,1.0,125.11592109128219,27.86466650654225,100.1722320370364,401.600379319732,L0,X_A0_U4_P1_L0_I5_T2,140.82846300954253,3
L0,P4,I6,T2,5,65.77689417810052,101.05276284699511,101.05276284699511,0.0,70.99912811223365,67.84390424773204,86.49725531114234,37.83347309603238,1.0,130.7493751484826,14.936143470495324,98.19899918114669,451.457213831286,L0,X_A0_U4_P4_L0_I6_T2,141.6927114466073,4
L0,P3,I6,T2,5,71.91777097947266,112.15114949137637,112.15114949137637,0.0,74.73709227364077,85.22116638989323,87.66847249111709,88.12547951277693,1.0,119.65098850410136,32.476869886907025,104.03646534779963,355.95576630831965,L0,X_A0_U4_P3_L0_I6_T2,144.97815173733383,5
L0,P4,I8,T2,5,66.32508987484516,103.03496309377036,103.03496309377036,0.0,71.72570815334959,69.10575477464974,88.812902898804,35.85127284925714,1.0,128.7671749017074,15.74920974342109,99.07904067969473,438.4486874173661,L0,X_A0_U4_P4_L0_I8_T2,144.9962380662299,6
L0,P2,I5,T2,5,74.6744176371318,111.5758302434186,111.5758302434186,0.0,77.93328853443742,86.00662766598097,89.4123948798329,79.77072040353214,1.0,120.22630775205911,17.71572559486981,98.86120030775595,386.3650223531042,L0,X_A0_U4_P2_L0_I5_T2,145.51387077389546,7
L0,P1,I6,T2,5,71.10637635929444,109.78575077543488,109.78575077543488,0.0,73.62235888321464,81.8372414167873,87.3454444929067,69.79552459546841,1.0,122.01638722004284,29.69776863596701,101.91057652640819,386.85676523354715,L0,X_A0_U4_P1_L0_I6_T2,146.04846887693122,8
L0,P0,I5,T2,5,72.88887890628617,118.25550658992256,118.25550658992256,0.0,77.2070617008194,83.32111961240045,93.47993035484926,113.54663140555517,1.0,113.54663140555517,30.461349889865204,101.45112578766253,383.57930904244785,L0,X_A0_U4_P0_L0_I5_T2,146.47594491315604,9
L0,P4,I4,T2,5,66.91383096577627,105.16030035085969,105.16030035085969,0.0,72.3917984520811,70.601211663496,90.50434013684153,33.72593559216779,1.0,126.64183764461802,16.25856966223074,100.04691264220168,429.08465594579246,L0,X_A0_U4_P4_L0_I4_T2,148.54195847194887,10
