host_elapsed_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
0.048,2133124,42000,0xdeca,0xb102,0xa106,0xe0,22790,8,2588,122,7564,12
0.086,2133176,42001,0xdeca,0xb103,0xa104,0xe0,19261,7,2081,119,5859,12
0.098,2133188,42002,0xdeca,0xb103,0xa105,0xe0,18011,7,1946,119,7291,12
0.111,2133200,42003,0xdeca,0xb101,0xa106,0xe0,21139,7,2520,125,7301,12
0.159,2133249,42004,0xdeca,0xb102,0xa101,0xe0,18196,7,1966,119,7381,12
0.172,2133261,42005,0xdeca,0xb102,0xa104,0xe0,19256,7,2259,124,7464,12
0.184,2133274,42006,0xdeca,0xb101,0xa103,0xe0,16560,7,655,72,3688,12
0.233,2133322,42007,0xdeca,0xb102,0xa106,0xe0,17886,7,1998,121,7064,12
0.286,2133376,42008,0xdeca,0xb103,0xa100,0xe0,19757,7,2207,121,7402,12
0.299,2133388,42009,0xdeca,0xb103,0xa100,0xe0,21087,7,2434,123,7414,12
0.358,2133447,42010,0xdeca,0xb102,0xa103,0xe0,18215,7,1968,119,3636,12
0.370,2133459,42011,0xdeca,0xb102,0xa104,0xe0,16824,7,1942,123,6912,12
0.382,2133472,42012,0xdeca,0xb101,0xa103,0xe0,17903,7,2033,122,6967,12
0.436,2133526,42013,0xdeca,0xb102,0xa106,0xe0,18280,7,2042,121,4465,12
0.490,2133579,42014,0xdeca,0xb103,0xa100,0xe0,21865,7,2565,124,7612,12
0.502,2133592,42015,0xdeca,0xb101,0xa106,0xe0,18097,7,2123,124,6885,12
0.556,2133645,42016,0xdeca,0xb102,0xa103,0xe0,17125,7,1913,121,6562,12
0.592,2133682,42017,0xdeca,0xb102,0xa101,0xe0,18498,7,1932,117,6936,12
0.636,2133725,42018,0xdeca,0xb102,0xa106,0xe0,17522,7,1830,117,7176,12
0.689,2133779,42019,0xdeca,0xb103,0xa104,0xe0,20454,7,2361,123,7484,12
0.702,2133791,42020,0xdeca,0xb101,0xa106,0xe0,17394,7,1911,120,7324,12
0.756,2133845,42021,0xdeca,0xb102,0xa101,0xe0,18610,7,1977,118,7276,12
0.768,2133858,42022,0xdeca,0xb102,0xa103,0xe0,17338,7,2034,124,7656,12
0.781,2133870,42023,0xdeca,0xb101,0xa103,0xe0,17585,7,2063,124,6870,12
0.834,2133924,42024,0xdeca,0xb102,0xa106,0xe0,17176,7,2015,124,7514,12
0.888,2133977,42025,0xdeca,0xb103,0xa100,0xe0,19701,7,2274,123,6381,12
0.900,2133990,42026,0xdeca,0xb101,0xa106,0xe0,21071,7,2315,120,7347,12
0.959,2134049,42027,0xdeca,0xb102,0xa101,0xe0,18668,7,2190,124,6574,12
0.972,2134061,42028,0xdeca,0xb102,0xa106,0xe0,17531,7,1831,117,6263,12
0.984,2134074,42029,0xdeca,0xb101,0xa103,0xe0,19127,7,2172,122,3604,12
1.033,2134122,42030,0xdeca,0xb102,0xa104,0xe0,20407,7,2394,124,5692,12
1.086,2134176,42031,0xdeca,0xb103,0xa100,0xe0,20801,7,2401,123,7475,12
