host_elapsed_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
20.256,2153341,43,G,6,0xa106,0xb102,0xe1,14190,7,1559,120,2928,20
20.302,2153387,44,H,7,0xa107,0xb103,0xe1,10944,6,1143,117,6301,20
20.453,2153538,45,E,4,0xa104,0xb102,0xe1,17490,7,1858,118,3862,20
20.772,2153857,46,G,6,0xa106,0xb102,0xe1,13816,6,1569,122,1619,20
20.991,2154077,47,E,4,0xa104,0xb101,0xe1,13874,6,996,97,4108,20
21.052,2154138,48,E,4,0xa104,0xb102,0xe1,17213,7,2052,125,5983,20
21.103,2154189,49,B,1,0xa101,0xb101,0xe1,16764,7,1935,123,7171,20
21.302,2154387,50,D,3,0xa103,0xb103,0xe1,20534,7,2256,120,7130,20
21.515,2154601,51,E,4,0xa104,0xb101,0xe1,17534,7,2057,124,3737,20
21.594,2154680,52,G,6,0xa106,0xb101,0xe1,14508,7,1594,120,3633,20
21.774,2154859,53,G,6,0xa106,0xb102,0xe1,13680,6,1503,120,1361,20
21.902,2154988,54,H,7,0xa107,0xb103,0xe1,15119,7,598,72,3364,20
21.973,2155059,55,G,6,0xa106,0xb102,0xe1,12810,6,997,101,2893,20
22.705,2155791,56,B,1,0xa101,0xb101,0xe1,16238,7,1784,120,6422,20
22.772,2155858,57,G,6,0xa106,0xb102,0xe1,14101,7,1498,118,3438,20
22.931,2156004,58,G,6,0xa106,0xb101,0xe1,15127,7,1662,120,1491,20
23.102,2156188,59,H,7,0xa107,0xb103,0xe1,16315,7,1704,117,6735,20
23.305,2156390,60,D,3,0xa103,0xb101,0xe1,19866,7,2256,122,6826,20
23.703,2156788,61,B,1,0xa101,0xb101,0xe1,15417,7,1502,113,6433,20
24.172,2157258,62,G,6,0xa106,0xb102,0xe1,15419,7,1638,118,4592,20
24.503,2157589,63,B,1,0xa101,0xb101,0xe1,16418,7,1926,124,7472,20
24.701,2157787,64,H,7,0xa107,0xb103,0xe1,17141,7,1852,119,6754,20
