capture_id,n_matched_samples,abs_relative_distance_error_mean_mm,abs_relative_distance_error_rmse_mm,abs_relative_distance_error_p50_mm,abs_relative_distance_error_p90_mm,abs_relative_distance_error_p95_mm,abs_relative_distance_error_max_mm,signed_relative_distance_error_median_mm
R01,1200,88.56243922880795,109.54590236890138,75.88896765914234,176.16737737027697,212.1095063603949,339.627066085152,67.43020999004153
R02,1199,84.18445586666515,105.40181458546331,70.62759024201046,173.11357329103487,203.26063100085713,348.62067276203163,23.584462668858123
R03,1050,72.40549933163295,88.30038029356255,64.38877682460321,141.30153439591905,162.01530505114198,280.7962417482214,57.86861478515698
R04,1200,84.53663207089258,102.85448193951167,71.81930921390887,169.2763493582217,191.6259239560933,349.0818521663605,56.48815177529258
R05,1198,106.13411007768828,125.65467223396584,98.62485190394307,195.02530702694366,233.40638314220328,510.83406581701547,96.98017287716544
R06,1200,85.20678315125117,103.47174769187932,73.98834028405588,164.56719503092395,196.6284892653152,415.91613721993986,45.68126681912685
R07,1200,59.90815082093805,74.91633081869588,50.449320219486765,121.66121751550682,146.38839606456253,275.7703537666416,10.666490931561611
R08,1200,74.36046594010412,91.31842175548694,66.26090541360799,147.6348422903572,182.10221961803396,333.45549100044343,45.79963044733313
R09,1200,110.4048347815072,128.95376020403785,104.8459413505463,200.4800133128535,224.8525880785968,353.93241270327053,75.26441224932813
R10,1200,61.90089569339727,76.95190661062045,53.69704569908532,124.99172062959039,144.78791656236666,284.1576162164364,30.50650930822985
R11,1201,62.266777714366036,83.6404696868689,48.6558025760188,132.41921956507792,155.95090431885706,537.1248372853586,-18.95812950757147
R12,1200,81.06755326659615,102.2944631993449,68.81463469169012,159.47865362694097,199.9966687776133,367.3865175572365,32.46886581464423
R13,1201,60.27293798488436,74.49492598763825,51.96830159860633,120.01684806138474,142.75953775981043,292.53608104258285,-3.3810698179502197
R14,1201,56.41702843094343,73.09873977357394,44.037490088443406,116.78735641686058,144.19934397468455,295.66398688079266,16.262206110008947
R15,1199,70.98964569731321,88.78107527926262,62.74272645823078,147.58196103286863,174.33997956833258,318.8671531760199,-47.50757806279739
R16,1201,62.09806317337158,78.19179840090096,52.863946777544925,126.76340281349064,156.5592680901774,286.6173658440373,23.228926536892686
R17,1201,58.460815186475585,74.06097012511582,48.16975007817052,123.28162125844199,145.5774070273053,256.21146233333775,-15.649243634198342
