range_method,e_setting,layout_label,loo_median_mm,p95_mm,rmse_mm,d_tag_mean_mm,d_tag_median_mm,d_tag_std_mm,sim3_scale,rigid_rmse_mm,device
p50,E2_e_zero,p50__E2_e_zero,43.17167990138442,163.09288978057967,81.79044802049832,8.530714199466496,8.57672673057428,0.7601918659091509,1.010148874278839,63.06929152468289,cuda:0
p50,E1_e_reg5,p50__E1_e_reg5,43.22284637610362,163.12087471742308,81.79879087315472,8.403875489007994,8.469547843362342,0.7342835104253137,1.0100879816350299,62.94211615177208,cuda:0
p30,E2_e_zero,p30__E2_e_zero,44.32541751315749,164.29552104548483,82.57149192262494,14.843971997194933,14.89340330065157,0.8802958948459773,1.0139755401130779,65.4766582100797,cuda:0
p30,E1_e_reg5,p30__E1_e_reg5,44.474362618778784,164.87334059286263,82.65327071166527,14.742892770630212,14.905113229329004,0.907887413408455,1.013954991967948,65.39561400857144,cuda:0
p50_control,V5_current_e_reg20,CONTROL_current_V5_p50,44.48515490444803,168.36941073688845,82.19926942566951,6.923844094469736,7.025033116657873,0.6297407219730513,,,cuda:0
p50,E0_e_reg20,p50__E0_e_reg20,44.63009981363216,167.6228387811372,82.17350967264055,6.603043837797756,6.5942781105566155,0.6096235838239181,1.0095868042503913,62.5421142227047,cuda:0
p20,E2_e_zero,p20__E2_e_zero,45.18225750733909,166.4227381681536,83.53264179163372,18.134733039040572,18.59484628551658,0.9925638148878717,1.0163003212128199,67.23336455922788,cuda:0
p20,E1_e_reg5,p20__E1_e_reg5,45.25246965548361,166.94631182398456,83.56506624796407,18.086914905887784,18.564114147042446,1.0151636209066608,1.0162795599473673,67.15594509131549,cuda:0
p10,E2_e_zero,p10__E2_e_zero,45.68737914532636,166.6851998601817,83.98450519187121,23.385642173288733,23.59890203468848,0.587176819681493,1.0200491478684737,71.023563602733,cuda:0
p10,E1_e_reg5,p10__E1_e_reg5,45.76696133320405,166.71919108280255,83.94372858043825,23.31865921935737,23.414135715329223,0.5244695566549817,1.0200482159529287,70.95856675604315,cuda:0
lower_trim_20,E2_e_zero,lower_trim_20__E2_e_zero,46.37515150050423,165.3275106919453,83.94477194753398,24.497223872034763,24.253236872346136,0.5820341215573469,1.0204127685609217,71.24431471044727,cuda:0
lower_trim_20,E1_e_reg5,lower_trim_20__E1_e_reg5,46.4620665569726,165.77545129817796,83.99776947937929,24.50570594706622,24.2398079146003,0.6319077675315936,1.020415004256288,71.19324518435026,cuda:0
lower_trim_30,E2_e_zero,lower_trim_30__E2_e_zero,46.49858777610082,165.07659409059517,83.3955558256643,21.552689086003678,21.584383102504063,0.22759068621907713,1.018705096338057,69.4408649877824,cuda:0
lower_trim_30,E1_e_reg5,lower_trim_30__E1_e_reg5,46.59187094271313,165.40709738240312,83.40174885730163,21.503879403400855,21.55793798903828,0.20436917074990635,1.0187018726500559,69.38167038515947,cuda:0
p30,E0_e_reg20,p30__E0_e_reg20,46.71906562949784,169.63212740902333,82.8432264176191,13.67487031781963,14.01851397803496,0.6542860756725111,1.013608914605727,64.9913952338506,cuda:0
p20,E0_e_reg20,p20__E0_e_reg20,46.9387360635735,170.80641838680438,83.38130149526263,17.487264854389544,17.820839799289423,0.6011945251971369,1.0159339274128403,66.73852857331747,cuda:0
p10,E0_e_reg20,p10__E0_e_reg20,47.003700411489746,170.94264094712494,84.09974507692779,23.144017667657465,23.351662334936623,0.5198919581204717,1.0197504999338365,70.42351445913317,cuda:0
lower_trim_30,E0_e_reg20,lower_trim_30__E0_e_reg20,47.1747667664334,171.78879144793208,84.19535601797904,21.294458962140315,21.68406281948866,0.847652605642824,1.018371392060994,68.9802345469702,cuda:0
lower_trim_10,E2_e_zero,lower_trim_10__E2_e_zero,47.81433045608503,165.19257163902424,84.58029165712047,29.25701223846136,29.430247399930522,0.9667066567687956,1.0228413037542485,73.94383210904695,cuda:0
lower_trim_20,E0_e_reg20,lower_trim_20__E0_e_reg20,47.887093449109244,171.49190379503776,84.3428262186731,24.435964570500648,24.51970339949599,0.7211012403734002,1.0201394629226626,70.8405373739305,cuda:0
lower_trim_10,E1_e_reg5,lower_trim_10__E1_e_reg5,47.88924013493089,165.6531339487837,84.60869252656951,29.330367346678113,29.52406154517284,1.0018463025660307,1.0228384209188333,73.89491277856382,cuda:0
lower_trim_5,E2_e_zero,lower_trim_5__E2_e_zero,49.09663927493378,163.59336949897454,84.68451042070294,32.934587343563,33.08591109753935,0.8104378913670867,1.0247449429925948,76.23931915380611,cuda:0
lower_trim_5,E1_e_reg5,lower_trim_5__E1_e_reg5,49.29011585315227,163.6464939710978,84.6477240300978,32.934296181998704,33.00391048939909,0.7988158974019924,1.0246979081396208,76.12904567446749,cuda:0
lower_trim_10,E0_e_reg20,lower_trim_10__E0_e_reg20,49.46572176459814,170.6286688500301,84.78460093914636,28.96852194486472,28.912873837342346,0.8554971111231543,1.0226206324021487,73.67444771864493,cuda:0
lower_trim_5,E0_e_reg20,lower_trim_5__E0_e_reg20,51.13050516869723,169.29824848901714,85.34913567590193,32.572708892459396,32.46508384481579,1.2426735977922527,1.0244342806844258,75.8880355146924,cuda:0
