iteration,old_median_mm,new_median_mm,improvement_mm
0,37.97443136480117,38.807603433618,-0.8331720688168289
1,48.029634659311206,46.525293364321314,1.5043412949898922
2,48.029634659311206,46.525293364321314,1.5043412949898922
3,52.114912910491924,49.65895124092033,2.455961669571593
4,40.940675149584855,39.81806643844754,1.1226087111373175
5,56.78915135782083,56.923663151604195,-0.13451179378336775
6,39.68509167840834,39.64941024573066,0.0356814326776842
7,38.022364406436495,38.66947928284769,-0.6471148764111945
8,38.022364406436495,37.29535060929969,0.7270137971368058
9,43.229571433271516,43.00302370866754,0.2265477246039751
10,44.48515490444803,43.17167990138442,1.3134750030636084
11,38.24911895645402,38.807603433618,-0.5584844771639794
12,60.555534889641145,64.3892916024687,-3.833756712827558
13,56.78915135782083,52.79260911751935,3.99654224030148
14,38.42950820723182,38.807603433618,-0.3780952263861792
15,64.33017441412353,67.9801483694896,-3.6499739553660646
16,39.68509167840834,39.64941024573066,0.0356814326776842
17,44.48515490444803,43.17167990138442,1.3134750030636084
18,40.940675149584855,39.81806643844754,1.1226087111373175
19,56.78915135782083,54.858136134561775,1.9310152232590525
20,39.68509167840834,39.64941024573066,0.0356814326776842
21,48.029634659311206,46.525293364321314,1.5043412949898922
22,39.68509167840834,39.64941024573066,0.0356814326776842
23,52.114912910491924,49.65895124092033,2.455961669571593
24,62.15250255013928,64.24733414405735,-2.094831593918066
25,38.42950820723182,38.807603433618,-0.3780952263861792
26,48.029634659311206,46.525293364321314,1.5043412949898922
27,48.029634659311206,46.525293364321314,1.5043412949898922
28,43.229571433271516,43.00302370866754,0.2265477246039751
29,40.940675149584855,39.81806643844754,1.1226087111373175
30,64.33017441412353,67.9801483694896,-3.6499739553660646
31,48.57043315562875,46.30533777798344,2.2650953776453093
32,38.24911895645402,38.807603433618,-0.5584844771639794
33,56.200191161672635,54.858136134561775,1.3420550271108596
34,37.69974377314832,36.53090180259238,1.1688419705559383
35,38.339313581842916,37.29535060929969,1.043962972543227
36,44.48515490444803,43.17167990138442,1.3134750030636084
37,58.966823221805086,60.65647737703645,-1.6896541552313664
38,43.229571433271516,43.00302370866754,0.2265477246039751
39,38.42950820723182,39.480754053013776,-1.0512458457819562
40,54.292584774476175,55.45729248339501,-1.164707708918833
41,49.15939335177694,46.30533777798344,2.8540555737935023
42,48.029634659311206,46.525293364321314,1.5043412949898922
43,56.78915135782083,54.858136134561775,1.9310152232590525
44,39.68509167840834,38.83813547556457,0.8469562028437707
45,52.114912910491924,49.65895124092033,2.455961669571593
46,44.48515490444803,43.17167990138442,1.3134750030636084
47,40.940675149584855,39.81806643844754,1.1226087111373175
48,58.37786302565689,60.65647737703645,-2.2786143513795594
49,39.36814250300192,38.97625962633488,0.39188287666704014
50,39.68509167840834,39.64941024573066,0.0356814326776842
51,44.48515490444803,43.17167990138442,1.3134750030636084
52,56.78915135782083,52.79260911751935,3.99654224030148
53,48.57043315562875,48.37086479502587,0.19956836060288197
54,52.114912910491924,49.65895124092033,2.455961669571593
55,37.486733109618136,37.99632866345191,-0.5095955538337762
56,47.31484968445223,47.5290579829132,-0.21420829846097433
57,58.966823221805086,60.65647737703645,-1.6896541552313664
58,38.339313581842916,38.807603433618,-0.46828985177508287
59,44.48515490444803,43.17167990138442,1.3134750030636084
60,38.24911895645402,39.480754053013776,-1.2316350965597564
61,56.200191161672635,54.858136134561775,1.3420550271108596
62,39.36814250300192,38.97625962633488,0.39188287666704014
63,43.229571433271516,43.00302370866754,0.2265477246039751
64,58.966823221805086,60.65647737703645,-1.6896541552313664
65,40.940675149584855,39.81806643844754,1.1226087111373175
66,64.33017441412353,67.9801483694896,-3.6499739553660646
67,48.029634659311206,46.525293364321314,1.5043412949898922
68,64.33017441412353,67.9801483694896,-3.6499739553660646
69,48.029634659311206,46.525293364321314,1.5043412949898922
70,44.48515490444803,43.17167990138442,1.3134750030636084
71,52.114912910491924,51.72447825796276,0.39043465252916576
72,52.114912910491924,49.65895124092033,2.455961669571593
73,49.15939335177694,46.30533777798344,2.8540555737935023
74,57.37811155396902,56.923663151604195,0.4544484023648252
75,54.292584774476175,55.45729248339501,-1.164707708918833
76,40.940675149584855,39.81806643844754,1.1226087111373175
77,48.029634659311206,46.525293364321314,1.5043412949898922
78,44.48515490444803,43.17167990138442,1.3134750030636084
79,42.912622257865095,42.329873089271764,0.582749168593331
80,44.48515490444803,43.17167990138442,1.3134750030636084
81,38.022364406436495,36.32291599598574,1.6994484104507563
82,56.78915135782083,54.858136134561775,1.9310152232590525
83,52.114912910491924,49.65895124092033,2.455961669571593
84,37.97443136480117,37.85820451268161,0.11622685211955996
85,39.68509167840834,38.97625962633488,0.7088320520734612
86,56.78915135782083,52.79260911751935,3.99654224030148
87,68.10481393860593,71.57100513651051,-3.4661911979045783
88,52.114912910491924,49.65895124092033,2.455961669571593
