position_id,error_3d_mm,d_tag_train_mm,range_method,e_setting,layout_label
ID15,39.81806643844754,8.57672673057428,p50,E2_e_zero,p50__E2_e_zero
ID16,34.866015769365376,8.57672673057428,p50,E2_e_zero,p50__E2_e_zero
ID17,95.28701593648772,9.359613913999652,p50,E2_e_zero,p50__E2_e_zero
ID18,39.480754053013776,9.359613913999652,p50,E2_e_zero,p50__E2_e_zero
ID19,32.610277983984695,9.00051695635321,p50,E2_e_zero,p50__E2_e_zero
ID20,27.632029927621037,9.359613913999652,p50,E2_e_zero,p50__E2_e_zero
ID21,28.175657809419654,9.00051695635321,p50,E2_e_zero,p50__E2_e_zero
ID22,35.913335286053695,8.57672673057428,p50,E2_e_zero,p50__E2_e_zero
ID23,36.329306899266996,9.00051695635321,p50,E2_e_zero,p50__E2_e_zero
ID24,19.27357081175824,8.341025022073978,p50,E2_e_zero,p50__E2_e_zero
ID01,161.4924761869039,13.363582196985924,p30,E0_e_reg20,p30__E0_e_reg20
ID02,47.31931374944132,14.560252727288109,p30,E0_e_reg20,p30__E0_e_reg20
ID03,38.50796833223211,14.20079912296886,p30,E0_e_reg20,p30__E0_e_reg20
ID04,171.0685364482209,12.378560595316557,p30,E0_e_reg20,p30__E0_e_reg20
ID05,35.19663600624922,12.766804459576669,p30,E0_e_reg20,p30__E0_e_reg20
ID06,193.38016928496666,12.766804459576669,p30,E0_e_reg20,p30__E0_e_reg20
ID07,89.92989499559316,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID08,65.54141845408091,13.653249813951888,p30,E0_e_reg20,p30__E0_e_reg20
ID09,57.873540737367556,13.653249813951888,p30,E0_e_reg20,p30__E0_e_reg20
ID10,61.72220261142603,12.766804459576669,p30,E0_e_reg20,p30__E0_e_reg20
ID11,78.95718077971804,12.378560595316557,p30,E0_e_reg20,p30__E0_e_reg20
ID12,125.13351346817421,13.363582196985924,p30,E0_e_reg20,p30__E0_e_reg20
ID13,36.93615009020698,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID14,64.94240034642742,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID15,35.15099367569138,14.012703418271137,p30,E0_e_reg20,p30__E0_e_reg20
ID16,40.82640983989889,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID17,95.99843088921786,14.560252727288109,p30,E0_e_reg20,p30__E0_e_reg20
ID18,36.04365947964672,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID19,36.23132048661778,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID20,32.84438103922311,14.560252727288109,p30,E0_e_reg20,p30__E0_e_reg20
ID21,30.45884254093981,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
ID22,26.454000849189534,13.653249813951888,p30,E0_e_reg20,p30__E0_e_reg20
ID23,46.11881750955436,14.024324537798783,p30,E0_e_reg20,p30__E0_e_reg20
