range_method,e_setting,anchor_id,anchor_label,x_mm,y_mm,z_mm,delay_mm,e_i_mm,x_vicon_aligned_mm,y_vicon_aligned_mm,z_vicon_aligned_mm
p50,E0_e_reg20,0,A,0.0,0.0,0.0,99.45545576195703,-12.460048961571687,-1103.085249016147,251.7753548865802,-1687.496481568746
p50,E0_e_reg20,1,B,2711.067835336183,0.0,0.0,113.71639316510164,1.8008884415729212,-1325.359472077307,282.11811890125165,1014.2737333512639
p50,E0_e_reg20,2,C,2743.1238757843325,2150.2576327488205,0.0,127.40295694859743,15.487452225068724,814.5487494224371,238.85506081739774,1222.9758854408121
p50,E0_e_reg20,3,D,99.84339858792376,2191.9569263895637,-52.590201757025405,124.14043881931566,12.224934095786951,1073.9264132007534,261.0011243815175,-1408.3106859801271
p50,E0_e_reg20,4,E,143.9705262893536,-52.29004842131139,-1327.3549598874351,109.80097645086158,-2.114528272667135,-1138.9347201382955,1581.4461340619864,-1560.9129693365403
p50,E0_e_reg20,5,F,2769.2056217431727,125.6036859310079,-1378.5560673386453,111.13142083229005,-0.7840838912386662,-1175.8345156223888,1658.4067115286139,1069.4563041947815
p50,E0_e_reg20,6,G,2717.2729452365065,2285.311127346063,-1373.7576132798658,99.99944082862702,-11.916063894901697,980.2741977284963,1609.214764194116,1195.2801059331466
p50,E0_e_reg20,7,H,7.647765036840105,2043.4002315758937,-1452.3711271412626,109.67695823272952,-2.2385464907991905,963.0495790024515,1662.3881537285392,-1525.6839670345926
p50,E1_e_reg5,0,A,0.0,0.0,0.0,111.7360090168193,-0.9122076384955459,-1097.4486842501788,261.8368605351268,-1678.7188471037423
p50,E1_e_reg5,1,B,2702.127397190632,0.0,0.0,112.77030513748805,0.12208848217321559,-1329.9789994210323,283.99029757066694,1013.2936618572178
p50,E1_e_reg5,2,C,2736.7706132052167,2163.8505709268625,0.0,113.77949452967424,1.1312778743594005,822.2233781445373,233.08462558583815,1234.388628505562
p50,E1_e_reg5,3,D,72.7356214883882,2191.7467566236046,-45.66900037133766,113.50627906341036,0.858062408095519,1080.3687418983254,256.2382405299837,-1417.548620591874
p50,E1_e_reg5,4,E,132.58985735082598,-62.72523868098843,-1314.013697949488,112.53421736571656,-0.11399928959827696,-1139.4347831102136,1578.0095600588559,-1560.08867906154
p50,E1_e_reg5,5,F,2753.014537264443,127.21282376590878,-1379.217687102792,112.54087887045925,-0.10733778485558686,-1174.1740799967404,1660.1833858412315,1066.5049656570507
p50,E1_e_reg5,6,G,2686.3929282264157,2274.731647304982,-1377.2086597108555,111.79366625800668,-0.8545503973081606,970.4274925725258,1606.8254511131372,1185.3182568811906
p50,E1_e_reg5,7,H,-10.685581310635007,2026.0064061547798,-1451.6715625095185,112.52487955317049,-0.12333710214435219,956.6019166627766,1665.0370012651606,-1523.5674411438658
p50,E2_e_zero,0,A,0.0,0.0,0.0,112.741566383562,0.0,-1096.943851202625,262.64829630149177,-1678.065693636285
p50,E2_e_zero,1,B,2701.541721048266,0.0,0.0,112.741566383562,0.0,-1330.2673010064068,284.22656784354353,1013.2949690273697
p50,E2_e_zero,2,C,2736.2925841200245,2164.814799247561,0.0,112.741566383562,0.0,822.8017326247709,232.63841123978915,1235.247973157131
p50,E2_e_zero,3,D,70.72788270490173,2191.6018768135914,-45.2174213767074,112.741566383562,0.0,1080.807351419493,255.9087229710997,-1418.2193685324294
p50,E2_e_zero,4,E,131.79836152496696,-63.681791757400305,-1312.903960681689,112.741566383562,0.0,-1139.5072675418305,1577.7119452571214,-1560.0023908669425
p50,E2_e_zero,5,F,2751.7186247360805,127.25099610101306,-1379.1278644742758,112.741566383562,0.0,-1173.993371958217,1660.2665915210878,1066.1770697715567
p50,E2_e_zero,6,G,2684.0834011125935,2273.7068531406085,-1377.3960581765882,112.741566383562,0.0,969.5911017892754,1606.569236024845,1184.5513354234852
p50,E2_e_zero,7,H,-12.030613255280517,2024.527480632475,-1451.6511106945482,112.741566383562,0.0,956.0965883755412,1665.2356513410232,-1523.4019693438845
p30,E0_e_reg20,0,A,0.0,0.0,0.0,100.18403565678427,-11.392146631700598,-1099.4919177893325,258.75402454871426,-1679.8338115508811
p30,E0_e_reg20,1,B,2698.7591609057727,0.0,0.0,113.52987894724647,1.9536966587615987,-1318.1629365908168,289.7488706996641,1009.873108100631
p30,E0_e_reg20,2,C,2731.8287373455673,2141.636793995575,0.0,125.52825541665999,13.952073128175122,813.1857511680221,242.78162317674028,1216.872149476055
p30,E0_e_reg20,3,D,97.56138302227357,2182.575126656769,-57.77730079565037,123.7520045811045,12.175822292619635,1068.7510890876283,269.38176408174655,-1405.7901330490172
p30,E0_e_reg20,4,E,135.52543882031222,-52.75845333777937,-1311.5788317609156,109.0300074910331,-2.546174797451773,-1132.921002618285,1572.6486377375059,-1561.7106867601094
p30,E0_e_reg20,5,F,2761.3853834919314,118.3859564604458,-1367.7120689660926,111.05072837838627,-0.5254539100986118,-1173.8596534342194,1655.1384220729637,1068.7077705779645
p30,E0_e_reg20,6,G,2712.9488818399686,2269.0336896679505,-1361.8123878904487,99.80626167656075,-11.769920611924128,972.9366146739312,1601.1380267135064,1195.2633465815131
p30,E0_e_reg20,7,H,4.8300590263096215,2032.127291042606,-1442.178200967477,109.72828746395163,-1.8478948245332418,958.1470380030737,1655.6140534691604,-1523.7998183761547
p30,E1_e_reg5,0,A,0.0,0.0,0.0,111.21272170270946,-0.8470894529546191,-1094.7824050887023,267.9567389184243,-1671.4586402528046
p30,E1_e_reg5,1,B,2690.1351897020786,0.0,0.0,112.17124966906195,0.11143851339787773,-1322.9613386793899,291.04836043731393,1008.8824742612558
p30,E1_e_reg5,2,C,2725.737313778786,2154.6910771234793,0.0,113.07996548727294,1.0201543316088648,820.2416639925939,237.78297556427358,1227.525647460028
p30,E1_e_reg5,3,D,71.49175948589854,2183.7038874048408,-50.10249710505653,112.9227397720091,0.8629286163450194,1075.5528998458306,264.3632563113979,-1414.9128338262683
p30,E1_e_reg5,4,E,124.74714248989969,-61.08250968630575,-1299.2651391606487,111.92407436654933,-0.13573678911474593,-1133.07253100468,1569.361837725833,-1560.727165763711
p30,E1_e_reg5,5,F,2746.452235111289,120.93026505032768,-1369.2022700201412,111.98106960438004,-0.07874155128403619,-1172.3662312672564,1657.2537115961322,1066.4554447040784
p30,E1_e_reg5,6,G,2683.6136611742045,2260.1447010958914,-1364.3972276482668,111.21844046132355,-0.841370694340519,963.6482203237517,1598.7247379153177,1185.7315949882466
p30,E1_e_reg5,7,H,-12.699299585746962,2017.1967322329117,-1441.5173339400292,111.96822554342137,-0.09158561224271686,952.3247043778529,1658.713804031307,-1521.9145965708246
p30,E2_e_zero,0,A,0.0,0.0,0.0,112.09030395322976,0.0,-1094.4051284442482,268.66503283262557,-1670.7781863564376
p30,E2_e_zero,1,B,2689.4297158513423,0.0,0.0,112.09030395322976,0.0,-1323.3211389163475,291.1690930545312,1008.7970083203788
p30,E2_e_zero,2,C,2725.25907142321,2155.7012328931587,0.0,112.09030395322976,0.0,820.7919908793756,237.38114232481325,1228.381368445742
p30,E2_e_zero,3,D,69.45036425085381,2183.750187363925,-49.52325130491865,112.09030395322976,0.0,1076.0575025666806,263.96057127000563,-1415.6103557960687
p30,E2_e_zero,4,E,123.86887329442801,-61.81998658565111,-1298.337400029623,112.09030395322976,0.0,-1133.140221121874,1569.1358083842315,-1560.6847380508111
p30,E2_e_zero,5,F,2745.259528559471,121.10850385992927,-1369.2597123094583,112.09030395322976,0.0,-1172.2374350481298,1657.37826754234,1066.2652901704425
p30,E2_e_zero,6,G,2681.3360725573275,2259.4172061956697,-1364.606080413304,112.09030395322976,0.0,962.9230508516714,1598.5400101194891,1185.0075737825066
p30,E2_e_zero,7,H,-14.106799369627023,2016.041158954155,-1441.5164073778367,112.09030395322976,0.0,951.9163617328725,1658.9754969719647,-1521.7960355157504
p20,E0_e_reg20,0,A,0.0,0.0,0.0,100.65207590272885,-10.788240969248353,-1097.9777722406823,262.5762793560009,-1674.7677182029981
p20,E0_e_reg20,1,B,2691.078675637806,0.0,0.0,112.77847801174501,1.338161139767802,-1313.856364795196,293.6826647941345,1007.4577131383314
p20,E0_e_reg20,2,C,2724.9175694892724,2136.448828550552,0.0,124.97289135827376,13.532574486296554,812.3932875081264,245.38569456292674,1213.0993589657267
p20,E0_e_reg20,3,D,96.73042175057094,2177.6238540464333,-60.88663876975979,123.63941530705276,12.199098435075548,1065.6971223790158,274.9346853730371,-1403.7182260840907
p20,E0_e_reg20,4,E,129.61687986521974,-51.331231799791006,-1303.4071001556506,108.86764081165119,-2.5726760603260215,-1128.708740275729,1568.2258245239366,-1562.3383072526915
p20,E0_e_reg20,5,F,2756.327322218906,114.26827647176529,-1361.6116914308604,111.02770847453135,-0.4126083974458504,-1173.0281288611884,1652.9998655639376,1068.491955861284
p20,E0_e_reg20,6,G,2710.4829055851615,2259.540862253259,-1354.2539166050688,100.11778592079838,-11.322530951178821,968.2326009544961,1596.225370544906,1195.4937604036807
p20,E0_e_reg20,7,H,1.4295748397259382,2027.0913470334485,-1435.2468311463763,109.4665445315195,-1.9737723404576941,955.8329778311561,1651.1750377811215,-1524.136611829242
p20,E1_e_reg5,0,A,0.0,0.0,0.0,111.12141822406856,-0.8008895313644872,-1093.6446189046305,271.41134020334755,-1666.7556118632756
p20,E1_e_reg5,1,B,2682.463141732706,0.0,0.0,111.98719714795591,0.06488939252286066,-1318.103661021455,295.27617498555617,1006.1935299700135
p20,E1_e_reg5,2,C,2719.658175521579,2148.6241804771416,0.0,112.91015640965111,0.9878486542180548,819.1268454976548,240.49827663701922,1223.4824696936253
p20,E1_e_reg5,3,D,71.82669096845001,2179.2158279822165,-53.757798350264046,112.78999648895858,0.8676887335255276,1072.5758012622632,269.8949041568858,-1412.7528736480233
p20,E1_e_reg5,4,E,119.60041798289711,-59.359147607990266,-1291.495786765792,111.78180264315739,-0.1405051122756648,-1128.8116136747292,1565.0176355809986,-1561.2322937844076
p20,E1_e_reg5,5,F,2742.3274457271054,115.9823691206435,-1362.6834550506062,111.85393500868254,-0.06837274675050758,-1171.7339426764336,1655.015220154783,1066.4220788659318
p20,E1_e_reg5,6,G,2683.002350122187,2250.3306299716614,-1356.8639849589717,111.11457696088125,-0.8077307945518047,959.1990571096067,1593.9274491150122,1186.3748464484506
p20,E1_e_reg5,7,H,-14.608717680277934,2012.4091354437257,-1435.0270559521684,111.81937936695246,-0.10292838848058858,949.9771149077237,1654.164421666399,-1522.1502206823154
p20,E2_e_zero,0,A,0.0,0.0,0.0,111.95294098546177,0.0,-1093.2990138803398,272.0905070191716,-1666.1054537773352
p20,E2_e_zero,1,B,2681.758061708052,0.0,0.0,111.95294098546177,0.0,-1318.4181529644395,295.42079910100216,1006.0852902051265
p20,E2_e_zero,2,C,2719.249033358124,2149.561321016999,0.0,111.95294098546177,0.0,819.6499857501117,240.10596512656707,1224.3153273762014
p20,E2_e_zero,3,D,69.87935047708235,2179.3041679636563,-53.22194015912233,111.95294098546177,0.0,1073.0893452658756,269.4896442862864,-1413.445468995461
p20,E2_e_zero,4,E,118.78575273411096,-60.06816070944346,-1290.5988138587404,111.95294098546177,0.0,-1128.872900518649,1564.796271536039,-1561.177658167597
p20,E2_e_zero,5,F,2741.2120009596515,116.09205829838162,-1362.7084074996626,111.95294098546177,0.0,-1171.6225348077091,1655.1332271341057,1066.2475732823214
p20,E2_e_zero,6,G,2680.8765341893777,2249.577504639541,-1357.0752585682133,111.95294098546177,0.0,958.4947323867464,1593.7524125340503,1185.6840596081743
p20,E2_e_zero,7,H,-15.891899489401215,2011.273329950886,-1435.0609423172607,111.95294098546177,0.0,949.5635212684047,1654.4165957627786,-1522.0217445314292
p10,E0_e_reg20,0,A,0.0,0.0,0.0,102.3107581357157,-9.623333208342295,-1094.4995949904528,269.16576853765037,-1667.8022868005905
p10,E0_e_reg20,1,B,2680.035460078384,0.0,0.0,112.82344894091462,0.8893575968566226,-1308.3950140260263,298.9828942287392,1003.5175660078821
p10,E0_e_reg20,2,C,2714.4423212076326,2129.4099868864723,0.0,124.64388732172473,12.709795977666742,810.8563291442974,249.80636864255823,1208.2762975595888
p10,E0_e_reg20,3,D,93.1813005757766,2168.728023282748,-62.17512746461613,123.73270712901592,11.798615784957926,1060.7398054961527,281.882505892838,-1401.8866020332089
p10,E0_e_reg20,4,E,123.05154602494073,-49.61098835111998,-1289.964521767767,109.31595735138285,-2.6181339926751357,-1122.6851687548985,1561.2246784724941,-1561.0280050029567
p10,E0_e_reg20,5,F,2747.7531457470004,110.62471704056401,-1352.8456730092755,111.57123199304922,-0.3628593510087657,-1170.9717166800642,1649.5571215795846,1067.3847854147843
p10,E0_e_reg20,6,G,2702.264442279483,2246.951707895252,-1343.4309498185014,101.35038869542069,-10.5837026486373,961.3222820301039,1589.919131538205,1193.1483899217615
p10,E0_e_reg20,7,H,-2.7465607894272916,2019.2493746227235,-1423.0007619642054,109.72435156841073,-2.209739775647262,952.2180602808892,1644.6669536079314,-1522.0282200672636
p10,E1_e_reg5,0,A,0.0,0.0,0.0,111.64399608090112,-0.7117772749637622,-1090.9671655520126,277.07226242884985,-1660.5641140734401
p10,E1_e_reg5,1,B,2672.0427029278676,0.0,0.0,112.39262429604021,0.03685094017532511,-1312.1086158346964,300.79017435777735,1002.2062714255921
