range_method,e_setting,e_mode,e_reg_mm,c_mm,e_i_spread_mm,e_i_max_abs_mm,solver_residual_pair_rmse_mm,sim3_scale,sim3_anchor_rmse_mm,rigid_rmse_mm,solver_success
lower_trim_10,E0_e_reg20,common_mode,20.0,111.05689929403707,23.445400466618906,12.918134363831431,38.411101231576694,1.0226206324021487,61.01602771440395,73.67444771864493,True
lower_trim_10,E1_e_reg5,common_mode,5.0,111.35107703811576,1.6956055888276935,0.944010406065072,39.12764722526236,1.0228384209188333,61.018367920207176,73.89491277856382,True
lower_trim_10,E2_e_zero,zero_e,0.0,111.35676043490764,0.0,0.0,39.17753557912482,1.0228413037542485,61.07411881415497,73.94383210904695,True
lower_trim_20,E0_e_reg20,common_mode,20.0,111.30947939952596,23.725441447715696,12.986667647904811,38.16593466987709,1.0201394629226626,60.50055339527413,70.8405373739305,True
lower_trim_20,E1_e_reg5,common_mode,5.0,111.68912901586789,1.7110119756030775,0.9482106087620684,38.94449104998738,1.020415004256288,60.611524661540315,71.19324518435026,True
lower_trim_20,E2_e_zero,zero_e,0.0,111.6875365446338,0.0,0.0,38.999136073670066,1.0204127685609217,60.67399380224105,71.24431471044727,True
lower_trim_30,E0_e_reg20,common_mode,20.0,111.42482973899754,24.193893890772245,13.21126166142472,38.01094513936653,1.018371392060994,60.20178134628064,68.9802345469702,True
lower_trim_30,E1_e_reg5,common_mode,5.0,111.88210954244613,1.746426601379674,0.9634141195002319,38.84645289856713,1.0187018726500559,60.327431515701576,69.38167038515947,True
lower_trim_30,E2_e_zero,zero_e,0.0,111.88806261057161,0.0,0.0,38.906136982369006,1.018705096338057,60.392232130208,69.4408649877824,True
lower_trim_5,E0_e_reg20,common_mode,20.0,110.4828639761052,23.56212509150994,13.02755844162974,38.69969513364976,1.0244342806844258,61.4551526121882,75.8880355146924,True
lower_trim_5,E1_e_reg5,common_mode,5.0,110.84534667246335,1.7002056766780267,0.953433811939377,39.34553346165716,1.0246979081396208,61.41178564490079,76.12904567446749,True
lower_trim_5,E2_e_zero,zero_e,0.0,110.91512910692107,0.0,0.0,39.390249934337966,1.0247449429925948,61.48726947302945,76.23931915380611,True
p10,E0_e_reg20,common_mode,20.0,111.93409134405799,23.293498626304043,12.709795977666742,38.09098864179006,1.0197504999338365,60.43474483405862,70.42351445913317,True
p10,E1_e_reg5,common_mode,5.0,112.35577335586488,1.6774711922067018,0.9279061664868488,38.865951600780825,1.0200482159529287,60.73797822299316,70.95856675604315,True
p10,E2_e_zero,zero_e,0.0,112.35937094668378,0.0,0.0,38.921002039359685,1.0200491478684737,60.81291992303682,71.023563602733,True
p20,E0_e_reg20,common_mode,20.0,111.4403168719772,24.855105437475373,13.532574486296554,37.86193238462623,1.0159339274128403,59.97384585563278,66.73852857331747,True
p20,E1_e_reg5,common_mode,5.0,111.92230775543305,1.7955794487698595,0.9878486542180548,38.74555230105913,1.0162795599473673,60.13131661362335,67.15594509131549,True
p20,E2_e_zero,zero_e,0.0,111.95294098546177,0.0,0.0,38.81417302193212,1.0163003212128199,60.19913832019821,67.23336455922788,True
p30,E0_e_reg20,common_mode,20.0,111.57618228848487,25.72199374009925,13.952073128175122,37.833682696680036,1.013608914605727,59.9644829896817,64.9913952338506,True
p30,E1_e_reg5,common_mode,5.0,112.05981115566408,1.867243784563484,1.0201543316088648,38.78525327343339,1.013954991967948,60.13771743761311,65.39561400857144,True
p30,E2_e_zero,zero_e,0.0,112.09030395322976,0.0,0.0,38.85928972162144,1.0139755401130779,60.209922607851645,65.4766582100797,True
p50,E0_e_reg20,common_mode,20.0,111.91550472352871,27.94750118664041,15.487452225068724,38.12414984306647,1.0095868042503913,59.97759417776225,62.5421142227047,True
p50,E1_e_reg5,common_mode,5.0,112.64821665531484,2.0434855128549465,1.1312778743594005,39.137928841235095,1.0100879816350299,60.11773476902114,62.94211615177208,True
p50,E2_e_zero,zero_e,0.0,112.741566383562,0.0,0.0,39.20719497272742,1.010148874278839,60.216298249597415,63.06929152468289,True
